ja,zh_Hans
愚者,愚者
魔術師,魔术师
女教皇,女教皇
女帝,女皇
皇帝,皇帝
法王,教皇
恋愛,恋爱
戦車,战车
正義,正义
隠者,隐者
運命,命运
剛毅,力量
刑死者,倒悬者
死神,死神
節制,节制
悪魔,恶魔
塔,塔
星,星
月,月亮
太陽,太阳
審判,审判
永劫,永劫
？？？,？？？
世界,世界
道化師,小丑
欲望,欲望
異邦人,异乡人
アタック,攻击
アギ,亚基
アギラオ,亚基拉欧
アギダイン,亚基达因
マハラギ,玛哈拉基
マハラギオン,玛哈拉基翁
マハラギダイン,玛哈拉基达因
プロミネンス,日珥
ラグナロク,诸神黄昏
イモータルフレイ,不死烈焰
プチソウルトマト,小灵魂西红柿
テトラコーン,物反玉米
暴れ悶え,胡乱挣扎
振り払い,挥击横扫
ガル,加尔
ガルーラ,加尔拉
ガルダイン,加尔达因
マハガル,玛哈加尔
マハガルーラ,玛哈加尔拉
マハガルダイン,玛哈加尔达因
神空波,真空波
万物流転,万物流转
ヒランヤキャベツ,六芒星卷心菜
拒絶の叫び,拒绝之吼
火雷,火雷
霧吸,雾吸
ブフ,布芙
ブフーラ,布芙拉
ブフダイン,布芙达因
マハブフ,玛哈布芙
マハブフーラ,玛哈布芙拉
マハブフダイン,玛哈布芙达因
コキュートスペイン,冥河之痛
ニブルヘイム,死者国度
ブラッディレイン,血腥之雨
赤パプリカ,红甜椒
自閉の殻,自闭之壳
拒絶の殻,拒绝之壳
ジオ,吉欧
ジオンガ,吉欧加
ジオダイン,吉欧达因
マハジオ,玛哈吉欧
マハジオンガ,玛哈吉欧加
マハジオダイン,玛哈吉欧达因
エル・ジハード,崇高圣战
真理の雷,真理之雷
宝玉メロン,宝玉甜瓜
中玉ソウルトマト,中灵魂西红柿
大玉ソウルトマト,大灵魂西红柿
マカラコーン,魔反玉米
メギド,米吉多
メギドラ,米吉多拉
メギドラオン,米吉多拉翁
自爆,自爆
漆黒の蛇,漆黑之蛇
明けの明星,拂晓明星
白パプリカ,白甜椒
青パプリカ,蓝甜椒
緑パプリカ,绿甜椒
ハマ,哈玛
ハマオン,哈玛翁
マハンマ,玛翰玛
マハンマオン,玛翰玛翁
永遠の白,永恒之白
神の審判,神之审判
回転説法,回转讲道
ムド,姆多
ムドオン,姆多翁
マハムド,玛哈姆多
マハムドオン,玛哈姆多翁
不滅の黒,不灭之暗
悪魔の審判,恶魔审判
死んでくれる？,可以为我而死吗？
プリンパ,普林帕
テンタラフー,颠塔拉弗
デビルタッチ,恶魔之触
デビルスマイル,恶魔微笑
亡者の嘆き,亡者喟叹
バルザック,巴札克
バリアントダンス,变异之舞
ポイズマ,施毒术
ポイズンミスト,毒雾
ソウルブレイク,破魂
アニマフリーズ,灵魂冰冻
エイジング,老化
オールド・ワン,老者
ガルガリンアイズ,座天使之眼
マカジャマ,玛卡加玛
愚者のささやき,愚者细语
淀んだ吐息,污秽吐息
淀んだ空気,污秽空气
吸血,吸血
吸魔,吸魔
超吸血,强力吸血
超吸魔,强力吸魔
ジャッジメント,审判
カムカムミラクル,奇迹降临
四属性ガードキル,消除四属性防御
突撃,突击
スラッシュ,斩击
アサルトダイブ,俯冲突击
ソニックパンチ,音速拳
二連牙,二连牙
キルラッシュ,杀戮突袭
電光石火,电光火石
ダブルシュート,双重射击
デッドエンド,死亡终结
剛殺斬,刚杀斩
ミリオンシュート,百万射击
ヒートウェイブ,灼热波浪
ギガンフィスト,巨人铁拳
利剣乱舞,利剑乱舞
デスバウンド,死亡界限
アローシャワー,箭浴
アカシャアーツ,虚无艺术
五月雨斬り,五月雨斩
天軍の剣,天军之剑
刹那五月雨撃,刹那五月雨击
ゴッドハンド,神之手
プララヤ,大劫
イノセントタック,纯真突刺
空間殺法,空间杀法
パワースラッシュ,威力斩击
疾風斬,疾风斩
ブレイブザッパー,勇气之击
金剛発破,金刚发破
烈風波,烈风波
シングルショット,单次射击
串刺し,穿刺
毒串刺し,毒穿刺
ポイズンアロー,毒箭
ベノンザッパー,猛毒之击
バイラスウェイブ,病毒波浪
脳天落とし,倒栽痛击
マインドスライス,心念切断
ヒステリービンタ,歇斯底里掌掴
クレイジーチェーン,疯狂连击
マズルシュート,枪口射击
シールボムズ,封印炸弹
両腕落とし,断臂击
木っ端微塵斬り,灰飞烟灭斩
セルブレイカー,细胞破裂
マスタードボム,芥末炸弹
ブレインシェイク,头脑震撼
ナバスネビュラ,纳巴斯星云
黄金の右腕,黄金右臂
黒点撃,黑点击
霧雨昇天撃,雾雨升天击
八艘跳び,八艘跳跃
暴れまくり,横冲直撞
アイオンの雨,永恒之雨
アグネヤストラ,火神之击
バスタアタック,爆破攻击
マッドアサルト,疯狂突击
攻撃UP支援,攻击UP支援
防御UP支援,防御UP支援
素早さUP支援,敏捷UP支援
チャージ支援,蓄力支援
HP回復支援,HP恢复支援
SP回復支援,SP恢复支援
ディア,迪亚
ディアラマ,迪亚拉玛
ディアラハン,迪亚拉翰
メディア,梅迪亚
メディラマ,梅迪拉玛
メディアラハン,梅迪亚拉翰
メシアライザー,救世主之愈
パトラ,帕特拉
メパトラ,梅帕特拉
リパトラ,利帕特拉
ポズムディ,波兹姆迪
クロズディ,克洛兹迪
ブルトディ,布尔特迪
エイジディ,埃吉迪
シシリディ,西西里迪
エナジーシャワー,能量浴
アムリタ,不死甘露
リカーム,利卡姆
サマリカーム,萨玛利卡姆
タルンダ,塔伦达
マハタルンダ,玛哈塔伦达
スクンダ,斯坤达
マハスクンダ,玛哈斯坤达
ラクンダ,拉坤达
マハラクンダ,玛哈拉坤达
デクンダ,迪坤达
タルカジャ,塔尔卡加
マハタルカジャ,玛哈塔尔卡加
スクカジャ,斯库卡加
マハスクカジャ,玛哈斯库卡加
ラクカジャ,拉库卡加
マハラクカジャ,玛哈拉库卡加
デカジャ,迪卡加
ヒートライザ,灼热奋起
ランダマイザ,女巫诅咒
チャージ,蓄力
コンセントレイト,专心致志
テトラカーン,提特拉康
マカラカーン,玛卡拉康
テトラブレイク,提特拉破坏
マカラブレイク,玛卡拉破坏
テトラジャ,提特拉加
リベリオン,反叛
レボリューション,革命
火炎ガードキル,消除火焰防御
氷結ガードキル,消除冰冻防御
疾風ガードキル,消除疾风防御
電撃ガードキル,消除电击防御
赤の壁,红壁
白の壁,白壁
蒼の壁,蓝壁
緑の壁,绿壁
トラフーリ,特拉芙里
リカームドラ,利卡姆多拉
トラエスト,特拉埃斯特
青春の風,青春之风
ドラゴンハッスル,龙之乱舞
華焔,华焰
漢の花道,男子汉的堂堂之路
正義の盾,正义之盾
フル・アナライズ,彻底分析
？ ？ ？ ？ ？,？ ？ ？ ？ ？
ばら撒きまくり,一掷千金
陽介の追撃,阳介的追击
千枝の追撃,千枝的追击
雪子の追撃,雪子的追击
完二の追撃,完二的追击
クマの追撃,小熊的追击
直斗の追撃,直斗的追击
ハイ・アナライズ,高阶分析
サードアイ,第三只眼
相性サーチ,匹配度调查
癒しの波動HP,治愈之波动HP
癒しの波動SP,治愈之波动SP
アナライズ,分析
召喚,召唤
エネミーサーチ,索敌
トレジャーサーチ,宝物搜索
絶対逃走,绝对逃脱
幾万の真言,数万箴言
陽介の出張追撃,阳介的外派追击
千枝の出張追撃,千枝的外派追击
雪子の出張追撃,雪子的外派追击
完二の出張追撃,完二的外派追击
クマの出張追撃,小熊的外派追击
直斗の出張追撃,直斗的外派追击
