"source","target","id","developer_comments"
"MSG_000_0","さて、私がお相手いたしますが…","MSG_000_0","マーガレット"
"MSG_000_1","どれほど期待していいのかしら？","MSG_000_1","マーガレット"
"MSG_010_0","この程度…
というわけではなさそうね。","MSG_010_0","マーガレット"
"MSG_010_1","その顔を見ればわかるわ。
さあ、続けましょう。","MSG_010_1","マーガレット"
"MSG_020_0","どうかしら？
まだ続けられますか？","MSG_020_0","マーガレット"
"MSG_020_1","もっとも…
こちらは止めるつもりはないですけれど！","MSG_020_1","マーガレット"
"MSG_030_0","とっても、いいわ…
その調子よ。","MSG_030_0","マーガレット"
"MSG_030_1","皆様の戦いの記憶、
最後まで見せてくださいませ。","MSG_030_1","マーガレット"
"MSG_040_0","ふふ…
素晴らしいわ。","MSG_040_0","マーガレット"
"speaker_マーガレット","マーガレット","speaker_マーガレット",""
