"source","target","id","developer_comments"
"BTL_MES_H124_061_001_0","さぶ、呪われてる？　そ、そんな訳ない
し、呪いなんか虚構だし都市伝説だし！","BTL_MES_H124_061_001_0",""
"BTL_MES_H124_061_002_0","さぶ呪われてるの？　そ、そんな
呪いなんて迷信だし、ある訳ないし…","BTL_MES_H124_061_002_0",""
"BTL_MES_H124_061_003_0","ヨースケ呪われてるの？　の、呪いなん
かある訳ないし、きっと思いこみだし…","BTL_MES_H124_061_003_0",""
"BTL_MES_H124_061_004_0","チエ呪われてんの？　そ、そんな訳ない
し、呪いなんて存在しないし…たぶん…","BTL_MES_H124_061_004_0",""
"BTL_MES_H124_061_005_0","ユキコ呪われてる？　の、呪いなんてあ
る訳ないし、きっと想像の産物だし。","BTL_MES_H124_061_005_0",""
"BTL_MES_H124_061_006_0","ダミー・りせ用入れ込む","BTL_MES_H124_061_006_0",""
"BTL_MES_H124_061_007_0","カンジ呪われてる？　の、呪いなんて信
じないし、迷信だし、都市伝説だし…","BTL_MES_H124_061_007_0",""
"BTL_MES_H124_061_008_0","ナオト、呪われてる？　の、呪いなんて
ある訳ないし、きっと思いこみだし…","BTL_MES_H124_061_008_0",""
"BTL_MES_H124_061_009_0","クマ、呪われてるの？　の、呪いなんて
存在する訳ないしきっと思いこみだし…","BTL_MES_H124_061_009_0",""
"BTL_MES_H124_061_010_0","ユカリ呪われてる？　の、呪いなんて
迷信かなんかだし、ある訳ない…よね？","BTL_MES_H124_061_010_0",""
"BTL_MES_H124_061_011_0","ジュンペー呪われてる？　そ、そんな
訳ないし、呪いなんて迷信だし…","BTL_MES_H124_061_011_0",""
"BTL_MES_H124_061_012_0","さなだ、呪われてる？　の、呪いなんて
信じてないし、ある訳ないし、きっと…","BTL_MES_H124_061_012_0",""
"BTL_MES_H124_061_013_0","ミツル呪われてる？　そ、そんなの気
のせいに決まってるし、呪いなんて…","BTL_MES_H124_061_013_0",""
"BTL_MES_H124_061_014_0","ダミー・風花用入れ込む","BTL_MES_H124_061_014_0",""
"BTL_MES_H124_061_015_0","アイギス、呪われてる？
てゆーか、ロボでも呪われたりすんの？","BTL_MES_H124_061_015_0",""
"BTL_MES_H124_061_016_0","ケン呪われてる？　の、呪いなんて存
在しないし、きっと気のせいだし…","BTL_MES_H124_061_016_0",""
"BTL_MES_H124_061_017_0","犬、呪われてる？　の、呪いなんてあ
る訳ないし、迷信だし、怖くないし…","BTL_MES_H124_061_017_0",""
"BTL_MES_H124_061_018_0","あらがき呪われてんの？　そ、そんな訳
ないし、呪いなんか迷信だし、たぶん…","BTL_MES_H124_061_018_0",""
"BTL_MES_H124_061_019_0","ゼンとレイ、呪われてるの？　そ、そん
な訳ないし、呪いなんて実在しないし…","BTL_MES_H124_061_019_0",""
"BTL_MES_H124_061_020_0","ゼン呪われてる？　の、呪いなんて実在
する訳ないし、迷信だし思い込みだし…","BTL_MES_H124_061_020_0",""
"BTL_MES_H124_061_021_0","キミ呪われてる？　の、呪いなんてある
訳ないし、思いこみだし、迷信じゃん…","BTL_MES_H124_061_021_0",""
"BTL_MES_H124_061_022_0","りーだー、呪われてる？　の、呪いなん
てある訳ないし…信じないし…","BTL_MES_H124_061_022_0",""
