"source","target","id","developer_comments"
"BTL_MES_013_001_0","悪いが、こちらも退く気はない。
勝たせてもらう！","BTL_MES_013_001_0",""
"BTL_MES_013_002_0","＜声のみ＞負けるわけにはいかない。
すまないが､ここは退いてもらうぞ！","BTL_MES_013_002_0",""
"BTL_MES_013_003_0","Ｆ．Ｏ．Ｅか…
まともに相手はしない方がよさそうだ。","BTL_MES_013_003_0",""
"BTL_MES_013_004_0","＜声のみ＞ああ、こちらも
無茶をする道理はない","BTL_MES_013_004_0",""
"BTL_MES_013_005_0","Ｆ．Ｏ．Ｅか…
だが、これなら片付けられそうだな。","BTL_MES_013_005_0",""
"BTL_MES_013_006_0","このシャドウは珍しいな…
逃がすな！","BTL_MES_013_006_0",""
"BTL_MES_013_007_0","＜声のみ＞なるほど…
優先的に狙うとしよう","BTL_MES_013_007_0",""
"BTL_MES_013_008_0","＜声のみ＞了解した、ナビ","BTL_MES_013_008_0",""
"BTL_MES_013_009_0","＜声のみ＞了解だ、久慈川","BTL_MES_013_009_0",""
"BTL_MES_013_010_0","＜声のみ＞承知した、山岸","BTL_MES_013_010_0",""
"BTL_MES_013_011_0","強敵出現、というわけか…
どうしたものか。","BTL_MES_013_011_0",""
"BTL_MES_013_012_0","＜声のみ＞退くか、進むか。
采配は任せる","BTL_MES_013_012_0",""
"BTL_MES_013_013_0","初見の敵だな
冷静に弱点を探すぞ！","BTL_MES_013_013_0",""
"BTL_MES_013_014_0","＜声のみ＞戦闘データの収集が必要だな
やるぞ！","BTL_MES_013_014_0",""
"BTL_MES_013_015_0","問題なく対処できるだろう。","BTL_MES_013_015_0",""
"BTL_MES_013_016_0","＜声のみ＞戦力は五分五分のようだな。
いくぞ！","BTL_MES_013_016_0",""
"BTL_MES_013_017_0","すぐに散らしてみせる！","BTL_MES_013_017_0",""
"BTL_MES_013_018_0","＜声のみ＞格下だからといって
決して侮るなよ！","BTL_MES_013_018_0",""
"BTL_MES_013_019_0","これは…
シャドウが変化したのか？","BTL_MES_013_019_0",""
"BTL_MES_013_020_0","＜声のみ＞逃走失敗か…
さて、どうする！？","BTL_MES_013_020_0",""
"BTL_MES_013_021_0","＜声のみ＞退くのも作戦だぞ！","BTL_MES_013_021_0",""
"BTL_MES_013_022_0","このままでは危険だ！
作戦を立ててくれ！","BTL_MES_013_022_0",""
"BTL_MES_013_023_0","＜声のみ＞今は、回復を最優先で
進めるべきだろう","BTL_MES_013_023_0",""
"BTL_MES_013_024_0","＜声のみ＞このままではマズいな…
援護を優先するぞ！","BTL_MES_013_024_0",""
"BTL_MES_013_025_0","＜声のみ＞大丈夫か？
ここは回復を考えなければ…","BTL_MES_013_025_0",""
"BTL_MES_013_026_0","＜声のみ＞大丈夫か、花村！
対処を考えねば…","BTL_MES_013_026_0",""
"BTL_MES_013_027_0","＜声のみ＞無理をするな、里中！
こちらでも援護をする！","BTL_MES_013_027_0",""
"BTL_MES_013_028_0","＜声のみ＞しっかりしろ、天城！
すぐに援護する！","BTL_MES_013_028_0",""
