"source","target","id","developer_comments"
"BTL_MES_015_001_0","負けられない戦いであります！","BTL_MES_015_001_0",""
"BTL_MES_015_002_0","＜声のみ＞必ず殲滅させるであります！","BTL_MES_015_002_0",""
"BTL_MES_015_003_0","危険なＦ．Ｏ．Ｅですね…","BTL_MES_015_003_0",""
"BTL_MES_015_004_0","＜声のみ＞戦力差をみるに
撤退が妥当であります","BTL_MES_015_004_0",""
"BTL_MES_015_005_0","相手はＦ．Ｏ．Ｅですが
勝率は高いであります！","BTL_MES_015_005_0",""
"BTL_MES_015_006_0","レアシャドウであります！
逃走を警戒してください！","BTL_MES_015_006_0",""
"BTL_MES_015_007_0","＜声のみ＞大変レアなシャドウですね。
仕留めるであります。","BTL_MES_015_007_0",""
"BTL_MES_015_008_0","＜声のみ＞ナビさん、承知いたしました！","BTL_MES_015_008_0",""
"BTL_MES_015_009_0","＜声のみ＞りせさん、了解であります！","BTL_MES_015_009_0",""
"BTL_MES_015_010_0","＜声のみ＞風花さん、了解であります","BTL_MES_015_010_0",""
"BTL_MES_015_011_0","これは、かなりの強敵ですね…","BTL_MES_015_011_0",""
"BTL_MES_015_012_0","＜声のみ＞撤退しますか？
戦闘に移行でしょうか？","BTL_MES_015_012_0",""
"BTL_MES_015_013_0","初めての敵です！
弱点情報を収集するが吉であります！","BTL_MES_015_013_0",""
"BTL_MES_015_014_0","＜声のみ＞了解です。
情報収集を開始するであります。","BTL_MES_015_014_0",""
"BTL_MES_015_015_0","これなら問題ありません。","BTL_MES_015_015_0",""
"BTL_MES_015_016_0","＜声のみ＞了解であります
おまかせください","BTL_MES_015_016_0",""
"BTL_MES_015_017_0","容赦はいたしません。
サッと一掃します。","BTL_MES_015_017_0",""
"BTL_MES_015_018_0","＜声のみ＞殲滅を開始するであります","BTL_MES_015_018_0",""
"BTL_MES_015_019_0","シャドウに変化が見られます！","BTL_MES_015_019_0",""
"BTL_MES_015_020_0","＜声のみ＞大ピンチであります！","BTL_MES_015_020_0",""
"BTL_MES_015_021_0","＜声のみ＞こいつは緊急事態であります！","BTL_MES_015_021_0",""
"BTL_MES_015_022_0","非常に危機的状況であります！
ご指示を！","BTL_MES_015_022_0",""
"BTL_MES_015_023_0","＜声のみ＞回復と戦線の立て直しが
必要であります…","BTL_MES_015_023_0",""
"BTL_MES_015_024_0","＜声のみ＞ピンチであります。
早急な治療が必要です","BTL_MES_015_024_0",""
"BTL_MES_015_025_0","＜声のみ＞緊急事態であります！
早く回復を！","BTL_MES_015_025_0",""
"BTL_MES_015_026_0","＜声のみ＞陽介さんがピンチであります。
救護を要請します！","BTL_MES_015_026_0",""
"BTL_MES_015_027_0","＜声のみ＞千枝さんが心配であります。
早く回復を！","BTL_MES_015_027_0",""
"BTL_MES_015_028_0","＜声のみ＞雪子さんが心配であります。
早く回復を！","BTL_MES_015_028_0",""
"BTL_MES_015_030_0","＜声のみ＞完二さんがピンチであります。
救護を要請します！","BTL_MES_015_030_0",""
"BTL_MES_015_031_0","＜声のみ＞直斗さんが心配であります。
早く回復を！","BTL_MES_015_031_0",""
"BTL_MES_015_032_0","＜声のみ＞クマさんがピンチであります。
救護を要請します！","BTL_MES_015_032_0",""
"BTL_MES_015_033_0","＜声のみ＞ゆかりさんが心配であります。
早く回復を！","BTL_MES_015_033_0",""
"BTL_MES_015_034_0","＜声のみ＞順平さんがピンチであります。
救護を要請します！","BTL_MES_015_034_0",""
"BTL_MES_015_035_0","＜声のみ＞真田さんが心配であります。
早く回復を！","BTL_MES_015_035_0",""
"BTL_MES_015_036_0","＜声のみ＞美鶴さんが心配であります。
早く回復を！","BTL_MES_015_036_0",""
"BTL_MES_015_039_0","＜声のみ＞天田さんがピンチであります。
救護を要請します！","BTL_MES_015_039_0",""
"BTL_MES_015_040_0","＜声のみ＞コロマルさんがピンチであります。
救護を要請します！","BTL_MES_015_040_0",""
"BTL_MES_015_041_0","＜声のみ＞荒垣さんが心配であります。
早く回復を！","BTL_MES_015_041_0",""
"BTL_MES_015_042_0","＜声のみ＞危ない状態であります。
早く回復を！","BTL_MES_015_042_0",""
"BTL_MES_015_043_0","＜声のみ＞ジョーカーさんがピンチであります。
救護を要請します！","BTL_MES_015_043_0",""
"BTL_MES_015_044_0","＜声のみ＞スカルさんがピンチであります。
救護を要請します！","BTL_MES_015_044_0",""
"BTL_MES_015_045_0","＜声のみ＞パンサーさんが心配であります。
早く回復を！","BTL_MES_015_045_0",""
"BTL_MES_015_046_0","＜声のみ＞モナさんがピンチであります。
救護を要請します！","BTL_MES_015_046_0",""
"BTL_MES_015_047_0","＜声のみ＞フォックスさんがピンチであります。
救護を要請します！","BTL_MES_015_047_0",""
"BTL_MES_015_048_0","＜声のみ＞クイーンさんが心配であります。
早く回復を！","BTL_MES_015_048_0",""
"BTL_MES_015_050_0","＜声のみ＞ノワールさんが心配であります。
早く回復を！","BTL_MES_015_050_0",""
"BTL_MES_015_051_0","＜声のみ＞クロウさんがピンチであります。
救護を要請します！","BTL_MES_015_051_0",""
"BTL_MES_015_052_0","＜声のみ＞なるほど！
了解であります！","BTL_MES_015_052_0",""
"BTL_MES_015_053_0","引き続き、殲滅作戦を
遂行するであります！","BTL_MES_015_053_0",""
"BTL_MES_015_054_0","＜声のみ＞了解であります！
気を抜かずにいきましょう","BTL_MES_015_054_0",""
"BTL_MES_015_055_0","敵の弱点を把握…
わたしが適任と思われます","BTL_MES_015_055_0",""
"BTL_MES_015_056_0","バトンタッチを提案いたします。","BTL_MES_015_056_0",""
"BTL_MES_015_057_0","出陣命令を！
この任務、わたしが適任です！","BTL_MES_015_057_0",""
"BTL_MES_015_058_0","＜声のみ＞ここはお任せするであります！","BTL_MES_015_058_0",""
"BTL_MES_015_059_0","＜声のみ＞了解しました。お任せいたします！","BTL_MES_015_059_0",""
"BTL_MES_015_060_0","＜声のみ＞陽介さんに
続けであります！","BTL_MES_015_060_0",""
"BTL_MES_015_061_0","＜声のみ＞千枝さんの足技は
期待大でありますね","BTL_MES_015_061_0",""
"BTL_MES_015_062_0","＜声のみ＞援護は
お任せください！","BTL_MES_015_062_0",""
"BTL_MES_015_064_0","＜声のみ＞完二さんが
たいへん絶好調であります！","BTL_MES_015_064_0",""
"BTL_MES_015_065_0","＜声のみ＞直斗さん、
ここはお願いするであります！","BTL_MES_015_065_0",""
"BTL_MES_015_066_0","＜声のみ＞クマさん、ゴーゴー！
であります。","BTL_MES_015_066_0",""
"BTL_MES_015_067_0","＜声のみ＞ゆかりさん、いきましょう！","BTL_MES_015_067_0",""
"BTL_MES_015_068_0","＜声のみ＞順平さん、やっちまえ！
であります。","BTL_MES_015_068_0",""
"BTL_MES_015_069_0","＜声のみ＞真田さんの
拳が燃えているであります。","BTL_MES_015_069_0",""
"BTL_MES_015_070_0","＜声のみ＞美鶴さん、一掃をお願いします","BTL_MES_015_070_0",""
"BTL_MES_015_073_0","＜声のみ＞お願いします、天田さん！","BTL_MES_015_073_0",""
"BTL_MES_015_074_0","＜声のみ＞はい、コロマルさん！
たたみかけましょう！","BTL_MES_015_074_0",""
"BTL_MES_015_075_0","＜声のみ＞荒垣さん、殲滅作戦
開始であります！","BTL_MES_015_075_0",""
"BTL_MES_015_076_0","＜声のみ＞了解です、お任せするであります！","BTL_MES_015_076_0",""
"BTL_MES_015_077_0","＜声のみ＞ジョーカーさんに
期待させていただくであります！","BTL_MES_015_077_0",""
"BTL_MES_015_078_0","＜声のみ＞スカルさんの勇姿に
期待大であります！","BTL_MES_015_078_0",""
"BTL_MES_015_079_0","＜声のみ＞思いっきりブチまかすであります！
パンサーさん！","BTL_MES_015_079_0",""
"BTL_MES_015_080_0","＜声のみ＞モナさんの時代の幕開けであります！","BTL_MES_015_080_0",""
"BTL_MES_015_081_0","＜声のみ＞それでは、
フォックスさんにお任せするであります","BTL_MES_015_081_0",""
"BTL_MES_015_082_0","＜声のみ＞クイーンさんなら
問題ないでありますね","BTL_MES_015_082_0",""
"BTL_MES_015_084_0","＜声のみ＞ノワールさんなら
一気にやってくれるはずであります","BTL_MES_015_084_0",""
"BTL_MES_015_085_0","＜声のみ＞クロウさんが、
やる気マンマンのようでありますね","BTL_MES_015_085_0",""
"BTL_MES_015_086_0","私の準備は万全であります。
参りましょう！","BTL_MES_015_086_0",""
