"source","target","id","developer_comments"
"BTL_MES_020_001_0","負けられないな。","BTL_MES_020_001_0",""
"BTL_MES_020_002_0","＜声のみ＞ここは引けないな。","BTL_MES_020_002_0",""
"BTL_MES_020_003_0","Ｆ．Ｏ．Ｅか…","BTL_MES_020_003_0",""
"BTL_MES_020_004_0","＜声のみ＞まずいな…","BTL_MES_020_004_0",""
"BTL_MES_020_005_0","いけるか？","BTL_MES_020_005_0",""
"BTL_MES_020_006_0","レアか…","BTL_MES_020_006_0",""
"BTL_MES_020_007_0","＜声のみ＞いくぞ！","BTL_MES_020_007_0",""
"BTL_MES_020_008_0","＜声のみ＞了解した。","BTL_MES_020_008_0",""
"BTL_MES_020_009_0","＜声のみ＞了解だ。","BTL_MES_020_009_0",""
"BTL_MES_020_010_0","＜声のみ＞ああ、わかった。","BTL_MES_020_010_0",""
"BTL_MES_020_011_0","強敵か…","BTL_MES_020_011_0",""
"BTL_MES_020_012_0","＜声のみ＞どうする…","BTL_MES_020_012_0",""
"BTL_MES_020_013_0","新手か。","BTL_MES_020_013_0",""
"BTL_MES_020_014_0","＜声のみ＞探ってみるか。","BTL_MES_020_014_0",""
"BTL_MES_020_015_0","問題無いな。","BTL_MES_020_015_0",""
"BTL_MES_020_016_0","＜声のみ＞やるぞ！","BTL_MES_020_016_0",""
"BTL_MES_020_017_0","余裕だな。","BTL_MES_020_017_0",""
"BTL_MES_020_018_0","＜声のみ＞一気に行くぞ！","BTL_MES_020_018_0",""
"BTL_MES_020_019_0","シャドウが？","BTL_MES_020_019_0",""
"BTL_MES_020_020_0","＜声のみ＞マズいか…","BTL_MES_020_020_0",""
"BTL_MES_020_021_0","＜声のみ＞くっ、どうする？","BTL_MES_020_021_0",""
"BTL_MES_020_022_0","危険だな…","BTL_MES_020_022_0",""
"BTL_MES_020_023_0","＜声のみ＞立て直すぞ！","BTL_MES_020_023_0",""
"BTL_MES_020_052_0","＜声のみ＞了解した！","BTL_MES_020_052_0",""
"BTL_MES_020_053_0","奪うぞ！","BTL_MES_020_053_0",""
"BTL_MES_020_054_0","＜声のみ＞抜かるなよ！","BTL_MES_020_054_0",""
"BTL_MES_020_055_0","いけるっ！","BTL_MES_020_055_0",""
"BTL_MES_020_056_0","バトンタッチか。","BTL_MES_020_056_0",""
"BTL_MES_020_057_0","任せろ！","BTL_MES_020_057_0",""
"BTL_MES_020_086_0","いけるぞ！","BTL_MES_020_086_0",""
