"source","target","id","developer_comments"
"BTL_MES_027_001_0","大丈夫！
絶対勝つんだから！","BTL_MES_027_001_0",""
"BTL_MES_027_002_0","＜声のみ＞うん！絶対勝たなきゃね！","BTL_MES_027_002_0",""
"BTL_MES_027_003_0","Ｆ．Ｏ．Ｅだね
戦うのはやめとこっか…","BTL_MES_027_003_0",""
"BTL_MES_027_004_0","＜声のみ＞そうだね
逃げるが勝ち！","BTL_MES_027_004_0",""
"BTL_MES_027_005_0","もしかして、もしかすると…
倒せるかも！","BTL_MES_027_005_0",""
"BTL_MES_027_006_0","これって、レアシャドウ！？
逃がしちゃダメだよね！？","BTL_MES_027_006_0",""
"BTL_MES_027_007_0","＜声のみ＞まかせて！
優先的に狙っていきましょ！","BTL_MES_027_007_0",""
"BTL_MES_027_008_0","＜声のみ＞ナビ、了解だよ！","BTL_MES_027_008_0",""
"BTL_MES_027_009_0","＜声のみ＞わかったよ、りせちゃん！","BTL_MES_027_009_0",""
"BTL_MES_027_010_0","＜声のみ＞風花ちゃん、了解だよ！","BTL_MES_027_010_0",""
"BTL_MES_027_011_0","この敵、かなり強いかも…
どうする？","BTL_MES_027_011_0",""
"BTL_MES_027_012_0","＜声のみ＞時には逃げるのも手だけど…
どうしよっか？","BTL_MES_027_012_0",""
"BTL_MES_027_013_0","このシャドウは初めてだね！
弱点探す？","BTL_MES_027_013_0",""
"BTL_MES_027_014_0","＜声のみ＞わかった、
いろんな攻撃試してみよう！","BTL_MES_027_014_0",""
"BTL_MES_027_015_0","私たちなら、大丈夫。
そうだよね？","BTL_MES_027_015_0",""
"BTL_MES_027_016_0","＜声のみ＞おまかせください！","BTL_MES_027_016_0",""
"BTL_MES_027_017_0","もしかして、私たち…
強すぎ？","BTL_MES_027_017_0",""
"BTL_MES_027_018_0","＜声のみ＞絶対に逃がさないんだから！","BTL_MES_027_018_0",""
"BTL_MES_027_019_0","あれ？
シャドウがなんかヘンだよ？","BTL_MES_027_019_0",""
"BTL_MES_027_020_0","＜声のみ＞ど、どうしよう…？","BTL_MES_027_020_0",""
"BTL_MES_027_021_0","＜声のみ＞えっと…
もしかして、ピンチ？","BTL_MES_027_021_0",""
"BTL_MES_027_022_0","かなりピンチかも…","BTL_MES_027_022_0",""
"BTL_MES_027_023_0","＜声のみ＞ちょっと危険だよね
なんとかしないと…","BTL_MES_027_023_0",""
"BTL_MES_027_024_0","＜声のみ＞無理してないかな？
フォローするよ！","BTL_MES_027_024_0",""
"BTL_MES_027_025_0","＜声のみ＞フラフラしてない？
回復しないと！","BTL_MES_027_025_0",""
"BTL_MES_027_026_0","＜声のみ＞花村くんがフラフラ…！
フォローしなきゃ！","BTL_MES_027_026_0",""
"BTL_MES_027_027_0","＜声のみ＞千枝ちゃん、大丈夫かな…
回復しないと！","BTL_MES_027_027_0",""
"BTL_MES_027_028_0","＜声のみ＞雪子ちゃん、大丈夫かな…
回復しないと！","BTL_MES_027_028_0",""
"BTL_MES_027_030_0","＜声のみ＞完二くんがフラフラ…！
フォローしなきゃ！","BTL_MES_027_030_0",""
"BTL_MES_027_031_0","＜声のみ＞直斗くん、大丈夫かな…
回復しないと！","BTL_MES_027_031_0",""
"BTL_MES_027_032_0","＜声のみ＞クマくんがフラフラ…！
フォローしなきゃ！","BTL_MES_027_032_0",""
"BTL_MES_027_033_0","＜声のみ＞ゆかりちゃん、大丈夫かな…
回復しないと！","BTL_MES_027_033_0",""
"BTL_MES_027_034_0","＜声のみ＞伊織くんがフラフラ…！
フォローしなきゃ！","BTL_MES_027_034_0",""
"BTL_MES_027_035_0","＜声のみ＞真田くんがフラフラ…！
フォローしなきゃ！","BTL_MES_027_035_0",""
"BTL_MES_027_036_0","＜声のみ＞美鶴さん、大丈夫かな…
回復しないと！","BTL_MES_027_036_0",""
"BTL_MES_027_038_0","＜声のみ＞アイギスさん、大丈夫かな…
回復しないと！","BTL_MES_027_038_0",""
"BTL_MES_027_039_0","＜声のみ＞天田くんがフラフラ…！
フォローしなきゃ！","BTL_MES_027_039_0",""
"BTL_MES_027_040_0","＜声のみ＞コロちゃん、大丈夫かな…
回復しないと！","BTL_MES_027_040_0",""
"BTL_MES_027_041_0","＜声のみ＞荒垣くんがフラフラ…！
フォローしなきゃ！","BTL_MES_027_041_0",""
"BTL_MES_027_042_0","＜声のみ＞無茶しちゃダメだよ！
回復しないと！","BTL_MES_027_042_0",""
"BTL_MES_027_043_0","＜声のみ＞ジョーカー、大丈夫かな…
回復しないと！","BTL_MES_027_043_0",""
"BTL_MES_027_044_0","＜声のみ＞スカルがフラフラ…！
フォローしなきゃ！","BTL_MES_027_044_0",""
"BTL_MES_027_045_0","＜声のみ＞パンサー、大丈夫かな…
回復しないと！","BTL_MES_027_045_0",""
"BTL_MES_027_046_0","＜声のみ＞モナ、大丈夫かな…
回復しないと！","BTL_MES_027_046_0",""
"BTL_MES_027_047_0","＜声のみ＞フォックスがフラフラ…！
フォローしなきゃ！","BTL_MES_027_047_0",""
"BTL_MES_027_048_0","＜声のみ＞クイーン、大丈夫かな…
回復しないと！","BTL_MES_027_048_0",""
"BTL_MES_027_051_0","＜声のみ＞クロウがフラフラ…！
フォローしなきゃ！","BTL_MES_027_051_0",""
"BTL_MES_027_052_0","＜声のみ＞ぜーんぶ、まとめて
ドカーン！　だね！","BTL_MES_027_052_0",""
"BTL_MES_027_053_0","うん！
どんどん、いっちゃおう！","BTL_MES_027_053_0",""
"BTL_MES_027_054_0","＜声のみ＞ええ！　がんばるわ！","BTL_MES_027_054_0",""
"BTL_MES_027_055_0","ねえ、今なら弱点狙えるよ！
どうしようか？","BTL_MES_027_055_0",""
