"source","target","id","developer_comments"
"text_000_0","ＢＬＡＮＫ","text_000_0",""
"text_001_0","臆病のマーヤ","text_001_0",""
"text_002_0","我欲のバザルト","text_002_0",""
"text_003_0","霧雨姉妹の四女","text_003_0",""
"text_004_0","失言のアブルリー","text_004_0",""
"text_005_0","マジックハンド","text_005_0",""
"text_006_0","ダンシングハンド","text_006_0",""
"text_007_0","キリングハンド","text_007_0",""
"text_008_0","ゴッドハンド","text_008_0",""
"text_009_0","笑うテーブル","text_009_0",""
"text_010_0","泣くテーブル","text_010_0",""
"text_011_0","怒るテーブル","text_011_0",""
"text_012_0","眠るテーブル","text_012_0",""
"text_013_0","マジカルマグス","text_013_0",""
"text_014_0","ワンダーマグス","text_014_0",""
"text_015_0","インテリマグス","text_015_0",""
"text_016_0","グランドマグス","text_016_0",""
"text_017_0","虚言のアブルリー","text_017_0",""
"text_018_0","妄言のアブルリー","text_018_0",""
"text_019_0","甘言のアブルリー","text_019_0",""
"text_020_0","翻弄のアブルリー","text_020_0",""
"text_021_0","残酷のマーヤ","text_021_0",""
"text_022_0","自律のバザルト","text_022_0",""
"text_023_0","霧雨兄弟の四男","text_023_0",""
"text_024_0","失言のアブルリー","text_024_0",""
"text_025_0","雨女の壷","text_025_0",""
"text_026_0","雨見の壷","text_026_0",""
"text_027_0","慕い女の壷","text_027_0",""
"text_028_0","囲ひ女の壷","text_028_0",""
"text_029_0","偽りの聖典","text_029_0",""
"text_030_0","狂気の聖典","text_030_0",""
"text_031_0","沈黙の聖典","text_031_0",""
"text_032_0","怒りの聖典","text_032_0",""
"text_033_0","静寂のマリア","text_033_0",""
"text_034_0","解放のマリア","text_034_0",""
"text_035_0","原初のマリア","text_035_0",""
"text_036_0","狂乱のマリア","text_036_0",""
"text_037_0","導きのマリア","text_037_0",""
"text_038_0","冷静のペーシェ","text_038_0",""
"text_039_0","探求のペーシェ","text_039_0",""
"text_040_0","真理のペーシェ","text_040_0",""
"text_041_0","天啓のペーシェ","text_041_0",""
"text_042_0","虚栄のマーヤ","text_042_0",""
"text_043_0","無為のバザルト","text_043_0",""
"text_044_0","霧雨姉妹の三女","text_044_0",""
"text_045_0","ｂｌａｎｋ","text_045_0",""
"text_046_0","ヴィーナスイーグル","text_046_0",""
"text_047_0","ダークイーグル","text_047_0",""
"text_048_0","ジュピターイーグル","text_048_0",""
"text_049_0","エターナルイーグル","text_049_0",""
"text_050_0","生成の彫像","text_050_0",""
"text_051_0","維持の彫像","text_051_0",""
"text_052_0","育成の彫像","text_052_0",""
"text_053_0","変容の彫像","text_053_0",""
"text_054_0","イデアマザー","text_054_0",""
"text_055_0","スカルプマザー","text_055_0",""
"text_056_0","ピスティルマザー","text_056_0",""
"text_057_0","ディバインマザー","text_057_0",""
"text_058_0","秘密のバンビーノ","text_058_0",""
"text_059_0","狂い咲きバンビーノ","text_059_0",""
"text_060_0","貪欲のバンビーノ","text_060_0",""
"text_061_0","自由のバンビーノ","text_061_0",""
"text_062_0","傲慢のマーヤ","text_062_0",""
"text_063_0","肥大のバザルト","text_063_0",""
"text_064_0","霧雨兄弟の三男","text_064_0",""
"text_065_0","ｂｌａｎｋ","text_065_0",""
"text_066_0","死甲蟲","text_066_0",""
"text_067_0","金剛蟲","text_067_0",""
"text_068_0","剛毅蟲","text_068_0",""
"text_069_0","帝王蟲","text_069_0",""
"text_070_0","熱甲蟲（ダミー）","text_070_0",""
"text_071_0","征服の騎士","text_071_0",""
"text_072_0","凱旋の騎士","text_072_0",""
"text_073_0","地獄の騎士","text_073_0",""
"text_074_0","不屈の騎士","text_074_0",""
"text_075_0","雨見の城","text_075_0",""
"text_076_0","パワーキャッスル","text_076_0",""
"text_077_0","雨つぶての城","text_077_0",""
"text_078_0","キングキャッスル","text_078_0",""
"text_079_0","ぽじてぶキング","text_079_0",""
"text_080_0","えごいすとキング","text_080_0",""
"text_081_0","ぐれぇとキング","text_081_0",""
"text_082_0","ぶりりあんとキング","text_082_0",""
"text_083_0","怠惰のマーヤ","text_083_0",""
"text_084_0","依存のバザルト","text_084_0",""
"text_085_0","霧雨姉妹の次女","text_085_0",""
"text_086_0","ｂｌａｎｋ","text_086_0",""
"text_087_0","トランスツインズ","text_087_0",""
"text_088_0","キラーツインズ","text_088_0",""
"text_089_0","雨明かりの双子","text_089_0",""
"text_090_0","クレイジーツインズ","text_090_0",""
"text_091_0","狂信の塔","text_091_0",""
"text_092_0","教条の塔","text_092_0",""
"text_093_0","教条の塔","text_093_0",""
"text_094_0","破戒の塔","text_094_0",""
"text_095_0","怨恨の塔","text_095_0",""
"text_096_0","青のシジル","text_096_0",""
"text_097_0","赤のシジル","text_097_0",""
"text_098_0","緑のシジル","text_098_0",""
"text_099_0","紫のシジル","text_099_0",""
"text_100_0","収賄のファズ","text_100_0",""
"text_101_0","固執のファズ","text_101_0",""
"text_102_0","偏執のファズ","text_102_0",""
"text_103_0","無秩序のファズ","text_103_0",""
"text_104_0","裏切りのマーヤ","text_104_0",""
"text_105_0","苦悩のバザルト","text_105_0",""
"text_106_0","霧雨兄弟の次男","text_106_0",""
"text_107_0","ｂｌａｎｋ","text_107_0",""
"text_108_0","独占のクビド","text_108_0",""
"text_109_0","盲愛のクビド","text_109_0",""
