"source","target","id","developer_comments"
"CMPPOEM_PATHOS_0","どのパトスを感じようか…","CMPPOEM_PATHOS_0",""
"CMPPOEM_NOT_PATHOS_0","今は何も感じられない…","CMPPOEM_NOT_PATHOS_0",""
"CMPPOEM_SELECT_1_0","『人ならざる者たちへ』","CMPPOEM_SELECT_1_0",""
"CMPPOEM_SELECT_1_1","『駄犬たちのララバイ』","CMPPOEM_SELECT_1_1",""
"CMPPOEM_SELECT_1_2","『ブラッディ・ブライド』","CMPPOEM_SELECT_1_2",""
"CMPPOEM_SELECT_1_3","『おったまげバースデイ』","CMPPOEM_SELECT_1_3",""
"CMPPOEM_SELECT_1_4","『キソク』","CMPPOEM_SELECT_1_4",""
"CMPPOEM_SELECT_1_5","『七つの大罪』","CMPPOEM_SELECT_1_5",""
"CMPPOEM_SELECT_1_6","？？？？","CMPPOEM_SELECT_1_6",""
"CMPPOEM_SELECT_1_7","？？？？","CMPPOEM_SELECT_1_7",""
"CMPPOEM_SELECT_1_8","？？？？","CMPPOEM_SELECT_1_8",""
"CMPPOEM_SELECT_1_9","？？？？","CMPPOEM_SELECT_1_9",""
"CMPPOEM_SELECT_1_10","？？？？","CMPPOEM_SELECT_1_10",""
"CMPPOEM_SELECT_1_11","？？？？","CMPPOEM_SELECT_1_11",""
