"source","target","id","developer_comments"
"offset_00454e1c_0","剛毅","offset_00454e1c_0",""
"offset_00454e24_0","世界","offset_00454e24_0",""
"offset_00454e38_0","死神","offset_00454e38_0",""
"offset_00454e40_0","正義","offset_00454e40_0",""
"offset_00454e48_0","女教皇","offset_00454e48_0",""
"offset_00454e50_0","魔術師","offset_00454e50_0",""
"offset_00454e64_0","太陽","offset_00454e64_0",""
"offset_00454e6c_0","悪魔","offset_00454e6c_0",""
"offset_00454e74_0","塔","offset_00454e74_0",""
"offset_00454e78_0","月","offset_00454e78_0",""
"offset_00454e7c_0","恋愛","offset_00454e7c_0",""
"offset_00454e84_0","法王","offset_00454e84_0",""
"offset_00454e8c_0","節制","offset_00454e8c_0",""
"offset_00454e94_0","星","offset_00454e94_0",""
"offset_00454e98_0","審判","offset_00454e98_0",""
"offset_00454ea0_0","運命","offset_00454ea0_0",""
"offset_00454ea8_0","隠者","offset_00454ea8_0",""
"offset_00454eb0_0","刑死者","offset_00454eb0_0",""
"offset_00454eb8_0","愚者","offset_00454eb8_0",""
"offset_00454ec0_0","戦車","offset_00454ec0_0",""
"offset_00454ec8_0","皇帝","offset_00454ec8_0",""
"offset_00454ed0_0","女帝","offset_00454ed0_0",""
"offset_0045649c_0","Aチーム","offset_0045649c_0",""
"offset_004564a4_0","Bチーム","offset_004564a4_0",""
"offset_004564ac_0","Cチーム","offset_004564ac_0",""
"offset_004564b4_0","Dチーム","offset_004564b4_0",""
"offset_004564bc_0","Eチーム","offset_004564bc_0",""
"offset_004564c4_0","Fチーム","offset_004564c4_0",""
"offset_004564cc_0","Gチーム","offset_004564cc_0",""
"offset_004564d4_0","Hチーム","offset_004564d4_0",""
"offset_004564dc_0","Iチーム","offset_004564dc_0",""
"offset_004564e4_0","Jチーム","offset_004564e4_0",""
"offset_004564ec_0","Lチーム","offset_004564ec_0",""
"offset_004564f4_0","Mチーム","offset_004564f4_0",""
"offset_004564fc_0","Nチーム","offset_004564fc_0",""
"offset_00456504_0","Oチーム","offset_00456504_0",""
"offset_0045650c_0","Pチーム","offset_0045650c_0",""
"offset_00456514_0","Qチーム","offset_00456514_0",""
"offset_0045651c_0","Rチーム","offset_0045651c_0",""
"offset_00456524_0","Sチーム","offset_00456524_0",""
"offset_0045652c_0","Tチーム","offset_0045652c_0",""
"offset_0045653c_0","伊織","offset_0045653c_0",""
"offset_00456544_0","巽","offset_00456544_0",""
"offset_00456548_0","真田 明彦","offset_00456548_0",""
"offset_00456554_0","明彦","offset_00456554_0",""
"offset_0045655c_0","岳羽","offset_0045655c_0",""
"offset_00456564_0","アイギス","offset_00456564_0",""
"offset_00456570_0","荒垣 真次郎","offset_00456570_0",""
"offset_0045657c_0","真次郎","offset_0045657c_0",""
"offset_00456584_0","明智 吾郎","offset_00456584_0",""
"offset_00456590_0","吾郎","offset_00456590_0",""
"offset_004565a0_0","新島 真","offset_004565a0_0",""
"offset_004565a8_0","真","offset_004565a8_0",""
"offset_004565ac_0","荒垣","offset_004565ac_0",""
"offset_004565b4_0","天田","offset_004565b4_0",""
"offset_004565bc_0","真田","offset_004565bc_0",""
"offset_004565c4_0","モルガナ","offset_004565c4_0",""
"offset_004565d0_0","坂本 竜司","offset_004565d0_0",""
"offset_004565dc_0","竜司","offset_004565dc_0",""
"offset_004565e4_0","白鐘 直斗","offset_004565e4_0",""
"offset_004565f0_0","直斗","offset_004565f0_0",""
"offset_004565f8_0","天城 雪子","offset_004565f8_0",""
"offset_00456604_0","雪子","offset_00456604_0",""
"offset_0045660c_0","佐倉","offset_0045660c_0",""
"offset_00456614_0","明智","offset_00456614_0",""
"offset_0045661c_0","奥村 春","offset_0045661c_0",""
"offset_00456624_0","春","offset_00456624_0",""
"offset_00456628_0","佐倉 双葉","offset_00456628_0",""
"offset_00456634_0","双葉","offset_00456634_0",""
"offset_0045663c_0","坂本","offset_0045663c_0",""
"offset_00456644_0","クマ","offset_00456644_0",""
"offset_0045664c_0","里中 千枝","offset_0045664c_0",""
"offset_00456658_0","千枝","offset_00456658_0",""
"offset_00456660_0","里中","offset_00456660_0",""
"offset_00456668_0","新島","offset_00456668_0",""
"offset_00456670_0","コロマル","offset_00456670_0",""
"offset_0045667c_0","天田 乾","offset_0045667c_0",""
"offset_00456684_0","乾","offset_00456684_0",""
"offset_00456688_0","高巻","offset_00456688_0",""
"offset_00456690_0","久慈川 りせ","offset_00456690_0",""
"offset_0045669c_0","りせ","offset_0045669c_0",""
"offset_004566a4_0","奥村","offset_004566a4_0",""
"offset_004566ac_0","花村","offset_004566ac_0",""
"offset_004566b4_0","伊織 順平","offset_004566b4_0",""
"offset_004566c0_0","順平","offset_004566c0_0",""
"offset_004566c8_0","高巻 杏","offset_004566c8_0",""
"offset_004566d0_0","杏","offset_004566d0_0",""
"offset_004566d4_0","山岸 風花","offset_004566d4_0",""
"offset_004566e0_0","風花","offset_004566e0_0",""
"offset_004566e8_0","山岸","offset_004566e8_0",""
"offset_004566f0_0","桐条 美鶴","offset_004566f0_0",""
"offset_004566fc_0","美鶴","offset_004566fc_0",""
"offset_00456704_0","白鐘","offset_00456704_0",""
"offset_0045670c_0","岳羽 ゆかり","offset_0045670c_0",""
"offset_00456718_0","ゆかり","offset_00456718_0",""
"offset_00456720_0","天城","offset_00456720_0",""
"offset_00456728_0","久慈川","offset_00456728_0",""
"offset_00456730_0","喜多川","offset_00456730_0",""
"offset_00456738_0","喜多川 祐介","offset_00456738_0",""
"offset_00456744_0","祐介","offset_00456744_0",""
"offset_0045674c_0","花村 陽介","offset_0045674c_0",""
"offset_00456758_0","陽介","offset_00456758_0",""
"offset_00456760_0","桐条","offset_00456760_0",""
"offset_00456768_0","巽 完二","offset_00456768_0",""
"offset_00456770_0","完二","offset_00456770_0",""
"offset_00456778_0","Ｐ３主人公","offset_00456778_0",""
"offset_00456784_0","Ｐ４主人公","offset_00456784_0",""
"offset_00456790_0","Ｐ５主人公","offset_00456790_0",""
"offset_0045679c_0","Ｐ３女主人公","offset_0045679c_0",""
"offset_00459b60_0","謎解き","offset_00459b60_0",""
"offset_00459b68_0","討伐","offset_00459b68_0",""
"offset_00459b70_0","調査","offset_00459b70_0",""
"offset_00459b78_0","その他","offset_00459b78_0",""
"offset_00459b80_0","採取","offset_00459b80_0",""
"offset_0045a068_0","第%dエリア","offset_0045a068_0",""
"offset_0045a074_0","？？？","offset_0045a074_0",""
"offset_0045a07c_0","A.I.G.I.S","offset_0045a07c_0",""
"offset_0045a088_0","%d番街","offset_0045a088_0",""
"offset_0045a090_0","大衆の映画館街","offset_0045a090_0",""
"offset_0045a498_0","中央集積所","offset_0045a498_0",""
"offset_0045a4a4_0","第%d幕","offset_0045a4a4_0",""
"offset_0045a4ac_0","第%dゾーン","offset_0045a4ac_0",""
"offset_0045a4b8_0","カモシダーマン","offset_0045a4b8_0",""
"offset_0045a4c8_0","大衆の映画館街・最奥部","offset_0045a4c8_0",""
"offset_0045a4e0_0","島の最果て","offset_0045a4e0_0",""
"offset_0045a4ec_0","無限の幕間","offset_0045a4ec_0",""
"offset_0045a4f8_0","第%d区画","offset_0045a4f8_0",""
"offset_0045a504_0","ひかり","offset_0045a504_0",""
"offset_0045a50c_0","カモシダ記念広場","offset_0045a50c_0",""
"offset_0045b154_0","エリザベス＆テオドア","offset_0045b154_0",""
"offset_0045b16c_0","マガツイザナギ","offset_0045b16c_0",""
"offset_0045b17c_0","アステリオス","offset_0045b17c_0",""
"offset_0045b18c_0","タナトス","offset_0045b18c_0",""
"offset_0045b198_0","メサイア・賊神","offset_0045b198_0",""
"offset_0045b1a8_0","イザナギ・賊神","offset_0045b1a8_0",""
"offset_0045b1b8_0","オルフェウス・賊神","offset_0045b1b8_0",""
"offset_0045b1cc_0","アステリオス・賊神","offset_0045b1cc_0",""
"offset_0045b1e0_0","タナトス・賊神","offset_0045b1e0_0",""
"offset_0045b1f0_0","アリアドネ・賊神","offset_0045b1f0_0",""
"offset_0045b204_0","ツキヨミ・賊神","offset_0045b204_0",""
"offset_0045b214_0","カグヤ・賊神","offset_0045b214_0",""
"offset_0045b224_0","マガツイザナギ賊神","offset_0045b224_0",""
"offset_0045b238_0","ご当地グルメ３食セット","offset_0045b238_0",""
"offset_0045b250_0","ペルソナ３セット","offset_0045b250_0",""
"offset_0045b264_0","ペルソナ４セット","offset_0045b264_0",""
"offset_0045b278_0","ペルソナ５セット","offset_0045b278_0",""
"offset_0045b28c_0","レベルアップセット","offset_0045b28c_0",""
"offset_0045b2a0_0","映画鑑賞用回復セット","offset_0045b2a0_0",""
"offset_0045b2b8_0","戦闘確率制御セット","offset_0045b2b8_0",""
"offset_0045b2cc_0","ジュスティーヌ＆カロリーヌ","offset_0045b2cc_0",""
"offset_0045b2e8_0","アリアドネ","offset_0045b2e8_0",""
"offset_0045b34c_0","マーガレット＆菜々子","offset_0045b34c_0",""
"offset_0045b364_0","ツキヨミ","offset_0045b364_0",""
"offset_0045b370_0","カグヤ","offset_0045b370_0",""
"offset_0045b378_0","経験値上昇アクセサリ","offset_0045b378_0",""
"offset_0045b390_0","入手金上昇アクセサリ","offset_0045b390_0",""
"offset_0045fee0_0","メモ","offset_0045fee0_0",""
"offset_0045fee8_0","第１幕","offset_0045fee8_0",""
"offset_0045fef0_0","第２幕","offset_0045fef0_0",""
"offset_0045fef8_0","第３幕","offset_0045fef8_0",""
"offset_0045ff00_0","第４幕","offset_0045ff00_0",""
"offset_0045ff08_0","第５幕","offset_0045ff08_0",""
"offset_0045ff10_0","第６幕","offset_0045ff10_0",""
"offset_0045ff18_0","第７幕","offset_0045ff18_0",""
"offset_0045ff20_0","第１ゾーン","offset_0045ff20_0",""
"offset_0045ff2c_0","第２ゾーン","offset_0045ff2c_0",""
"offset_0045ff38_0","・最奥部","offset_0045ff38_0",""
"offset_0045ff44_0","抜け道","offset_0045ff44_0",""
"offset_0045ff4c_0","ギミック壁","offset_0045ff4c_0",""
"offset_0045ff58_0","防風壁","offset_0045ff58_0",""
"offset_0045ff60_0","破壊壁","offset_0045ff60_0",""
"offset_0045ff68_0","閉じた扉","offset_0045ff68_0",""
"offset_0045ff74_0","てすと映画","offset_0045ff74_0",""
"offset_0045ff80_0","第１区画","offset_0045ff80_0",""
"offset_0045ff8c_0","第２区画","offset_0045ff8c_0",""
"offset_0045ff98_0","第３区画","offset_0045ff98_0",""
"offset_0045ffa4_0","第４区画","offset_0045ffa4_0",""
"offset_0045ffb0_0","せり","offset_0045ffb0_0",""
"offset_0045ffb8_0","最終テスト場","offset_0045ffb8_0",""
"offset_0045ffc8_0","第１テスト場","offset_0045ffc8_0",""
"offset_0045ffd8_0","第２テスト場","offset_0045ffd8_0",""
"offset_0045ffe8_0","第３テスト場","offset_0045ffe8_0",""
"offset_0045fff8_0","第４テスト場","offset_0045fff8_0",""
"offset_00460008_0","第５テスト場","offset_00460008_0",""
"offset_00460018_0","第６テスト場","offset_00460018_0",""
"offset_00460028_0","第７テスト場","offset_00460028_0",""
"offset_00460038_0","第８テスト場","offset_00460038_0",""
"offset_00460048_0","第９テスト場","offset_00460048_0",""
"offset_00460058_0","回転柵","offset_00460058_0",""
"offset_00460060_0","矢印","offset_00460060_0",""
"offset_004602a0_0","ダミー 50","offset_004602a0_0",""
"offset_004602ac_0","ダミー 51","offset_004602ac_0",""
"offset_004602b8_0","大衆の映画館街 第１エリア","offset_004602b8_0",""
"offset_004602d4_0","大衆の映画館街 第２エリア","offset_004602d4_0",""
"offset_004602f0_0","大衆の映画館街 第３エリア","offset_004602f0_0",""
"offset_0046030c_0","大衆の映画館街 第４エリア","offset_0046030c_0",""
"offset_00460328_0","A.I.G.I.S 研究所 第１フロア","offset_00460328_0",""
"offset_00460344_0","A.I.G.I.S 研究所 第２フロア","offset_00460344_0",""
"offset_00460360_0","RESERVE","offset_00460360_0",""
"offset_00460368_0","ヤソガミコウコウ","offset_00460368_0",""
"offset_0046037c_0","カモシダーマン １番街","offset_0046037c_0",""
"offset_00460394_0","カモシダーマン ２番街","offset_00460394_0",""
"offset_004603ac_0","カモシダーマン ３番街","offset_004603ac_0",""
"offset_004603c4_0","A.I.G.I.S 中央集積所","offset_004603c4_0",""
"offset_004603dc_0","ひかり 第１幕","offset_004603dc_0",""
"offset_004603ec_0","ひかり 第２幕","offset_004603ec_0",""
"offset_004603fc_0","ひかり 第３幕","offset_004603fc_0",""
"offset_0046040c_0","ひかり 第４幕","offset_0046040c_0",""
"offset_0046041c_0","ひかり 第５幕","offset_0046041c_0",""
"offset_0046042c_0","ひかり 第６幕","offset_0046042c_0",""
"offset_0046043c_0","ひかり 第７幕","offset_0046043c_0",""
"offset_0046044c_0","A.I.G.I.S 第１ゾーン","offset_0046044c_0",""
