"source","target","id","developer_comments"
"DG_OBJECTIVE_MSG_LARGE_0_0","『爆轟の砲座』のドロップ品を集めろ！","DG_OBJECTIVE_MSG_LARGE_0_0",""
"DG_OBJECTIVE_MSG_SMALL_0_0","『未来の機構』を残り３個入手せよ","DG_OBJECTIVE_MSG_SMALL_0_0",""
"DG_OBJECTIVE_MSG_SMALL_0_2_0","『未来の機構』を残り２個入手せよ","DG_OBJECTIVE_MSG_SMALL_0_2_0",""
"DG_OBJECTIVE_MSG_SMALL_0_3_0","『未来の機構』を残り１個入手せよ","DG_OBJECTIVE_MSG_SMALL_0_3_0",""
"DG_OBJECTIVE_MSG_SMALL_0_4_0","残り１体を討伐しろ","DG_OBJECTIVE_MSG_SMALL_0_4_0",""
"DG_OBJECTIVE_MSG_SMALL_0_5_0","脱出しろ！","DG_OBJECTIVE_MSG_SMALL_0_5_0",""
"DG_OBJECTIVE_MSG_SMALL_0_6_0","脱出しろ！","DG_OBJECTIVE_MSG_SMALL_0_6_0",""
"DG_OBJECTIVE_MSG_SMALL_0_7_0","脱出しろ！","DG_OBJECTIVE_MSG_SMALL_0_7_0",""
"DG_OBJECTIVE_MSG_SMALL_0_8_0","脱出しろ！","DG_OBJECTIVE_MSG_SMALL_0_8_0",""
"DG_OBJECTIVE_MSG_SMALL_0_9_0","脱出しろ！","DG_OBJECTIVE_MSG_SMALL_0_9_0",""
"DG_OBJECTIVE_MSG_SMALL_0_10_0","脱出しろ！","DG_OBJECTIVE_MSG_SMALL_0_10_0",""
