"source","target","id","developer_comments"
"S00_DG_GIMMICK_SWITCH_MS_0","スイッチを押した。","S00_DG_GIMMICK_SWITCH_MS_0",""
"S01_DG_GIMMICK_SWITCH_MS_0","スイッチを力強く押した","S01_DG_GIMMICK_SWITCH_MS_0",""
"S02_DG_GIMMICK_SWITCH_MS_0","スイッチは既に押されている","S02_DG_GIMMICK_SWITCH_MS_0",""
"S03_DG_GIMMICK_SWITCH_MS_0","スイッチは既に力強く押されている","S03_DG_GIMMICK_SWITCH_MS_0",""
"S04_DG_GIMMICK_CHANGE_SW_0","スイッチをＯＮにした","S04_DG_GIMMICK_CHANGE_SW_0",""
"S05_DG_GIMMICK_CHANGE_SW_0","スイッチをＯＦＦにした","S05_DG_GIMMICK_CHANGE_SW_0",""
"S06_DG_GIMMICK_CHANGE_SE_0","サーチライトの電源が切れた。","S06_DG_GIMMICK_CHANGE_SE_0",""
"S07_DG_GIMMICK_CHANGE_SE_0","既にサーチライトの電源は切れている。","S07_DG_GIMMICK_CHANGE_SE_0",""
"S08_DG_GIMMICK_CHANGE_SE_0","点いているサーチライトが
切り替わった。","S08_DG_GIMMICK_CHANGE_SE_0",""
"S09_DG_GIMMICK_KAITENSAK_0","柵を回転させた。","S09_DG_GIMMICK_KAITENSAK_0",""
"S10_DG_GIMMICK_DENKISAKU_0","電気柵の電源が一時的に切れた。","S10_DG_GIMMICK_DENKISAKU_0",""
"S11_DG_GIMMICK_DENKISAKU_0","既に電源は操作してある。","S11_DG_GIMMICK_DENKISAKU_0",""
"S12_DG_GIMMICK_SERI_CHAN_0","せりが一斉に動いた。","S12_DG_GIMMICK_SERI_CHAN_0",""
"S13_DG_GIMMICK_BOUHU_OPE_0","付近の風の流れが変わった。","S13_DG_GIMMICK_BOUHU_OPE_0",""
"S14_DG_GIMMICK_SERI_FIRS_0","せりが一斉に動いた。","S14_DG_GIMMICK_SERI_FIRS_0",""
"S15_DG_GIMMICK_BOUHU_FIR_0","何かの作動した音がした…","S15_DG_GIMMICK_BOUHU_FIR_0",""
