"source","target","id","developer_comments"
"ITEM_POINT_SEL_0","警戒しながら探す","ITEM_POINT_SEL_0",""
"ITEM_POINT_SEL_1","採取に専念する","ITEM_POINT_SEL_1",""
"ITEM_POINT_SEL_2","やめる","ITEM_POINT_SEL_2",""
"ITEM_POINT_FORCE_BTL_SEL_0","探す","ITEM_POINT_FORCE_BTL_SEL_0",""
"ITEM_POINT_FORCE_BTL_SEL_1","やめる","ITEM_POINT_FORCE_BTL_SEL_1",""
"SHORTCUT_SEL_0","通る","SHORTCUT_SEL_0",""
"SHORTCUT_SEL_1","通らない","SHORTCUT_SEL_1",""
"ENTRANCE_SEL_0","戻る","ENTRANCE_SEL_0",""
"ENTRANCE_SEL_1","戻らない","ENTRANCE_SEL_1",""
"MSG_000_0","このあたり、採取出来るみたいだね。
どうする？","MSG_000_0","明智 吾郎"
"MSG_001_0","そうだね。
敵に気をつけながら探そう。","MSG_001_0","明智 吾郎"
"MSG_002_0","うん。
じゃあしっかり探そう。","MSG_002_0","明智 吾郎"
"MSG_003_0","分かったよ。
今は止めておこう。","MSG_003_0","明智 吾郎"
"MSG_004_0","もう見つからないみたいだね。","MSG_004_0","明智 吾郎"
"MSG_005_0","よし。","MSG_005_0",""
"MSG_006_0","いいね。","MSG_006_0",""
"MSG_007_0","うん！","MSG_007_0",""
"MSG_008_0","危なかったね。
ここでの採取は終わりにしよう。","MSG_008_0","明智 吾郎"
"MSG_009_0","凄いね！","MSG_009_0",""
"MSG_010_0","これは…！","MSG_010_0",""
"MSG_011_0","素晴らしいよ！","MSG_011_0",""
"MSG_012_0","ショートカットだよ。
開通しておくかい？","MSG_012_0","明智 吾郎"
"MSG_013_0","ショートカットだよ。
開通しておくかい？","MSG_013_0","明智 吾郎"
"MSG_014_0","ショートカットだよ。
開通しておくかい？","MSG_014_0","明智 吾郎"
"MSG_015_0","こちらからは通れないみたいだね…","MSG_015_0","明智 吾郎"
"MSG_016_0","こちらからは通れないみたいだね…","MSG_016_0","明智 吾郎"
"MSG_017_0","こちらからは通れないみたいだね…","MSG_017_0","明智 吾郎"
"MSG_018_0","これは…
かなり危険な空気を感じるね…","MSG_018_0","明智 吾郎"
"MSG_019_0","うん。
気をつけて調べようか。","MSG_019_0","明智 吾郎"
"MSG_020_0","そうだね。
迂闊に調べない方が良さそうだ。","MSG_020_0","明智 吾郎"
"MSG_021_0","かなりの強敵だったね。
みんな、無事かい？","MSG_021_0","明智 吾郎"
"MSG_022_0","シャドウの気配がするね。
どうしようか？","MSG_022_0","明智 吾郎"
"MSG_023_0","よし、調べてみよう。","MSG_023_0","明智 吾郎"
"MSG_024_0","そうだね。
気をつけるに越したことはないよ。","MSG_024_0","明智 吾郎"
"MSG_025_0","フゥ…なんとかなったかな？","MSG_025_0","明智 吾郎"
"MSG_026_0","ん？　映画館に戻るのかい？","MSG_026_0","明智 吾郎"
"MSG_027_0","！！ああっと！！","MSG_027_0",""
"speaker_明智 吾郎","明智 吾郎","speaker_明智 吾郎",""
