"source","target","id","developer_comments"
"ITEM_POINT_SEL_0","警戒しながら探す","ITEM_POINT_SEL_0",""
"ITEM_POINT_SEL_1","採取に専念する","ITEM_POINT_SEL_1",""
"ITEM_POINT_SEL_2","やめる","ITEM_POINT_SEL_2",""
"ITEM_POINT_FORCE_BTL_SEL_0","探す","ITEM_POINT_FORCE_BTL_SEL_0",""
"ITEM_POINT_FORCE_BTL_SEL_1","やめる","ITEM_POINT_FORCE_BTL_SEL_1",""
"SHORTCUT_SEL_0","通る","SHORTCUT_SEL_0",""
"SHORTCUT_SEL_1","通らない","SHORTCUT_SEL_1",""
"ENTRANCE_SEL_0","戻る","ENTRANCE_SEL_0",""
"ENTRANCE_SEL_1","戻らない","ENTRANCE_SEL_1",""
"MSG_000_0","あ！　ここ採取出来るみたい！
どうしよっか？","MSG_000_0","高巻 杏"
"MSG_001_0","オーケー！
周りに気をつけて探そう！","MSG_001_0","高巻 杏"
"MSG_002_0","分かった！
集中して探すね！","MSG_002_0","高巻 杏"
"MSG_003_0","危ないかもしれないしね。
また、気が向いたら探してみよっか。","MSG_003_0","高巻 杏"
"MSG_004_0","これで全部みたいだね。","MSG_004_0","高巻 杏"
"MSG_005_0","ゲーット！","MSG_005_0",""
"MSG_006_0","うわぁ！","MSG_006_0",""
"MSG_007_0","うん！","MSG_007_0",""
"MSG_008_0","び、びっくりした…
もう終わりにしておこ？","MSG_008_0","高巻 杏"
"MSG_009_0","凄くない！？","MSG_009_0",""
"MSG_010_0","テンション上がる！","MSG_010_0",""
"MSG_011_0","イェーイ！","MSG_011_0",""
"MSG_012_0","あ！　近道できそう！
どうする？　通る？","MSG_012_0","高巻 杏"
"MSG_015_0","こっちは通れないみたいだね…","MSG_015_0","高巻 杏"
"MSG_018_0","ね、ここヤバくない？
なんか嫌な気配がするんだけど…","MSG_018_0","高巻 杏"
"MSG_019_0","う、うん。分かった。","MSG_019_0","高巻 杏"
"MSG_020_0","そうだね。
止めておこっか。","MSG_020_0","高巻 杏"
"MSG_021_0","ふう…どうなることかと思った。
すごく強かったね。","MSG_021_0","高巻 杏"
"MSG_022_0","ここ、シャドウの気配ヤバくない？
どうしよっか？","MSG_022_0","高巻 杏"
"MSG_023_0","分かった。
気をつけて探そ！","MSG_023_0","高巻 杏"
"MSG_024_0","そうだね。
止めておこっか。","MSG_024_0","高巻 杏"
"MSG_025_0","ふう…危なかったね。","MSG_025_0","高巻 杏"
"MSG_026_0","これ映画館に戻る所だよね？
戻る？","MSG_026_0","高巻 杏"
"MSG_027_0","！！ああっと！！","MSG_027_0",""
"speaker_高巻 杏","高巻 杏","speaker_高巻 杏",""
