"source","target","id","developer_comments"
"ITEM_POINT_SEL_0","警戒しながら探す","ITEM_POINT_SEL_0",""
"ITEM_POINT_SEL_1","採取に専念する","ITEM_POINT_SEL_1",""
"ITEM_POINT_SEL_2","やめる","ITEM_POINT_SEL_2",""
"ITEM_POINT_FORCE_BTL_SEL_0","探す","ITEM_POINT_FORCE_BTL_SEL_0",""
"ITEM_POINT_FORCE_BTL_SEL_1","やめる","ITEM_POINT_FORCE_BTL_SEL_1",""
"SHORTCUT_SEL_0","通る","SHORTCUT_SEL_0",""
"SHORTCUT_SEL_1","通らない","SHORTCUT_SEL_1",""
"ENTRANCE_SEL_0","戻る","ENTRANCE_SEL_0",""
"ENTRANCE_SEL_1","戻らない","ENTRANCE_SEL_1",""
"MSG_000_0","なんか採れるみてぇだな。
どうするよ？","MSG_000_0","荒垣 真次郎"
"MSG_001_0","あぁ。
周りに注意しろよ。","MSG_001_0","荒垣 真次郎"
"MSG_002_0","ま、なんも来ねぇだろ。
探してみようぜ。","MSG_002_0","荒垣 真次郎"
"MSG_003_0","そうだな…","MSG_003_0","荒垣 真次郎"
"MSG_004_0","これで終いみてぇだな。","MSG_004_0","荒垣 真次郎"
"MSG_005_0","ふぅん…","MSG_005_0",""
"MSG_006_0","悪くねぇ。","MSG_006_0",""
"MSG_007_0","いただくぜ。","MSG_007_0",""
"MSG_008_0","潮時だな。","MSG_008_0","荒垣 真次郎"
"MSG_009_0","こりゃスゲェ。","MSG_009_0",""
"MSG_010_0","よかったな。","MSG_010_0",""
"MSG_011_0","ほぅ、珍しいな。","MSG_011_0",""
"MSG_012_0","近道か…どうするんだ？","MSG_012_0","荒垣 真次郎"
"MSG_015_0","チッ…
こっちは通れねぇみたいだぜ。","MSG_015_0","荒垣 真次郎"
"MSG_018_0","ここ、嫌な気配がすんな…
どうするんだ？","MSG_018_0","荒垣 真次郎"
"MSG_019_0","おっし。
んじゃ、気合い入れていくぞ。","MSG_019_0","荒垣 真次郎"
"MSG_020_0","賢明だな。","MSG_020_0","荒垣 真次郎"
"MSG_021_0","かなり手強かったな。
なんとかなったか…","MSG_021_0","荒垣 真次郎"
"MSG_022_0","この辺、シャドウの気配がすんな。
どうすんだ？","MSG_022_0","荒垣 真次郎"
"MSG_023_0","おし、調べるとするか。","MSG_023_0","荒垣 真次郎"
"MSG_024_0","ああ、分かった。","MSG_024_0","荒垣 真次郎"
"MSG_025_0","やれやれ、やっぱり出やがったな。","MSG_025_0","荒垣 真次郎"
"MSG_026_0","映画館に戻んのか？","MSG_026_0","荒垣 真次郎"
"MSG_027_0","！！ああっと！！","MSG_027_0",""
"speaker_荒垣 真次郎","荒垣 真次郎","speaker_荒垣 真次郎",""
