"source","target","id","developer_comments"
"ITEM_POINT_SEL_0","警戒しながら探す","ITEM_POINT_SEL_0",""
"ITEM_POINT_SEL_1","採取に専念する","ITEM_POINT_SEL_1",""
"ITEM_POINT_SEL_2","やめる","ITEM_POINT_SEL_2",""
"ITEM_POINT_FORCE_BTL_SEL_0","探す","ITEM_POINT_FORCE_BTL_SEL_0",""
"ITEM_POINT_FORCE_BTL_SEL_1","やめる","ITEM_POINT_FORCE_BTL_SEL_1",""
"SHORTCUT_SEL_0","通る","SHORTCUT_SEL_0",""
"SHORTCUT_SEL_1","通らない","SHORTCUT_SEL_1",""
"ENTRANCE_SEL_0","戻る","ENTRANCE_SEL_0",""
"ENTRANCE_SEL_1","戻らない","ENTRANCE_SEL_1",""
"MSG_000_0","おぉ！　オタカラスポット発見！
どうする？　調べる？","MSG_000_0","里中 千枝"
"MSG_001_0","うん！
敵にスキは見せないよ！","MSG_001_0","里中 千枝"
"MSG_002_0","了解！
なりふり構わず探すぞよ！","MSG_002_0","里中 千枝"
"MSG_003_0","危険もあるもんね。
ラジャー！","MSG_003_0","里中 千枝"
"MSG_004_0","えーっと…
これで終わり？","MSG_004_0","里中 千枝"
"MSG_005_0","いただくぞよ！","MSG_005_0",""
"MSG_006_0","ゲットゲット。","MSG_006_0",""
"MSG_007_0","いい感じ！","MSG_007_0",""
"MSG_008_0","あっぶなかったー！
もう終わりにしよ？","MSG_008_0","里中 千枝"
"MSG_009_0","すごいじゃん！","MSG_009_0",""
"MSG_010_0","レアじゃん！","MSG_010_0",""
"MSG_011_0","スゴっ…","MSG_011_0",""
"MSG_012_0","おっ、近道はっけーん！
通ってみる？","MSG_012_0","里中 千枝"
"MSG_015_0","こっちは通れないかぁ…
残念だけど、諦めよ。","MSG_015_0","里中 千枝"
"MSG_018_0","な、なんかここヤバくない？
ヤバい気配しない？","MSG_018_0","里中 千枝"
"MSG_019_0","ほ、ほんとに？
分かった…調べてみよ。","MSG_019_0","里中 千枝"
"MSG_020_0","うんうん、そうしよう！","MSG_020_0","里中 千枝"
"MSG_021_0","つ、強かった～。
あんな敵がいるなんて、ヤバ…","MSG_021_0","里中 千枝"
"MSG_022_0","ムム？
なんかシャドウの気配が強い気が…","MSG_022_0","里中 千枝"
"MSG_023_0","よし！　気をつけて調べよう！","MSG_023_0","里中 千枝"
"MSG_024_0","ありゃ、止めておく？","MSG_024_0","里中 千枝"
"MSG_025_0","びっくりしたー…
急に出てくるんだもん。","MSG_025_0","里中 千枝"
"MSG_026_0","お？　映画館に戻る？","MSG_026_0","里中 千枝"
"MSG_027_0","！！ああっと！！","MSG_027_0",""
"speaker_里中 千枝","里中 千枝","speaker_里中 千枝",""
