"source","target","id","developer_comments"
"ITEM_POINT_SEL_0","警戒しながら探す","ITEM_POINT_SEL_0",""
"ITEM_POINT_SEL_1","採取に専念する","ITEM_POINT_SEL_1",""
"ITEM_POINT_SEL_2","やめる","ITEM_POINT_SEL_2",""
"ITEM_POINT_FORCE_BTL_SEL_0","探す","ITEM_POINT_FORCE_BTL_SEL_0",""
"ITEM_POINT_FORCE_BTL_SEL_1","やめる","ITEM_POINT_FORCE_BTL_SEL_1",""
"SHORTCUT_SEL_0","通る","SHORTCUT_SEL_0",""
"SHORTCUT_SEL_1","通らない","SHORTCUT_SEL_1",""
"ENTRANCE_SEL_0","戻る","ENTRANCE_SEL_0",""
"ENTRANCE_SEL_1","戻らない","ENTRANCE_SEL_1",""
"ZABE_MSG_005_0","悪くありません。","ZABE_MSG_005_0",""
"THEO_MSG_005_0","やりましたね。","THEO_MSG_005_0",""
"ZABE_MSG_006_0","おやおや。","ZABE_MSG_006_0",""
"THEO_MSG_006_0","いい調子です。","THEO_MSG_006_0",""
"ZABE_MSG_007_0","おや、まぁ。","ZABE_MSG_007_0",""
"THEO_MSG_007_0","これはなかなか…","THEO_MSG_007_0",""
"ZABE_MSG_009_0","素晴らしい！","ZABE_MSG_009_0",""
"ZABE_MSG_010_0","お、おぉ！！","ZABE_MSG_010_0",""
"THEO_MSG_010_0","素晴らしい！","THEO_MSG_010_0",""
"ZABE_MSG_011_0","おや、レア物！","ZABE_MSG_011_0",""
"THEO_MSG_011_0","レア物です！","THEO_MSG_011_0",""
"MSG_027_0","！！ああっと！！","MSG_027_0",""
"ZABE_MSG_027_0","！！ああっと！！","ZABE_MSG_027_0",""
"THEO_MSG_027_0","！！ああっと！！","THEO_MSG_027_0",""
"speaker_エリザベス","エリザベス","speaker_エリザベス",""
