"source","target","id","developer_comments"
"ITEM_POINT_SEL_0","警戒しながら探す","ITEM_POINT_SEL_0",""
"ITEM_POINT_SEL_1","採取に専念する","ITEM_POINT_SEL_1",""
"ITEM_POINT_SEL_2","やめる","ITEM_POINT_SEL_2",""
"ITEM_POINT_FORCE_BTL_SEL_0","探す","ITEM_POINT_FORCE_BTL_SEL_0",""
"ITEM_POINT_FORCE_BTL_SEL_1","やめる","ITEM_POINT_FORCE_BTL_SEL_1",""
"SHORTCUT_SEL_0","通る","SHORTCUT_SEL_0",""
"SHORTCUT_SEL_1","通らない","SHORTCUT_SEL_1",""
"ENTRANCE_SEL_0","戻る","ENTRANCE_SEL_0",""
"ENTRANCE_SEL_1","戻らない","ENTRANCE_SEL_1",""
"MSG_000_0","オタカラスポットみたいです。
採取してみますか？","MSG_000_0","山岸 風花"
"MSG_001_0","了解です！
周りにも注意しましょう！","MSG_001_0","山岸 風花"
"MSG_002_0","分かりました！
一意専心、ですね！","MSG_002_0","山岸 風花"
"MSG_003_0","はい、分かりました。
危険もありますからね。","MSG_003_0","山岸 風花"
"MSG_004_0","もう何もないみたいですね。
お疲れ様でした。","MSG_004_0","山岸 風花"
"MSG_005_0","わぁ～！","MSG_005_0",""
"MSG_006_0","どうでしたか？","MSG_006_0",""
"MSG_007_0","ふむふむ。","MSG_007_0",""
"MSG_008_0","皆さん、お疲れ様です。
採取もおしまいみたいですよ。","MSG_008_0","山岸 風花"
"MSG_009_0","レアですよ！","MSG_009_0",""
"MSG_010_0","やりましたね！","MSG_010_0",""
"MSG_011_0","すごいです！","MSG_011_0",""
"MSG_012_0","ショートカットです！
開通しておきますか？","MSG_012_0","山岸 風花"
"MSG_015_0","こっちは通れないみたいですね…
反対側を調べてみて下さい！","MSG_015_0","山岸 風花"
"MSG_018_0","気をつけてください！
そこ、凄く危険な気配がします！","MSG_018_0","山岸 風花"
"MSG_019_0","分かりました。
十分に気をつけてください！","MSG_019_0","山岸 風花"
"MSG_020_0","了解です。","MSG_020_0","山岸 風花"
"MSG_021_0","あ、危なかったですね…
皆さん、ご無事ですか？","MSG_021_0","山岸 風花"
"MSG_022_0","ここ、シャドウの気配がします！
気をつけてください！","MSG_022_0","山岸 風花"
"MSG_023_0","はい！　精一杯サポートします！","MSG_023_0","山岸 風花"
"MSG_024_0","分かりました。","MSG_024_0","山岸 風花"
"MSG_025_0","皆さん、お疲れ様です！","MSG_025_0","山岸 風花"
"MSG_026_0","そこから映画館に戻れますね。
どうしますか？","MSG_026_0","山岸 風花"
"MSG_027_0","！！ああっと！！","MSG_027_0",""
"speaker_山岸 風花","山岸 風花","speaker_山岸 風花",""
