"source","target","id","developer_comments"
"ITEM_POINT_SEL_0","警戒しながら探す","ITEM_POINT_SEL_0",""
"ITEM_POINT_SEL_1","採取に専念する","ITEM_POINT_SEL_1",""
"ITEM_POINT_SEL_2","やめる","ITEM_POINT_SEL_2",""
"ITEM_POINT_FORCE_BTL_SEL_0","探す","ITEM_POINT_FORCE_BTL_SEL_0",""
"ITEM_POINT_FORCE_BTL_SEL_1","やめる","ITEM_POINT_FORCE_BTL_SEL_1",""
"SHORTCUT_SEL_0","通る","SHORTCUT_SEL_0",""
"SHORTCUT_SEL_1","通らない","SHORTCUT_SEL_1",""
"ENTRANCE_SEL_0","戻る","ENTRANCE_SEL_0",""
"ENTRANCE_SEL_1","戻らない","ENTRANCE_SEL_1",""
"MSG_000_0","お？　そこで採取できるぞ！
どうするんだ？","MSG_000_0","佐倉 双葉"
"MSG_000_1_0","お？　そこで採取できるぞ！
どうするんだ？","MSG_000_1_0","佐倉 双葉"
"MSG_001_0","そうだな。
気をつけて探せよ。","MSG_001_0","佐倉 双葉"
"MSG_001_1_0","そうだな。
気をつけて探せよ。","MSG_001_1_0","佐倉 双葉"
"MSG_002_0","おう！
なりふり構うなよ！","MSG_002_0","佐倉 双葉"
"MSG_002_1_0","おう！
なりふり構うなよ！","MSG_002_1_0","佐倉 双葉"
"MSG_003_0","おけ。
じゃあ、止めておこう。","MSG_003_0","佐倉 双葉"
"MSG_003_1_0","おけ。
じゃあ、止めておこう。","MSG_003_1_0","佐倉 双葉"
"MSG_004_0","よし！
採取任務、完了だ！","MSG_004_0","佐倉 双葉"
"MSG_004_1_0","よし！
採取任務、完了だ！","MSG_004_1_0","佐倉 双葉"
"MSG_005_0","おっ！","MSG_005_0",""
"MSG_006_0","ほほー。","MSG_006_0",""
"MSG_007_0","おおー。","MSG_007_0",""
"MSG_008_0","危なかったな！
採取はこれでオシマイだぞ。","MSG_008_0","佐倉 双葉"
"MSG_008_1_0","危なかったな！
採取はこれでオシマイだぞ。","MSG_008_1_0","佐倉 双葉"
"MSG_009_0","うおっ、すげー！","MSG_009_0",""
"MSG_010_0","レアアイテム！","MSG_010_0",""
"MSG_011_0","やったぞ！！","MSG_011_0",""
"MSG_012_0","ショートカットみたいだな。
通るか？","MSG_012_0","佐倉 双葉"
"MSG_012_1_0","ショートカットみたいだな。
通るか？","MSG_012_1_0","佐倉 双葉"
"MSG_015_0","残念。
こっちは通れないみたいだな。","MSG_015_0","佐倉 双葉"
"MSG_015_1_0","残念。
こっちは通れないみたいだな。","MSG_015_1_0","佐倉 双葉"
"MSG_018_0","そこのオタカラスポット…
かなり危険な気配がするぞ？　どうする？","MSG_018_0","佐倉 双葉"
"MSG_018_1_0","そこのオタカラスポット…
かなり危険な気配がするぞ？　どうする？","MSG_018_1_0","佐倉 双葉"
"MSG_019_0","分かった。
気をつけろよ！","MSG_019_0","佐倉 双葉"
"MSG_019_1_0","分かった。
気をつけろよ！","MSG_019_1_0","佐倉 双葉"
"MSG_020_0","そうだな。危険だし、
注意するに越したことはないな！","MSG_020_0","佐倉 双葉"
"MSG_020_1_0","そうだな。危険だし、
注意するに越したことはないな！","MSG_020_1_0","佐倉 双葉"
"MSG_021_0","ヤベー強かったな…
しばらくノーサンキューだぞ。","MSG_021_0","佐倉 双葉"
"MSG_021_1_0","ヤベー強かったな…
しばらくノーサンキューだぞ。","MSG_021_1_0","佐倉 双葉"
"MSG_022_0","ここ、シャドウの気配が多いぞ！
気をつけろよ！","MSG_022_0","佐倉 双葉"
"MSG_022_1_0","ここ、シャドウの気配が多いぞ！
気をつけろよ！","MSG_022_1_0","佐倉 双葉"
"MSG_023_0","よし！　しっかり警戒しろ！","MSG_023_0","佐倉 双葉"
"MSG_023_1_0","よし！　しっかり警戒しろ！","MSG_023_1_0","佐倉 双葉"
"MSG_024_0","おう、危険かもしれないからな！","MSG_024_0","佐倉 双葉"
"MSG_024_1_0","おう、危険かもしれないからな！","MSG_024_1_0","佐倉 双葉"
"MSG_025_0","なんとかなったな！","MSG_025_0","佐倉 双葉"
"MSG_025_1_0","なんとかなったな！","MSG_025_1_0","佐倉 双葉"
"MSG_026_0","そっから映画館に戻れるぞ！
戻るのか？","MSG_026_0","佐倉 双葉"
"MSG_026_1_0","そっから映画館に戻れるぞ！
戻るのか？","MSG_026_1_0","佐倉 双葉"
"MSG_027_0","！！ああっと！！","MSG_027_0",""
"speaker_佐倉 双葉","佐倉 双葉","speaker_佐倉 双葉",""
