"source","target","id","developer_comments"
"ITEM_POINT_SEL_0","警戒しながら探す","ITEM_POINT_SEL_0",""
"ITEM_POINT_SEL_1","採取に専念する","ITEM_POINT_SEL_1",""
"ITEM_POINT_SEL_2","やめる","ITEM_POINT_SEL_2",""
"ITEM_POINT_FORCE_BTL_SEL_0","探す","ITEM_POINT_FORCE_BTL_SEL_0",""
"ITEM_POINT_FORCE_BTL_SEL_1","やめる","ITEM_POINT_FORCE_BTL_SEL_1",""
"SHORTCUT_SEL_0","通る","SHORTCUT_SEL_0",""
"SHORTCUT_SEL_1","通らない","SHORTCUT_SEL_1",""
"ENTRANCE_SEL_0","戻る","ENTRANCE_SEL_0",""
"ENTRANCE_SEL_1","戻らない","ENTRANCE_SEL_1",""
"MSG_000_0","ここ、採取できるみたいだね。
どうしよっか？","MSG_000_0","奥村 春"
"MSG_001_0","そうだね。
周りには気をつけて探そ。","MSG_001_0","奥村 春"
"MSG_002_0","うん！
じゃあ、集中して探そっか！","MSG_002_0","奥村 春"
"MSG_003_0","止めておくの？
分かった。","MSG_003_0","奥村 春"
"MSG_004_0","これで全部かな？","MSG_004_0","奥村 春"
"MSG_005_0","あらっ？","MSG_005_0",""
"MSG_006_0","わぁ！","MSG_006_0",""
"MSG_007_0","やった。","MSG_007_0",""
"MSG_008_0","危なかったね。
取れるものはこれで全部みたい。","MSG_008_0","奥村 春"
"MSG_009_0","レアだよ！","MSG_009_0",""
"MSG_010_0","わぁ、すごーい！","MSG_010_0",""
"MSG_011_0","うふふ、やったね！","MSG_011_0",""
"MSG_012_0","あ！　ショートカット！
通ってみる？","MSG_012_0","奥村 春"
"MSG_015_0","うーん…
こっちは通れないみたいだね。","MSG_015_0","奥村 春"
"MSG_018_0","なんだか、とっても危険な空気だね。
大丈夫かな…？","MSG_018_0","奥村 春"
"MSG_019_0","う、うん。
気をつけて調べよう。","MSG_019_0","奥村 春"
"MSG_020_0","分かった。
危険だもんね。","MSG_020_0","奥村 春"
"MSG_021_0","あ、危なかった…
みんな無事？","MSG_021_0","奥村 春"
"MSG_022_0","ここ、なんだかシャドウの気配が
多い気がしない…？","MSG_022_0","奥村 春"
"MSG_023_0","うん。
気をつけて調べてみよう。","MSG_023_0","奥村 春"
"MSG_024_0","そうだね。
危ないかもしれないものね。","MSG_024_0","奥村 春"
"MSG_025_0","やっぱりシャドウが出たね。
これで終わりかな…？","MSG_025_0","奥村 春"
"MSG_026_0","映画館に戻れるね。
どうしよっか？　戻る？","MSG_026_0","奥村 春"
"MSG_027_0","！！ああっと！！","MSG_027_0",""
"speaker_奥村 春","奥村 春","speaker_奥村 春",""
