"source","target","id","developer_comments"
"ITEM_POINT_SEL_0","警戒しながら探す","ITEM_POINT_SEL_0",""
"ITEM_POINT_SEL_1","採取に専念する","ITEM_POINT_SEL_1",""
"ITEM_POINT_SEL_2","やめる","ITEM_POINT_SEL_2",""
"ITEM_POINT_FORCE_BTL_SEL_0","探す","ITEM_POINT_FORCE_BTL_SEL_0",""
"ITEM_POINT_FORCE_BTL_SEL_1","やめる","ITEM_POINT_FORCE_BTL_SEL_1",""
"SHORTCUT_SEL_0","通る","SHORTCUT_SEL_0",""
"SHORTCUT_SEL_1","通らない","SHORTCUT_SEL_1",""
"ENTRANCE_SEL_0","戻る","ENTRANCE_SEL_0",""
"ENTRANCE_SEL_1","戻らない","ENTRANCE_SEL_1",""
"MSG_000_0","おっと！　オタカラスポット！
採っちゃう？　採っちゃう？","MSG_000_0","伊織 順平"
"MSG_001_0","おう！
気は抜かないぜ！","MSG_001_0","伊織 順平"
"MSG_002_0","んじゃ専念するぜ！
任せとけ！","MSG_002_0","伊織 順平"
"MSG_003_0","お？　止めとく？
了解了解！","MSG_003_0","伊織 順平"
"MSG_004_0","これで全部だぜ！","MSG_004_0","伊織 順平"
"MSG_005_0","いいじゃん。","MSG_005_0",""
"MSG_006_0","ほほー。","MSG_006_0",""
"MSG_007_0","おっ。","MSG_007_0",""
"MSG_008_0","び、びびったぜ…
とにかく採取はカンペキだな！","MSG_008_0","伊織 順平"
"MSG_009_0","レアゲットだぜ！","MSG_009_0",""
"MSG_010_0","マジか！！","MSG_010_0",""
"MSG_011_0","来たー！","MSG_011_0",""
"MSG_012_0","おっと、近道発見！
どうするよ？","MSG_012_0","伊織 順平"
"MSG_015_0","こっちは通れないかー。","MSG_015_0","伊織 順平"
"MSG_018_0","なぁ…ここヤバいよな？
絶対に出ちゃう系だよな？","MSG_018_0","伊織 順平"
"MSG_019_0","マジ！？
よ、よし！　調べるぞ？","MSG_019_0","伊織 順平"
"MSG_020_0","だよな、止めとこうぜ。
順平、危うきに近寄らず！","MSG_020_0","伊織 順平"
"MSG_021_0","やっべ、強すぎだろ…
採取も命がけだな。","MSG_021_0","伊織 順平"
"MSG_022_0","ここ、シャドウの気配多くね？
どうするよ？","MSG_022_0","伊織 順平"
"MSG_023_0","おっし！　気をつけて調べようぜ！","MSG_023_0","伊織 順平"
"MSG_024_0","お？　止めとくか。","MSG_024_0","伊織 順平"
"MSG_025_0","おっし！　これで終わりだな！","MSG_025_0","伊織 順平"
"MSG_026_0","おっと、こっから映画館戻れるぜー？
どうすんよ？","MSG_026_0","伊織 順平"
"MSG_027_0","！！ああっと！！","MSG_027_0",""
"speaker_伊織 順平","伊織 順平","speaker_伊織 順平",""
