"source","target","id","developer_comments"
"ITEM_POINT_SEL_0","警戒しながら探す","ITEM_POINT_SEL_0",""
"ITEM_POINT_SEL_1","採取に専念する","ITEM_POINT_SEL_1",""
"ITEM_POINT_SEL_2","やめる","ITEM_POINT_SEL_2",""
"ITEM_POINT_FORCE_BTL_SEL_0","探す","ITEM_POINT_FORCE_BTL_SEL_0",""
"ITEM_POINT_FORCE_BTL_SEL_1","やめる","ITEM_POINT_FORCE_BTL_SEL_1",""
"SHORTCUT_SEL_0","通る","SHORTCUT_SEL_0",""
"SHORTCUT_SEL_1","通らない","SHORTCUT_SEL_1",""
"ENTRANCE_SEL_0","戻る","ENTRANCE_SEL_0",""
"ENTRANCE_SEL_1","戻らない","ENTRANCE_SEL_1",""
"MSG_027_0","！！ああっと！！","MSG_027_0",""
"speaker_マーガレット","マーガレット","speaker_マーガレット",""
