"source","target","id","developer_comments"
"ITEM_POINT_SEL_0","警戒しながら探す","ITEM_POINT_SEL_0",""
"ITEM_POINT_SEL_1","採取に専念する","ITEM_POINT_SEL_1",""
"ITEM_POINT_SEL_2","やめる","ITEM_POINT_SEL_2",""
"ITEM_POINT_FORCE_BTL_SEL_0","探す","ITEM_POINT_FORCE_BTL_SEL_0",""
"ITEM_POINT_FORCE_BTL_SEL_1","やめる","ITEM_POINT_FORCE_BTL_SEL_1",""
"SHORTCUT_SEL_0","通る","SHORTCUT_SEL_0",""
"SHORTCUT_SEL_1","通らない","SHORTCUT_SEL_1",""
"ENTRANCE_SEL_0","戻る","ENTRANCE_SEL_0",""
"ENTRANCE_SEL_1","戻らない","ENTRANCE_SEL_1",""
"MSG_000_0","オタカラの気配！
採取するか？","MSG_000_0","モルガナ"
"MSG_001_0","そうだな。
警戒して探すぞ！","MSG_001_0","モルガナ"
"MSG_002_0","よし！
レア物を見つけるぜ～！","MSG_002_0","モルガナ"
"MSG_003_0","なんだ。
止めるのか？","MSG_003_0","モルガナ"
"MSG_004_0","これで全部だ！","MSG_004_0","モルガナ"
"MSG_005_0","いただくぜ！","MSG_005_0",""
"MSG_006_0","うむ！","MSG_006_0",""
"MSG_007_0","ほほーう。","MSG_007_0",""
"MSG_008_0","ビビったぜ…
これで全部だな。","MSG_008_0","モルガナ"
"MSG_009_0","こ、これは！","MSG_009_0",""
"MSG_010_0","にゃーっ！","MSG_010_0",""
"MSG_011_0","上玉だな！","MSG_011_0",""
"MSG_012_0","ショートカット発見だ！
行くか？","MSG_012_0","モルガナ"
"MSG_015_0","こっちは通れないみたいだな…","MSG_015_0","モルガナ"
"MSG_018_0","ジョーカー！
ここはヤバい気配がするぞ！","MSG_018_0","モルガナ"
"MSG_019_0","よ、よし！　分かった！
気を抜くなよ！","MSG_019_0","モルガナ"
"MSG_020_0","そうだな！
しっかり準備しようぜ！","MSG_020_0","モルガナ"
"MSG_021_0","はぁ…かなりの強敵だったぜ…","MSG_021_0","モルガナ"
"MSG_022_0","シャドウの反応が多いな…
恐らく戦闘になるが、どうする？","MSG_022_0","モルガナ"
"MSG_023_0","よし！　気を抜くなよ！","MSG_023_0","モルガナ"
"MSG_024_0","そうだな、止めておくか。","MSG_024_0","モルガナ"
"MSG_025_0","よっし！　これで終わりか？","MSG_025_0","モルガナ"
"MSG_026_0","映画館に戻るのか？","MSG_026_0","モルガナ"
"MSG_027_0","！！ああっと！！","MSG_027_0",""
"speaker_モルガナ","モルガナ","speaker_モルガナ",""
