"source","target","id","developer_comments"
"ITEM_POINT_SEL_0","警戒しながら探す","ITEM_POINT_SEL_0",""
"ITEM_POINT_SEL_1","採取に専念する","ITEM_POINT_SEL_1",""
"ITEM_POINT_SEL_2","やめる","ITEM_POINT_SEL_2",""
"ITEM_POINT_FORCE_BTL_SEL_0","探す","ITEM_POINT_FORCE_BTL_SEL_0",""
"ITEM_POINT_FORCE_BTL_SEL_1","やめる","ITEM_POINT_FORCE_BTL_SEL_1",""
"SHORTCUT_SEL_0","通る","SHORTCUT_SEL_0",""
"SHORTCUT_SEL_1","通らない","SHORTCUT_SEL_1",""
"ENTRANCE_SEL_0","戻る","ENTRANCE_SEL_0",""
"ENTRANCE_SEL_1","戻らない","ENTRANCE_SEL_1",""
"MARGA_MSG_005_0","その調子よ。","MARGA_MSG_005_0",""
"NANAKO_MSG_005_0","えへへ、やったね！","NANAKO_MSG_005_0",""
"MARGA_MSG_006_0","まずまずね。","MARGA_MSG_006_0",""
"NANAKO_MSG_006_0","とれたー！","NANAKO_MSG_006_0",""
"MARGA_MSG_007_0","悪くないわね。","MARGA_MSG_007_0",""
"NANAKO_MSG_007_0","オタカラ！","NANAKO_MSG_007_0",""
"MARGA_MSG_009_0","賞賛に値するわ。","MARGA_MSG_009_0",""
"NANAKO_MSG_009_0","いいのとれた！","NANAKO_MSG_009_0",""
"MARGA_MSG_010_0","いいものだわ。","MARGA_MSG_010_0",""
"NANAKO_MSG_010_0","やったやったー！","NANAKO_MSG_010_0",""
"MARGA_MSG_011_0","素晴らしい結果ね。","MARGA_MSG_011_0",""
"NANAKO_MSG_011_0","やったー！すごいね！","NANAKO_MSG_011_0",""
"MARGA_MSG_027_0","！！ああっと！！","MARGA_MSG_027_0",""
"NANAKO_MSG_027_0","！！ああっと！！","NANAKO_MSG_027_0",""
"speaker_菜々子","菜々子","speaker_菜々子",""
