"source","target","id","developer_comments"
"ITEM_POINT_SEL_0","警戒しながら探す ","ITEM_POINT_SEL_0",""
"ITEM_POINT_SEL_1","採取に専念する ","ITEM_POINT_SEL_1",""
"ITEM_POINT_SEL_2","やめる ","ITEM_POINT_SEL_2",""
"ITEM_POINT_FORCE_BTL_SEL_0","探す ","ITEM_POINT_FORCE_BTL_SEL_0",""
"ITEM_POINT_FORCE_BTL_SEL_1","やめる ","ITEM_POINT_FORCE_BTL_SEL_1",""
"SHORTCUT_SEL_0","通る ","SHORTCUT_SEL_0",""
"SHORTCUT_SEL_1","通らない ","SHORTCUT_SEL_1",""
"ENTRANCE_SEL_0","戻る ","ENTRANCE_SEL_0",""
"ENTRANCE_SEL_1","戻らない ","ENTRANCE_SEL_1",""
"MSG_000_0","オタカラスポットのようですね。
採取しますか？ ","MSG_000_0","白鐘 直斗"
"MSG_001_0","分かりました。 
では、周囲に気をつけて採取しましょう。 ","MSG_001_0","白鐘 直斗"
"MSG_002_0","了解しました。 
では、しっかり探しましょう。 ","MSG_002_0","白鐘 直斗"
"MSG_003_0","了解です。 ","MSG_003_0","白鐘 直斗"
"MSG_004_0","これで全てみたいですね。 ","MSG_004_0","白鐘 直斗"
"MSG_005_0","まずまずかな。 ","MSG_005_0",""
"MSG_006_0","ふむ… ","MSG_006_0",""
"MSG_007_0","頂いていきましょう。 ","MSG_007_0",""
"MSG_008_0","無事に採取は完了しましたが…
やはり気が抜けませんね。","MSG_008_0","白鐘 直斗"
"MSG_009_0","レアですよ！ ","MSG_009_0",""
"MSG_010_0","これは…！ ","MSG_010_0",""
"MSG_011_0","やりましたね。 ","MSG_011_0",""
"MSG_012_0","ショートカットです。 
開けておきますか？ ","MSG_012_0","白鐘 直斗"
"MSG_015_0","こちらは通れないんですね。 ","MSG_015_0","白鐘 直斗"
"MSG_018_0","ここは…
凄く危険な気配がします。","MSG_018_0","白鐘 直斗"
"MSG_019_0","分かりました。
気をつけて調べましょう。","MSG_019_0","白鐘 直斗"
"MSG_020_0","そうですね。
賢明な判断だと思います。","MSG_020_0","白鐘 直斗"
"MSG_021_0","今のは…かなりの強敵でしたね。","MSG_021_0","白鐘 直斗"
"MSG_022_0","この近辺、
シャドウの気配がします。","MSG_022_0","白鐘 直斗"
"MSG_023_0","分かりました。
気をつけて調べましょう。","MSG_023_0","白鐘 直斗"
"MSG_024_0","了解です。
止めておきましょうか。","MSG_024_0","白鐘 直斗"
"MSG_025_0","これで終わりみたいですね。","MSG_025_0","白鐘 直斗"
"MSG_026_0","ここから映画館に戻れるようですね。
どうしますか？","MSG_026_0","白鐘 直斗"
"MSG_027_0","！！ああっと！！","MSG_027_0",""
"speaker_白鐘 直斗","白鐘 直斗","speaker_白鐘 直斗",""
