"source","target","id","developer_comments"
"ITEM_POINT_SEL_0","警戒しながら探す","ITEM_POINT_SEL_0",""
"ITEM_POINT_SEL_1","採取に専念する","ITEM_POINT_SEL_1",""
"ITEM_POINT_SEL_2","やめる","ITEM_POINT_SEL_2",""
"ITEM_POINT_FORCE_BTL_SEL_0","探す","ITEM_POINT_FORCE_BTL_SEL_0",""
"ITEM_POINT_FORCE_BTL_SEL_1","やめる","ITEM_POINT_FORCE_BTL_SEL_1",""
"SHORTCUT_SEL_0","通る","SHORTCUT_SEL_0",""
"SHORTCUT_SEL_1","通らない","SHORTCUT_SEL_1",""
"ENTRANCE_SEL_0","戻る","ENTRANCE_SEL_0",""
"ENTRANCE_SEL_1","戻らない","ENTRANCE_SEL_1",""
"MSG_000_0","ここ、何かありそうだね。
採取してみる？","MSG_000_0","Ｐ３主人公"
"MSG_001_0","そうだね。
気を抜かずに探そう。","MSG_001_0","Ｐ３主人公"
"MSG_002_0","うん。
しっかり探してみよう。","MSG_002_0","Ｐ３主人公"
"MSG_003_0","気が向いたらまた調べよう。","MSG_003_0","Ｐ３主人公"
"MSG_004_0","これで終わりみたいだ。","MSG_004_0","Ｐ３主人公"
"MSG_005_0","ふう～…","MSG_005_0",""
"MSG_006_0","いいね。","MSG_006_0",""
"MSG_007_0","うん！","MSG_007_0",""
"MSG_008_0","ふぅ…
ここでの採取はもう終わりかな。","MSG_008_0","Ｐ３主人公"
"MSG_009_0","凄いね！","MSG_009_0",""
"MSG_010_0","珍しいな。","MSG_010_0",""
"MSG_011_0","おめでとう！","MSG_011_0",""
"MSG_012_0","近道になりそうだね。
通ってみる？","MSG_012_0","Ｐ３主人公"
"MSG_015_0","こっちは通れないみたいだね…","MSG_015_0","Ｐ３主人公"
"MSG_018_0","すごく危険な気配がするね…
どうする？","MSG_018_0","Ｐ３主人公"
"MSG_019_0","分かった。
気をつけて調べよう。","MSG_019_0","Ｐ３主人公"
"MSG_020_0","そうだね。
止めておこうか。","MSG_020_0","Ｐ３主人公"
"MSG_021_0","かなりの強敵だったね…","MSG_021_0","Ｐ３主人公"
"MSG_022_0","この辺、なんだか
シャドウの気配が多いような…？","MSG_022_0","Ｐ３主人公"
"MSG_023_0","分かった。
気をつけて調べよう。","MSG_023_0","Ｐ３主人公"
"MSG_024_0","そうだね。
止めておこう。","MSG_024_0","Ｐ３主人公"
"MSG_025_0","これで終わりかな？","MSG_025_0","Ｐ３主人公"
"MSG_026_0","ここから戻れるみたいだね。
どうする？","MSG_026_0","Ｐ３主人公"
"MSG_027_0","！！ああっと！！","MSG_027_0",""
"speaker_Ｐ３主人公","Ｐ３主人公","speaker_Ｐ３主人公",""
