"source","target","id","developer_comments"
"ITEM_POINT_SEL_0","警戒しながら探す","ITEM_POINT_SEL_0",""
"ITEM_POINT_SEL_1","採取に専念する","ITEM_POINT_SEL_1",""
"ITEM_POINT_SEL_2","やめる","ITEM_POINT_SEL_2",""
"ITEM_POINT_FORCE_BTL_SEL_0","探す","ITEM_POINT_FORCE_BTL_SEL_0",""
"ITEM_POINT_FORCE_BTL_SEL_1","やめる","ITEM_POINT_FORCE_BTL_SEL_1",""
"SHORTCUT_SEL_0","通る","SHORTCUT_SEL_0",""
"SHORTCUT_SEL_1","通らない","SHORTCUT_SEL_1",""
"ENTRANCE_SEL_0","戻る","ENTRANCE_SEL_0",""
"ENTRANCE_SEL_1","戻らない","ENTRANCE_SEL_1",""
"MSG_000_0","あ！　オタカラスポットだよ！
どうする？","MSG_000_0","Ｐ３主人公（女）"
"MSG_001_0","周囲の警戒は任せて！","MSG_001_0","Ｐ３主人公（女）"
"MSG_002_0","よーし！　採るぞー！","MSG_002_0","Ｐ３主人公（女）"
"MSG_003_0","うん。
じゃあ、また今度にしておこっか！","MSG_003_0","Ｐ３主人公（女）"
"MSG_004_0","よーし！　根こそぎ終了！","MSG_004_0","Ｐ３主人公（女）"
"MSG_005_0","やったね！","MSG_005_0",""
"MSG_006_0","うんうん。","MSG_006_0",""
"MSG_007_0","おおー！","MSG_007_0",""
"MSG_008_0","あっぶなかったー…
とりあえず、全部採れたね！","MSG_008_0","Ｐ３主人公（女）"
"MSG_009_0","ゲットだぜー！","MSG_009_0",""
"MSG_010_0","スゴイの出た！","MSG_010_0",""
"MSG_011_0","オタカラだー！","MSG_011_0",""
"MSG_012_0","抜け道だー！
通っておく？","MSG_012_0","Ｐ３主人公（女）"
"MSG_015_0","あれれ？
こっちは通れないんだね。","MSG_015_0","Ｐ３主人公（女）"
"MSG_018_0","すごく危険な気配がするんだけど…
どうする？","MSG_018_0","Ｐ３主人公（女）"
"MSG_019_0","分かった。
気をつけて調べよう！","MSG_019_0","Ｐ３主人公（女）"
"MSG_020_0","そうだね、何が飛び出してくるか
分からないもんね。","MSG_020_0","Ｐ３主人公（女）"
"MSG_021_0","び、びっくりした～…
みんな無事？","MSG_021_0","Ｐ３主人公（女）"
"MSG_022_0","ここ、シャドウの気配が多いね。
どうする？","MSG_022_0","Ｐ３主人公（女）"
"MSG_023_0","了解！
気を抜かずに探そー！","MSG_023_0","Ｐ３主人公（女）"
"MSG_024_0","そうだね。
止めておこっか！","MSG_024_0","Ｐ３主人公（女）"
"MSG_025_0","これで終わり？　かな？","MSG_025_0","Ｐ３主人公（女）"
"MSG_026_0","あ！　ここから戻れるね！
どうしよっか？","MSG_026_0","Ｐ３主人公（女）"
"MSG_027_0","！！ああっと！！","MSG_027_0",""
"speaker_Ｐ３主人公（女）","Ｐ３主人公（女）","speaker_Ｐ３主人公（女）",""
