"source","target","id","developer_comments"
"ITEM_POINT_SEL_0","警戒しながら探す","ITEM_POINT_SEL_0",""
"ITEM_POINT_SEL_1","採取に専念する","ITEM_POINT_SEL_1",""
"ITEM_POINT_SEL_2","やめる","ITEM_POINT_SEL_2",""
"ITEM_POINT_FORCE_BTL_SEL_0","探す","ITEM_POINT_FORCE_BTL_SEL_0",""
"ITEM_POINT_FORCE_BTL_SEL_1","やめる","ITEM_POINT_FORCE_BTL_SEL_1",""
"SHORTCUT_SEL_0","通る","SHORTCUT_SEL_0",""
"SHORTCUT_SEL_1","通らない","SHORTCUT_SEL_1",""
"ENTRANCE_SEL_0","戻る","ENTRANCE_SEL_0",""
"ENTRANCE_SEL_1","戻らない","ENTRANCE_SEL_1",""
"MSG_000_0","あ、オタカラスポット。
採取してみる？","MSG_000_0","岳羽 ゆかり"
"MSG_001_0","周りを警戒しながら…だね。
了解！","MSG_001_0","岳羽 ゆかり"
"MSG_002_0","分かった、目の前に集中して
探してみるね。","MSG_002_0","岳羽 ゆかり"
"MSG_003_0","あ、止めとくの？","MSG_003_0","岳羽 ゆかり"
"MSG_004_0","これで全部…かな？","MSG_004_0","岳羽 ゆかり"
"MSG_005_0","いいんじゃない？","MSG_005_0",""
"MSG_006_0","よし！","MSG_006_0",""
"MSG_007_0","うんうん。","MSG_007_0",""
"MSG_008_0","ふぅー…ちょっと危なかったね。","MSG_008_0","岳羽 ゆかり"
"MSG_009_0","えっ、やば！","MSG_009_0",""
"MSG_010_0","うわっ、レア！","MSG_010_0",""
"MSG_011_0","やったじゃん！","MSG_011_0",""
"MSG_012_0","これショートカット？
通ってみる？","MSG_012_0","岳羽 ゆかり"
"MSG_015_0","あー、こっちからは通れないんだ？","MSG_015_0","岳羽 ゆかり"
"MSG_018_0","なんかここ、超ヤバくない？
どうする？","MSG_018_0","岳羽 ゆかり"
"MSG_019_0","マジ？
分かった…気を抜かないようにね。","MSG_019_0","岳羽 ゆかり"
"MSG_020_0","うん、私もそれが良いと思う。","MSG_020_0","岳羽 ゆかり"
"MSG_021_0","ウソでしょ？　あんな強敵が
出てくるなんて…ビックリした。","MSG_021_0","岳羽 ゆかり"
"MSG_022_0","ここ、シャドウの気配するかも。
どうする？","MSG_022_0","岳羽 ゆかり"
"MSG_023_0","オッケー。
気をつけて調べよっか。","MSG_023_0","岳羽 ゆかり"
"MSG_024_0","あ、止めとくの？
オッケー。","MSG_024_0","岳羽 ゆかり"
"MSG_025_0","ハァ…ホントに敵が出たね。
採取はこれで終わりかな？","MSG_025_0","岳羽 ゆかり"
"MSG_026_0","ここから映画館に戻れるんだよね。
戻るの？","MSG_026_0","岳羽 ゆかり"
"MSG_027_0","！！ああっと！！","MSG_027_0",""
"speaker_岳羽 ゆかり","岳羽 ゆかり","speaker_岳羽 ゆかり",""
