"source","target","id","developer_comments"
"ITEM_POINT_SEL_0","警戒しながら探す","ITEM_POINT_SEL_0",""
"ITEM_POINT_SEL_1","採取に専念する","ITEM_POINT_SEL_1",""
"ITEM_POINT_SEL_2","やめる","ITEM_POINT_SEL_2",""
"ITEM_POINT_FORCE_BTL_SEL_0","探す","ITEM_POINT_FORCE_BTL_SEL_0",""
"ITEM_POINT_FORCE_BTL_SEL_1","やめる","ITEM_POINT_FORCE_BTL_SEL_1",""
"SHORTCUT_SEL_0","通る","SHORTCUT_SEL_0",""
"SHORTCUT_SEL_1","通らない","SHORTCUT_SEL_1",""
"ENTRANCE_SEL_0","戻る","ENTRANCE_SEL_0",""
"ENTRANCE_SEL_1","戻らない","ENTRANCE_SEL_1",""
"MSG_000_0","オタカラスポットだよ！
何か見つかるかも！","MSG_000_0","天城 雪子"
"MSG_001_0","分かった。
注意深く探してみよう？","MSG_001_0","天城 雪子"
"MSG_002_0","分かった！
集中して探すね。","MSG_002_0","天城 雪子"
"MSG_003_0","そっか。
じゃあ、後でまた来よう。","MSG_003_0","天城 雪子"
"MSG_004_0","ええと…
もう見つからないかな？","MSG_004_0","天城 雪子"
"MSG_005_0","うんうん。","MSG_005_0",""
"MSG_006_0","楽しいね。","MSG_006_0",""
"MSG_007_0","いい感じ。","MSG_007_0",""
"MSG_008_0","なんとかなったね。
これで終わりみたい。","MSG_008_0","天城 雪子"
"MSG_009_0","凄くない？","MSG_009_0",""
"MSG_010_0","レアだよ！","MSG_010_0",""
"MSG_011_0","やったね！","MSG_011_0",""
"MSG_012_0","あ、ショートカットがあるよ。
通っておこうか？","MSG_012_0","天城 雪子"
"MSG_015_0","あれ？
こっちは通れないんだね。","MSG_015_0","天城 雪子"
"MSG_018_0","ここ、危ない気配がするけど…
どうしよう？","MSG_018_0","天城 雪子"
"MSG_019_0","うん、分かった。
気をつけて調べよう。","MSG_019_0","天城 雪子"
"MSG_020_0","止めておくの？
分かった。","MSG_020_0","天城 雪子"
"MSG_021_0","凄く強いシャドウだったね。
ビックリしちゃった。","MSG_021_0","天城 雪子"
"MSG_022_0","あれ？　シャドウの気配が凄いね…
大丈夫かな？","MSG_022_0","天城 雪子"
"MSG_023_0","探すんだね。
じゃあ、気をつけて調べてみよう。","MSG_023_0","天城 雪子"
"MSG_024_0","そうだね。
止めておこうか。","MSG_024_0","天城 雪子"
"MSG_025_0","これで終わりかな？","MSG_025_0","天城 雪子"
"MSG_026_0","ここから映画館に戻れるみたい。
どうする？　戻る？","MSG_026_0","天城 雪子"
"MSG_027_0","！！ああっと！！","MSG_027_0",""
"speaker_天城 雪子","天城 雪子","speaker_天城 雪子",""
