"source","target","id","developer_comments"
"ITEM_POINT_SEL_0","警戒しながら探す","ITEM_POINT_SEL_0",""
"ITEM_POINT_SEL_1","採取に専念する","ITEM_POINT_SEL_1",""
"ITEM_POINT_SEL_2","やめる","ITEM_POINT_SEL_2",""
"ITEM_POINT_FORCE_BTL_SEL_0","探す","ITEM_POINT_FORCE_BTL_SEL_0",""
"ITEM_POINT_FORCE_BTL_SEL_1","やめる","ITEM_POINT_FORCE_BTL_SEL_1",""
"SHORTCUT_SEL_0","通る","SHORTCUT_SEL_0",""
"SHORTCUT_SEL_1","通らない","SHORTCUT_SEL_1",""
"ENTRANCE_SEL_0","戻る","ENTRANCE_SEL_0",""
"ENTRANCE_SEL_1","戻らない","ENTRANCE_SEL_1",""
"MSG_000_0","ここは採取できるようだな。
手がうずく…","MSG_000_0","喜多川 祐介"
"MSG_001_0","そうだな。
敵に気をつけて探すか。","MSG_001_0","喜多川 祐介"
"MSG_002_0","うむ。
では、専念して探すとしよう！","MSG_002_0","喜多川 祐介"
"MSG_003_0","む、今は止めておくのか？
分かった。","MSG_003_0","喜多川 祐介"
"MSG_004_0","これ以上は見つからないようだな。
なかなかいい採取だった。","MSG_004_0","喜多川 祐介"
"MSG_005_0","いただくぞ。","MSG_005_0",""
"MSG_006_0","ほう、これは…","MSG_006_0",""
"MSG_007_0","うむ。","MSG_007_0",""
"MSG_008_0","敵に勘付かれたようだな…
採取はここまでにしよう。","MSG_008_0","喜多川 祐介"
"MSG_009_0","おおっ！","MSG_009_0",""
"MSG_010_0","素晴らしい！","MSG_010_0",""
"MSG_011_0","貴重だな。","MSG_011_0",""
"MSG_012_0","ショートカットか。
どうする？　通っておくか？","MSG_012_0","喜多川 祐介"
"MSG_015_0","こちらからは通れんようだな。","MSG_015_0","喜多川 祐介"
"MSG_018_0","む？　これは…
嫌な気配を感じるな。","MSG_018_0","喜多川 祐介"
"MSG_019_0","よし。
では見極めるとしよう。","MSG_019_0","喜多川 祐介"
"MSG_020_0","そうか…
今は止めておくんだな。","MSG_020_0","喜多川 祐介"
"MSG_021_0","危険な敵だったな。
なんとか危機からは逃れたか…","MSG_021_0","喜多川 祐介"
"MSG_022_0","ここは…
シャドウの気配が多いな。","MSG_022_0","喜多川 祐介"
"MSG_023_0","よし。調べてみるか。","MSG_023_0","喜多川 祐介"
"MSG_024_0","そうだな。止めておこう。","MSG_024_0","喜多川 祐介"
"MSG_025_0","危なかったな。
これで終わりか？","MSG_025_0","喜多川 祐介"
"MSG_026_0","ふむ。
ここから映画館に戻れるようだな。","MSG_026_0","喜多川 祐介"
"MSG_027_0","！！ああっと！！","MSG_027_0",""
"speaker_喜多川 祐介","喜多川 祐介","speaker_喜多川 祐介",""
