"source","target","id","developer_comments"
"YESNO_SEL_0","はい","YESNO_SEL_0",""
"YESNO_SEL_1","いいえ","YESNO_SEL_1",""
"GET_ITEM_MES_0","＞[F4 45 04 01 00 00 01 01]を手に入れた。","GET_ITEM_MES_0",""
"GET_MONEY_MES_0","＞[F2 44 01 01]円を手に入れた。","GET_MONEY_MES_0",""
"TBOX_ENEMY_APPEAR_0","＞ああっと！！","TBOX_ENEMY_APPEAR_0",""
"NOT_OPEN_SHORTCUT_0","＞こちらからは通れないようだ…","NOT_OPEN_SHORTCUT_0",""
"OPENED_BOX_0","もう何も入ってないようだ…","OPENED_BOX_0",""
"EXIT_DUNGEON_SEL_0","＞この映画から脱出しようか…","EXIT_DUNGEON_SEL_0",""
"SHORTCUT_ASK_0","＞抜け道がある…","SHORTCUT_ASK_0",""
"SEL_SHORTCUT_ASK_0","通る","SEL_SHORTCUT_ASK_0",""
"SEL_SHORTCUT_ASK_1","通らない","SEL_SHORTCUT_ASK_1",""
"ONEWAY_ASK_0","＞抜け道がある。
　[F2 01 03 01]向こう側からは帰って来られなそうだ…","ONEWAY_ASK_0",""
"SEL_ONEWAY_ASK_0","通る","SEL_ONEWAY_ASK_0",""
"SEL_ONEWAY_ASK_1","通らない","SEL_ONEWAY_ASK_1",""
"BAG_FULL_0","持ち物がいっぱいなようだ…","BAG_FULL_0",""
"GATHER_SUSPENSE_0","＞採取ポイントを調べた…","GATHER_SUSPENSE_0",""
"GATHER_SUSPENSE_1","＞…？","GATHER_SUSPENSE_1",""
"JIJIKU_SEL_0","セーブする","JIJIKU_SEL_0",""
"JIJIKU_SEL_1","迷宮から脱出する","JIJIKU_SEL_1",""
"JIJIKU_SEL_2","やめる","JIJIKU_SEL_2",""
"JIJIKU_ASK_0","＞どうしますか？","JIJIKU_ASK_0",""
"FIND_QUEST_TEST_0","＞一度拠点に戻ってクエストを
　確認した方が良さそうだ。どうする？","FIND_QUEST_TEST_0",""
"SEL_QUEST_ESCAPE_TEST_0","拠点に戻る","SEL_QUEST_ESCAPE_TEST_0",""
"SEL_QUEST_ESCAPE_TEST_1","このまま進む","SEL_QUEST_ESCAPE_TEST_1",""
"ALERT_MSG_0","＞ここから先は特別上映の範囲外です。
　どうしますか？","ALERT_MSG_0",""
"SEL_ALERT_MSG_0","映画館に戻る","SEL_ALERT_MSG_0",""
"SEL_ALERT_MSG_1","探索を続ける","SEL_ALERT_MSG_1",""
"MAPPING_FAILED_MSG_0","＞宝箱の地図が輝き出し、
　地図に謎の模様が浮かび上がった。","MAPPING_FAILED_MSG_0",""
"MAPPING_FAILED_MSG_1","＞まだ行ったことのない場所が
　反応しているようだ…","MAPPING_FAILED_MSG_1",""
"POWER_SPOT_SEL_0","警戒しながら探す","POWER_SPOT_SEL_0",""
"POWER_SPOT_SEL_1","採取に専念する","POWER_SPOT_SEL_1",""
"POWER_SPOT_SEL_2","やめる","POWER_SPOT_SEL_2",""
"USE_AUTO_RECOVER_ASK_0","＞オートリカバーを使用しますか？","USE_AUTO_RECOVER_ASK_0",""
"AUTO_RECOVER_SEL_0","使用する","AUTO_RECOVER_SEL_0",""
"AUTO_RECOVER_SEL_1","使用しない","AUTO_RECOVER_SEL_1",""
"AUTO_RECOVER_NOT_USE_MSG_0","＞回復をしなかった","AUTO_RECOVER_NOT_USE_MSG_0",""
"AUTO_RECOVER_NOT_USE_MSG_2_0","＞現在、体力が減っている
　キャラクターがいません。","AUTO_RECOVER_NOT_USE_MSG_2_0",""
"AUTO_RECOVER_NOT_USE_MSG_3_0","＞SPが足りないため、
　回復できません。","AUTO_RECOVER_NOT_USE_MSG_3_0",""
"AUTO_RECOVER_NOT_USE_MSG_4_0","＞回復スキルを使えるメンバーが
　パーティにいません。","AUTO_RECOVER_NOT_USE_MSG_4_0",""
"MSG_TUTORIAL_OTAKARA_GET_0","「やっぱり、
ここを調べればオタカラが手に入るな。」
「でも、敵の気配もする…」というイベント","MSG_TUTORIAL_OTAKARA_GET_0",""
"MSG_TUTORIAL_POWERSPOT_1_0","「オタカラスポット」では[F2 01 03 01]様々なアイテム[F2 01 01 01]を
入手することができます。","MSG_TUTORIAL_POWERSPOT_1_0",""
"MSG_TUTORIAL_POWERSPOT_2_0","最初の選択肢で
[F2 01 03 01]「採取に専念する」[F2 01 01 01]を選ぶと、","MSG_TUTORIAL_POWERSPOT_2_0",""
"MSG_TUTORIAL_POWERSPOT_2_1","最大５個[F2 01 01 01]までアイテムを入手することが可能で
レアアイテムが出現する確率も高くなりますが","MSG_TUTORIAL_POWERSPOT_2_1",""
"MSG_TUTORIAL_POWERSPOT_2_2","戦闘が発生する危険度も高くなります。","MSG_TUTORIAL_POWERSPOT_2_2",""
"MSG_TUTORIAL_POWERSPOT_3_0","最初の選択肢で
[F2 01 03 01]「警戒しながら探す」[F2 01 01 01]を選ぶと、","MSG_TUTORIAL_POWERSPOT_3_0",""
