"source","target","id","developer_comments"
"JUNPEI_FOE_FOLLOW_START__0","げげっ、Ｆ．Ｏ．Ｅじゃん！","JUNPEI_FOE_FOLLOW_START__0",""
"JUNPEI_FOE_FOLLOW_START__2_0","Ｆ．Ｏ．Ｅが追ってきてんぞ！？","JUNPEI_FOE_FOLLOW_START__2_0",""
"JUNPEI_FOE_FOLLOW_START__3_0","まじかよ！
Ｆ．Ｏ．Ｅこっち来てんじゃん！","JUNPEI_FOE_FOLLOW_START__3_0",""
"JUNPEI_FOE_NEAR_1_0","やべっ、Ｆ．Ｏ．Ｅいるじゃん！","JUNPEI_FOE_NEAR_1_0",""
"JUNPEI_FOE_NEAR_2_0","見るなよ～こっち見るなよ～。","JUNPEI_FOE_NEAR_2_0",""
"JUNPEI_FOE_NEAR_3_0","見つからないように、コッソリな。","JUNPEI_FOE_NEAR_3_0",""
"JUNPEI_FOE_FOLLOW_END_1_0","よっしゃ、なんとか撒いたみてーだな。","JUNPEI_FOE_FOLLOW_END_1_0",""
"JUNPEI_FOE_FOLLOW_END_2_0","あんなのと律儀に
やりあえるかってーの。","JUNPEI_FOE_FOLLOW_END_2_0",""
"JUNPEI_FOE_FOLLOW_END_3_0","伊織順平はＦ．Ｏ．Ｅから逃げ切った！","JUNPEI_FOE_FOLLOW_END_3_0",""
"JUNPEI_KANSI_REACTION_1_0","しーっ！　慎重にな。","JUNPEI_KANSI_REACTION_1_0",""
"JUNPEI_KANSI_REACTION_2_0","ニンジャ伊織順平、参る！","JUNPEI_KANSI_REACTION_2_0",""
"JUNPEI_KANSI_REACTION_3_0","うへ、なんかキンチョーするな…","JUNPEI_KANSI_REACTION_3_0",""
"JUNPEI_DENKISAKU_REACTIO_0","さすがに通れなさそうだなー…","JUNPEI_DENKISAKU_REACTIO_0",""
"JUNPEI_DENKISAKU_REACTIO_2_0","電流止めるスイッチ、
どっかにあるかも？","JUNPEI_DENKISAKU_REACTIO_2_0",""
"JUNPEI_DENKISAKU_REACTIO_3_0","新手の健康療法？　お先にどーぞ！","JUNPEI_DENKISAKU_REACTIO_3_0",""
"JUNPEI_KYOUHU_REACTION_1_0","飛びます飛びまーす。","JUNPEI_KYOUHU_REACTION_1_0",""
"JUNPEI_KYOUHU_REACTION_2_0","うぉい！？","JUNPEI_KYOUHU_REACTION_2_0",""
"JUNPEI_KYOUHU_REACTION_3_0","うそぉ～ん！？","JUNPEI_KYOUHU_REACTION_3_0",""
"JUNPEI_STAIR_FIND_1_0","お、あそこにあるの階段じゃね？","JUNPEI_STAIR_FIND_1_0",""
"JUNPEI_STAIR_FIND_2_0","次のエリア行けそうだな。どーすんの？","JUNPEI_STAIR_FIND_2_0",""
"JUNPEI_STAIR_FIND_3_0","前方に見えますのは、
階段でございまぁす♪","JUNPEI_STAIR_FIND_3_0",""
"JUNPEI_TREASURE_FIND_1_0","宝箱発見～！","JUNPEI_TREASURE_FIND_1_0",""
"JUNPEI_TREASURE_FIND_2_0","ん？　あれ、宝箱じゃね？","JUNPEI_TREASURE_FIND_2_0",""
"JUNPEI_TREASURE_FIND_3_0","オタカラー、だっけ？","JUNPEI_TREASURE_FIND_3_0",""
"JUNPEI_CHECK_WALL_1_0","な～んかあの辺り匂うよな～。","JUNPEI_CHECK_WALL_1_0",""
"JUNPEI_CHECK_WALL_2_0","オイ、ちょっと調べてみよーぜ。","JUNPEI_CHECK_WALL_2_0",""
"JUNPEI_CHECK_WALL_3_0","あそこ、何かない？　あるよな？","JUNPEI_CHECK_WALL_3_0",""
"JUNPEI_SWITCH_FIND_1_0","テッテテーン！　スイッチ発見！","JUNPEI_SWITCH_FIND_1_0",""
"JUNPEI_SWITCH_FIND_2_0","スイッチ、はっけ～ん！","JUNPEI_SWITCH_FIND_2_0",""
"JUNPEI_SWITCH_FIND_3_0","お、スイッチ発見！","JUNPEI_SWITCH_FIND_3_0",""
"JUNPEI_SHORTCUT_FIND_1_0","おっ、通れそうなトコ、はっけ～ん！","JUNPEI_SHORTCUT_FIND_1_0",""
"JUNPEI_SHORTCUT_FIND_2_0","なあ、あそこ近道できそうだぜ。","JUNPEI_SHORTCUT_FIND_2_0",""
"JUNPEI_SHORTCUT_FIND_3_0","おい、そこ通れそうだぜ！","JUNPEI_SHORTCUT_FIND_3_0",""
"JUNPEI_FOE_WARNING_NEAR__0","げっ、
あのＦ．Ｏ．Ｅまだ追ってきてる！","JUNPEI_FOE_WARNING_NEAR__0",""
"JUNPEI_FOE_WARNING_NEAR__2_0","まだ来んのかよ！？
しつこいヤローはもてねーぞ！","JUNPEI_FOE_WARNING_NEAR__2_0",""
"JUNPEI_FOE_WARNING_NEAR__3_0","Ｆ．Ｏ．Ｅが仲間になりたそうに…
って、こっち見んな！","JUNPEI_FOE_WARNING_NEAR__3_0",""
"JUNPEI_1PERSON_HPTP10_1_0","もー無理…","JUNPEI_1PERSON_HPTP10_1_0",""
"JUNPEI_1PERSON_HPTP10_2_0","体力も気力もない。
順平は大ピンチである！","JUNPEI_1PERSON_HPTP10_2_0",""
"JUNPEI_1PERSON_HPTP10_3_0","わりー、もう動けない。
助けてくれー。","JUNPEI_1PERSON_HPTP10_3_0",""
"JUNPEI_1PERSON_HP10_1_0","体力やべー…","JUNPEI_1PERSON_HP10_1_0",""
"JUNPEI_1PERSON_HP10_2_0","一生のお願い！　回復して！","JUNPEI_1PERSON_HP10_2_0",""
"JUNPEI_1PERSON_HP10_3_0","体力赤ゲージって感じ…
回復してくれー。","JUNPEI_1PERSON_HP10_3_0",""
"JUNPEI_1PERSON_TP10_1_0","うおー…気力やべーかも。","JUNPEI_1PERSON_TP10_1_0",""
"JUNPEI_1PERSON_TP10_2_0","やっべ、気力もたなくなってきたわ…","JUNPEI_1PERSON_TP10_2_0",""
"JUNPEI_1PERSON_TP10_3_0","わり、ガス欠だわ…
つっかれた…","JUNPEI_1PERSON_TP10_3_0",""
"JUNPEI_1PERSON_HP80_1_0","うーん。　楽勝って感じ？","JUNPEI_1PERSON_HP80_1_0",""
"JUNPEI_1PERSON_HP80_2_0","ヒーローは必ず勝ーつ！","JUNPEI_1PERSON_HP80_2_0",""
"JUNPEI_1PERSON_HP80_3_0","さっすがオレ！
やったぜオレ！","JUNPEI_1PERSON_HP80_3_0",""
"JUNPEI_DUNGEON_START_1_0","いっちょやりますかー。","JUNPEI_DUNGEON_START_1_0",""
"JUNPEI_DUNGEON_START_2_0","よーし、行くか。","JUNPEI_DUNGEON_START_2_0",""
"JUNPEI_DUNGEON_START_3_0","行くぜ、オレっち！","JUNPEI_DUNGEON_START_3_0",""
"JUNPEI_QUEST_START_1_0","パパッと片付けちまおうぜ。","JUNPEI_QUEST_START_1_0",""
"JUNPEI_QUEST_START_2_0","ヒーローに任せなさい！","JUNPEI_QUEST_START_2_0",""
"JUNPEI_QUEST_START_3_0","オレっちにかかれば楽勝だぜ！","JUNPEI_QUEST_START_3_0",""
"JUNPEI_TOUHA_25_1_0","まだ先は長いなー。
体力には気をつけろよ？","JUNPEI_TOUHA_25_1_0",""
"JUNPEI_TOUHA_25_2_0","うっへ、まだこんなあんのか…","JUNPEI_TOUHA_25_2_0",""
"JUNPEI_TOUHA_50_1_0","ちょうど半分って感じ？","JUNPEI_TOUHA_50_1_0",""
"JUNPEI_TOUHA_50_2_0","お、いい感じに埋まってきてるじゃん！","JUNPEI_TOUHA_50_2_0",""
"JUNPEI_TOUHA_75_1_0","お、けっこー埋まってきたじゃん！","JUNPEI_TOUHA_75_1_0",""
"JUNPEI_TOUHA_75_2_0","残りの場所、
全部安地でありますよーにっ！","JUNPEI_TOUHA_75_2_0",""
"JUNPEI_TOUHA_100_1_0","ジャジャーン！　地図が完成した！
お疲れ！","JUNPEI_TOUHA_100_1_0",""
"JUNPEI_TOUHA_100_2_0","マッピング、お疲れさん！","JUNPEI_TOUHA_100_2_0",""
