"source","target","id","developer_comments"
"MITURU_FOE_FOLLOW_START__0","Ｆ．Ｏ．Ｅに見つかったか！ ","MITURU_FOE_FOLLOW_START__0",""
"MITURU_FOE_FOLLOW_START__2_0","くっ…Ｆ．Ｏ．Ｅが追ってきてるぞ！ ","MITURU_FOE_FOLLOW_START__2_0",""
"MITURU_FOE_FOLLOW_START__3_0","Ｆ．Ｏ．Ｅに追尾されているぞ！ ","MITURU_FOE_FOLLOW_START__3_0",""
"MITURU_FOE_NEAR_1_0","近くにＦ．Ｏ．Ｅがいるな… ","MITURU_FOE_NEAR_1_0",""
"MITURU_FOE_NEAR_2_0","Ｆ．Ｏ．Ｅめ。 
こんなところにもいるとはな。 ","MITURU_FOE_NEAR_2_0",""
"MITURU_FOE_NEAR_3_0","Ｆ．Ｏ．Ｅだ、気をつけろ！ ","MITURU_FOE_NEAR_3_0",""
"MITURU_FOE_FOLLOW_END_1_0","Ｆ．Ｏ．Ｅを撒いたようだな。 ","MITURU_FOE_FOLLOW_END_1_0",""
"MITURU_FOE_FOLLOW_END_2_0","ふぅ、諦めてくれたようだな。 ","MITURU_FOE_FOLLOW_END_2_0",""
"MITURU_FOE_FOLLOW_END_3_0","うまく逃げ切れたようだ… ","MITURU_FOE_FOLLOW_END_3_0",""
"MITURU_KANSI_REACTION_1_0","ここは気をつけろ。 ","MITURU_KANSI_REACTION_1_0",""
"MITURU_KANSI_REACTION_2_0","厄介なトラップだな。 ","MITURU_KANSI_REACTION_2_0",""
"MITURU_KANSI_REACTION_3_0","見つからないように注意しろ。 ","MITURU_KANSI_REACTION_3_0",""
"MITURU_DENKISAKU_REACTIO_0","触らないように注意しろ。 ","MITURU_DENKISAKU_REACTIO_0",""
"MITURU_DENKISAKU_REACTIO_2_0","電流を止めてから進むとしよう。 ","MITURU_DENKISAKU_REACTIO_2_0",""
"MITURU_DENKISAKU_REACTIO_3_0","電気を止めたほうがよさそうだな。 ","MITURU_DENKISAKU_REACTIO_3_0",""
"MITURU_KYOUHU_REACTION_1_0","くっ…！ ","MITURU_KYOUHU_REACTION_1_0",""
"MITURU_KYOUHU_REACTION_2_0","これは！？ ","MITURU_KYOUHU_REACTION_2_0",""
"MITURU_KYOUHU_REACTION_3_0","う、風が！？ ","MITURU_KYOUHU_REACTION_3_0",""
"MITURU_STAIR_FIND_1_0","先に進めそうだが、どうする？ ","MITURU_STAIR_FIND_1_0",""
"MITURU_STAIR_FIND_2_0","あそこに階段があるな。 ","MITURU_STAIR_FIND_2_0",""
"MITURU_STAIR_FIND_3_0","階段か…次のフロアに進めそうだ。 ","MITURU_STAIR_FIND_3_0",""
"MITURU_TREASURE_FIND_1_0","宝箱があるな…開けてみるか。 ","MITURU_TREASURE_FIND_1_0",""
"MITURU_TREASURE_FIND_2_0","む…宝箱があるな。 ","MITURU_TREASURE_FIND_2_0",""
"MITURU_TREASURE_FIND_3_0","前方に宝箱だ。 ","MITURU_TREASURE_FIND_3_0",""
"MITURU_CHECK_WALL_1_0","む…あれはなんだ？ ","MITURU_CHECK_WALL_1_0",""
"MITURU_CHECK_WALL_2_0","…気になるな、調べてもらえないか？ ","MITURU_CHECK_WALL_2_0",""
"MITURU_CHECK_WALL_3_0","あれは何だ…？　調べてみよう。 ","MITURU_CHECK_WALL_3_0",""
"MITURU_SWITCH_FIND_1_0","ん？　これは…スイッチか？ ","MITURU_SWITCH_FIND_1_0",""
"MITURU_SWITCH_FIND_2_0","見ろ、ここにスイッチがあるぞ。 ","MITURU_SWITCH_FIND_2_0",""
"MITURU_SWITCH_FIND_3_0","スイッチか…判断は任せる。 ","MITURU_SWITCH_FIND_3_0",""
"MITURU_SHORTCUT_FIND_1_0","ん？　そこから通れそうだな。 ","MITURU_SHORTCUT_FIND_1_0",""
"MITURU_SHORTCUT_FIND_2_0","よし、近道にできそうだな。 ","MITURU_SHORTCUT_FIND_2_0",""
"MITURU_SHORTCUT_FIND_3_0","見ろ、ショートカットになりそうだ。 ","MITURU_SHORTCUT_FIND_3_0",""
"MITURU_FOE_WARNING_NEAR__0","油断するな！
まだＦ．Ｏ．Ｅがいるぞ！ ","MITURU_FOE_WARNING_NEAR__0",""
"MITURU_FOE_WARNING_NEAR__2_0","あのＦ．Ｏ．Ｅ、 
まだ追ってきてるのか… ","MITURU_FOE_WARNING_NEAR__2_0",""
"MITURU_FOE_WARNING_NEAR__3_0","気を抜くな！
Ｆ．Ｏ．Ｅもいるぞ！ ","MITURU_FOE_WARNING_NEAR__3_0",""
"MITURU_1PERSON_HPTP10_1_0","くっ…大丈夫だ、まだ、いける… ","MITURU_1PERSON_HPTP10_1_0",""
"MITURU_1PERSON_HPTP10_2_0","私としたことが…不覚を取った… ","MITURU_1PERSON_HPTP10_2_0",""
"MITURU_1PERSON_HPTP10_3_0","足手まといにはなりたくないのだがな… ","MITURU_1PERSON_HPTP10_3_0",""
"MITURU_1PERSON_HP10_1_0","ハァっ…悪いが、回復を頼めないか？ ","MITURU_1PERSON_HP10_1_0",""
"MITURU_1PERSON_HP10_2_0","くっ…体力が厳しいな… ","MITURU_1PERSON_HP10_2_0",""
"MITURU_1PERSON_HP10_3_0","すまない、体力の限界が近い… ","MITURU_1PERSON_HP10_3_0",""
"MITURU_1PERSON_TP10_1_0","気力が尽きそうだ…すまない… ","MITURU_1PERSON_TP10_1_0",""
"MITURU_1PERSON_TP10_2_0","少し疲弊してきたようだ… ","MITURU_1PERSON_TP10_2_0",""
"MITURU_1PERSON_TP10_3_0","すまない…少し休まないか？ ","MITURU_1PERSON_TP10_3_0",""
"MITURU_1PERSON_HP80_1_0","次もこの調子でいきたいものだな。 ","MITURU_1PERSON_HP80_1_0",""
"MITURU_1PERSON_HP80_2_0","我々も成長しているということだな。 ","MITURU_1PERSON_HP80_2_0",""
"MITURU_1PERSON_HP80_3_0","ブリリアント！　見事な戦いだった。 ","MITURU_1PERSON_HP80_3_0",""
"MITURU_DUNGEON_START_1_0","指揮は任せる。 ","MITURU_DUNGEON_START_1_0",""
"MITURU_DUNGEON_START_2_0","行くぞ！ ","MITURU_DUNGEON_START_2_0",""
"MITURU_DUNGEON_START_3_0","探索を開始する！ ","MITURU_DUNGEON_START_3_0",""
"MITURU_QUEST_START_1_0","では行くとしよう。 ","MITURU_QUEST_START_1_0",""
"MITURU_QUEST_START_2_0","ミッションを開始する！ ","MITURU_QUEST_START_2_0",""
"MITURU_QUEST_START_3_0","始めるぞ、みんな。 ","MITURU_QUEST_START_3_0",""
"MITURU_TOUHA_25_1_0","まだまだ先は長そうだな。 ","MITURU_TOUHA_25_1_0",""
"MITURU_TOUHA_25_2_0","無理せずに進もう。 ","MITURU_TOUHA_25_2_0",""
