"source","target","id","developer_comments"
"FUKA_FOE_FOLLOW_START_1_0","Ｆ．Ｏ．Ｅが接近してきています！","FUKA_FOE_FOLLOW_START_1_0",""
"FUKA_FOE_FOLLOW_START_2_0","Ｆ．Ｏ．Ｅに見つかったみたいです！","FUKA_FOE_FOLLOW_START_2_0",""
"FUKA_FOE_FOLLOW_START_3_0","Ｆ．Ｏ．Ｅに追尾されています！","FUKA_FOE_FOLLOW_START_3_0",""
"FUKA_FOE_NEAR_1_0","近くにＦ．Ｏ．Ｅ…警戒してください！","FUKA_FOE_NEAR_1_0",""
"FUKA_FOE_NEAR_2_0","Ｆ．Ｏ．Ｅがすぐ傍にいますよ！","FUKA_FOE_NEAR_2_0",""
"FUKA_FOE_NEAR_3_0","Ｆ．Ｏ．Ｅがいます。
気をつけてください！","FUKA_FOE_NEAR_3_0",""
"FUKA_FOE_FOLLOW_END_1_0","よかった…
Ｆ．Ｏ．Ｅを撒けたようですね。","FUKA_FOE_FOLLOW_END_1_0",""
"FUKA_FOE_FOLLOW_END_2_0","あのＦ．Ｏ．Ｅ、
諦めてくれたみたいですね…","FUKA_FOE_FOLLOW_END_2_0",""
"FUKA_FOE_FOLLOW_END_3_0","Ｆ．Ｏ．Ｅの追尾から
逃げ切れたようです。","FUKA_FOE_FOLLOW_END_3_0",""
"FUKA_KANSI_REACTION_1_0","気をつけて進んでください！","FUKA_KANSI_REACTION_1_0",""
"FUKA_KANSI_REACTION_2_0","見つかると厄介です。
注意してください！","FUKA_KANSI_REACTION_2_0",""
"FUKA_KANSI_REACTION_3_0","そこ、慎重に進んでくださいね。","FUKA_KANSI_REACTION_3_0",""
"FUKA_DENKISAKU_REACTION__0","電気柵ですね…
電流を止められないかな？","FUKA_DENKISAKU_REACTION__0",""
"FUKA_DENKISAKU_REACTION__2_0","電気柵の電流、
止めないと進めないですね。","FUKA_DENKISAKU_REACTION__2_0",""
"FUKA_DENKISAKU_REACTION__3_0","電気柵…
スイッチを切れればいいのですが…","FUKA_DENKISAKU_REACTION__3_0",""
"FUKA_KYOUHU_REACTION_1_0","ああっ、みんなー！","FUKA_KYOUHU_REACTION_1_0",""
"FUKA_KYOUHU_REACTION_2_0","気をつけて！","FUKA_KYOUHU_REACTION_2_0",""
"FUKA_KYOUHU_REACTION_3_0","あっ、飛ばされます！","FUKA_KYOUHU_REACTION_3_0",""
"FUKA_STAIR_FIND_1_0","階段が前方にあるみたいです！","FUKA_STAIR_FIND_1_0",""
"FUKA_STAIR_FIND_2_0","階段がありますよ。先に進みますか？","FUKA_STAIR_FIND_2_0",""
"FUKA_STAIR_FIND_3_0","あれ？
前にあるの…階段みたいですよ！","FUKA_STAIR_FIND_3_0",""
"FUKA_TREASURE_FIND_1_0","近くに宝箱があります！","FUKA_TREASURE_FIND_1_0",""
"FUKA_TREASURE_FIND_2_0","宝箱…開けてみませんか？","FUKA_TREASURE_FIND_2_0",""
"FUKA_TREASURE_FIND_3_0","何が入ってるんだろう…
ワクワクしますね！","FUKA_TREASURE_FIND_3_0",""
"FUKA_CHECK_WALL_1_0","その壁なんか…変ですね。","FUKA_CHECK_WALL_1_0",""
"FUKA_CHECK_WALL_2_0","あれ？　その壁…調べられますか？","FUKA_CHECK_WALL_2_0",""
