"source","target","id","developer_comments"
"ARAGAKI_FOE_FOLLOW_START_0","チッ、追いかけてきやがったか…","ARAGAKI_FOE_FOLLOW_START_0",""
"ARAGAKI_FOE_FOLLOW_START_2_0","Ｆ．Ｏ．Ｅに気付かれたみてぇだな。","ARAGAKI_FOE_FOLLOW_START_2_0",""
"ARAGAKI_FOE_FOLLOW_START_3_0","気ィつけろ。
Ｆ．Ｏ．Ｅが追ってきてやがる。","ARAGAKI_FOE_FOLLOW_START_3_0",""
"ARAGAKI_FOE_NEAR_1_0","Ｆ．Ｏ．Ｅがすぐそばにいやがんな…","ARAGAKI_FOE_NEAR_1_0",""
"ARAGAKI_FOE_NEAR_2_0","おーおー、Ｆ．Ｏ．Ｅのお出ましだぜ。","ARAGAKI_FOE_NEAR_2_0",""
"ARAGAKI_FOE_NEAR_3_0","Ｆ．Ｏ．Ｅか…
見つからねーよう注意しな。","ARAGAKI_FOE_NEAR_3_0",""
"ARAGAKI_FOE_FOLLOW_END_1_0","ようやく諦めてくれたみてーだな。","ARAGAKI_FOE_FOLLOW_END_1_0",""
"ARAGAKI_FOE_FOLLOW_END_2_0","あっちに行ったみてぇだな。","ARAGAKI_FOE_FOLLOW_END_2_0",""
"ARAGAKI_FOE_FOLLOW_END_3_0","Ｆ．Ｏ．Ｅ、上手く撒いたな。","ARAGAKI_FOE_FOLLOW_END_3_0",""
"ARAGAKI_KANSI_REACTION_1_0","チッ、動きづらそうだな。","ARAGAKI_KANSI_REACTION_1_0",""
"ARAGAKI_KANSI_REACTION_2_0","気ィつけな、見つかると面倒だぜ。","ARAGAKI_KANSI_REACTION_2_0",""
"ARAGAKI_KANSI_REACTION_3_0","厄介な罠だな。","ARAGAKI_KANSI_REACTION_3_0",""
"ARAGAKI_DENKISAKU_REACTI_0","電気柵か…
面倒くせーけど、遠回りすんぞ。","ARAGAKI_DENKISAKU_REACTI_0",""
"ARAGAKI_DENKISAKU_REACTI_2_0","電気を切るスイッチを探そうぜ。","ARAGAKI_DENKISAKU_REACTI_2_0",""
"ARAGAKI_DENKISAKU_REACTI_3_0","こりゃ、電気を止めるのが先決だな。","ARAGAKI_DENKISAKU_REACTI_3_0",""
"ARAGAKI_KYOUHU_REACTION__0","どわっ！？","ARAGAKI_KYOUHU_REACTION__0",""
"ARAGAKI_KYOUHU_REACTION__2_0","マジかよ…っ！","ARAGAKI_KYOUHU_REACTION__2_0",""
"ARAGAKI_KYOUHU_REACTION__3_0","チッ…！","ARAGAKI_KYOUHU_REACTION__3_0",""
"ARAGAKI_STAIR_FIND_1_0","おい、階段があるぞ。","ARAGAKI_STAIR_FIND_1_0",""
"ARAGAKI_STAIR_FIND_2_0","先に進めそうだな、行くか？","ARAGAKI_STAIR_FIND_2_0",""
"ARAGAKI_STAIR_FIND_3_0","まだ先があるのか。どうする？","ARAGAKI_STAIR_FIND_3_0",""
"ARAGAKI_TREASURE_FIND_1_0","宝箱があるぜ…開けるか？","ARAGAKI_TREASURE_FIND_1_0",""
"ARAGAKI_TREASURE_FIND_2_0","宝箱か…いいモン入ってるといいな。","ARAGAKI_TREASURE_FIND_2_0",""
"ARAGAKI_TREASURE_FIND_3_0","おい、そこに宝箱あんぞ。","ARAGAKI_TREASURE_FIND_3_0",""
"ARAGAKI_CHECK_WALL_1_0","怪しい気配がすんな…解除するか？","ARAGAKI_CHECK_WALL_1_0",""
"ARAGAKI_CHECK_WALL_2_0","おい、ありゃなんだ？","ARAGAKI_CHECK_WALL_2_0",""
"ARAGAKI_CHECK_WALL_3_0","あそこ、何かあんな。","ARAGAKI_CHECK_WALL_3_0",""
"ARAGAKI_SWITCH_FIND_1_0","スイッチか…押すか？","ARAGAKI_SWITCH_FIND_1_0",""
"ARAGAKI_SWITCH_FIND_2_0","おい、あれ…スイッチじゃねえか？","ARAGAKI_SWITCH_FIND_2_0",""
