"source","target","id","developer_comments"
"FUTABA_FOE_FOLLOW_START__0","Ｆ．Ｏ．Ｅが来るぞ！","FUTABA_FOE_FOLLOW_START__0",""
"FUTABA_FOE_FOLLOW_START__2_0","まずい、尾けられてる！","FUTABA_FOE_FOLLOW_START__2_0",""
"FUTABA_FOE_FOLLOW_START__3_0","Ｆ．Ｏ．Ｅに反応！","FUTABA_FOE_FOLLOW_START__3_0",""
"FUTABA_FOE_NEAR_1_0","目の前だ！　気をつけろ！","FUTABA_FOE_NEAR_1_0",""
"FUTABA_FOE_NEAR_2_0","うおい、余裕かましすぎだろ！","FUTABA_FOE_NEAR_2_0",""
"FUTABA_FOE_NEAR_3_0","かなり近いぞ！　注意な！","FUTABA_FOE_NEAR_3_0",""
"FUTABA_FOE_FOLLOW_END_1_0","安心しろ、撒いたぞ！","FUTABA_FOE_FOLLOW_END_1_0",""
"FUTABA_FOE_FOLLOW_END_2_0","よし、逃げ切ったな。","FUTABA_FOE_FOLLOW_END_2_0",""
"FUTABA_FOE_FOLLOW_END_3_0","ふー…良かったな！","FUTABA_FOE_FOLLOW_END_3_0",""
"FUTABA_KANSI_REACTION_1_0","パターンだ、観察してみろ！","FUTABA_KANSI_REACTION_1_0",""
"FUTABA_KANSI_REACTION_2_0","落ち着いて行動しろ、抜けられる！","FUTABA_KANSI_REACTION_2_0",""
"FUTABA_KANSI_REACTION_3_0","いいか…そっとだぞ…！","FUTABA_KANSI_REACTION_3_0",""
"FUTABA_DENKISAKU_REACTIO_0","まずは柵をなんとかするぞ！","FUTABA_DENKISAKU_REACTIO_0",""
"FUTABA_DENKISAKU_REACTIO_2_0","絶対触るなよ！　フリじゃないからな！","FUTABA_DENKISAKU_REACTIO_2_0",""
"FUTABA_DENKISAKU_REACTIO_3_0","電気を止めれば通れるぞ。","FUTABA_DENKISAKU_REACTIO_3_0",""
"FUTABA_KYOUHU_REACTION_1_0","おーい！？","FUTABA_KYOUHU_REACTION_1_0",""
"FUTABA_KYOUHU_REACTION_2_0","飛んだ！？","FUTABA_KYOUHU_REACTION_2_0",""
"FUTABA_KYOUHU_REACTION_3_0","大丈夫か！？","FUTABA_KYOUHU_REACTION_3_0",""
"FUTABA_STAIR_FIND_1_0","見えるか？　道があるぞ。","FUTABA_STAIR_FIND_1_0",""
"FUTABA_STAIR_FIND_2_0","近いぞ、先に続く道だ！","FUTABA_STAIR_FIND_2_0",""
"FUTABA_STAIR_FIND_3_0","次のエリアへの道だ、やったな！","FUTABA_STAIR_FIND_3_0",""
"FUTABA_TREASURE_FIND_1_0","む、オタカラの反応あり！","FUTABA_TREASURE_FIND_1_0",""
"FUTABA_TREASURE_FIND_2_0","見えたか？　オタカラだぞ。","FUTABA_TREASURE_FIND_2_0",""
"FUTABA_TREASURE_FIND_3_0","発見、オタカラ探訪ー！","FUTABA_TREASURE_FIND_3_0",""
"FUTABA_CHECK_WALL_1_0","そこそこ！　なにかないかー？","FUTABA_CHECK_WALL_1_0",""
"FUTABA_CHECK_WALL_2_0","調べてみてくれ、反応がある。","FUTABA_CHECK_WALL_2_0",""
"FUTABA_CHECK_WALL_3_0","アヤしいな、ちょっと見てくれ。","FUTABA_CHECK_WALL_3_0",""
"FUTABA_SWITCH_FIND_1_0","スイッチか、なるほど。","FUTABA_SWITCH_FIND_1_0",""
"FUTABA_SWITCH_FIND_2_0","おっ！　スイッチがあるみたいだぞ！","FUTABA_SWITCH_FIND_2_0",""
"FUTABA_SWITCH_FIND_3_0","慎重かつ大胆にポチっとな！","FUTABA_SWITCH_FIND_3_0",""
"FUTABA_SHORTCUT_FIND_1_0","おっ、通れそうだぞ！","FUTABA_SHORTCUT_FIND_1_0",""
"FUTABA_SHORTCUT_FIND_2_0","隠し通路だ、よく見つけたな！","FUTABA_SHORTCUT_FIND_2_0",""
"FUTABA_SHORTCUT_FIND_3_0","通っても問題はなさそうだ！","FUTABA_SHORTCUT_FIND_3_0",""
"FUTABA_PARTY_DEAD_1_0","これ以上は無謀だ、引け！","FUTABA_PARTY_DEAD_1_0",""
"FUTABA_PARTY_DEAD_2_0","マズイ！　戦略的撤退も考えろ！","FUTABA_PARTY_DEAD_2_0",""
