"source","target","id","developer_comments"
"MSG_000_0","よっしゃ、授業終わったー！
地獄だったぜ…","MSG_000_0","坂本 竜司"
"MSG_001_0","ふわぁ…眠っ…","MSG_001_0","坂本 竜司"
"MSG_002_0","おいリュージ、気が抜けてるぞ。","MSG_002_0","モルガナ"
"MSG_003_0","ちげーよ。最近怪盗団のこと考えてたら、
あんま眠れなくてよぉ…","MSG_003_0","坂本 竜司"
"MSG_003_1","今日も授業中、
思いっきり寝ちまった…","MSG_003_1","坂本 竜司"
"MSG_004_0","リュージは前から居眠りしてるだろ？","MSG_004_0","モルガナ"
"MSG_005_0","うっせ！
で、今日は怪盗団の活動どうすんだ？","MSG_005_0","坂本 竜司"
"MSG_005_1","次の期限まで時間あっけど、
とりあえずアジトに集まんねえ？","MSG_005_1","坂本 竜司"
"SEL_006_0","集まろう","SEL_006_0",""
"SEL_006_1","どうしようか…","SEL_006_1",""
"SEL_006_2","ラーメンを食べてから","SEL_006_2",""
"MSG_007_0","さっすが！　話が早ぇぜ。","MSG_007_0","坂本 竜司"
"MSG_008_0","集まってから悩みゃいいって。","MSG_008_0","坂本 竜司"
"MSG_009_0","ワガハイも集まった方がいいと思うぜ。","MSG_009_0","モルガナ"
"MSG_010_0","お前余裕だな…
まあ俺もラーメンは食いたい。","MSG_010_0","坂本 竜司"
"MSG_011_0","おいおい。晩メシには早いだろ。
アジトに集まろうぜ。","MSG_011_0","モルガナ"
"MSG_012_0","あ、みんな。","MSG_012_0","奥村 春"
"MSG_013_0","おっ、ちょうどいい。
今、アジトに行こうって話してたとこ。","MSG_013_0","坂本 竜司"
"MSG_014_0","私、今日は放課後、丸々時間取れるよ。
会社の件もひとまず落ち着いたし。","MSG_014_0","奥村 春"
"MSG_015_0","リュージ。みんなに連絡しとけ。","MSG_015_0","モルガナ"
"MSG_016_0","オッケー。","MSG_016_0","坂本 竜司"
"MSG_017_0","『アジトに集合』っと…","MSG_017_0","坂本 竜司"
"MSG_018_0","返信はやっ。","MSG_018_0","坂本 竜司"
"MSG_018_5_0","みんな、ルブランに来れるってよ。","MSG_018_5_0","坂本 竜司"
"MSG_019_0","じゃあ行きましょう。","MSG_019_0","奥村 春"
"speaker_坂本 竜司","坂本 竜司","speaker_坂本 竜司",""
"speaker_モルガナ","モルガナ","speaker_モルガナ",""
"speaker_奥村 春","奥村 春","speaker_奥村 春",""
