"source","target","id","developer_comments"
"id_0_0_0","バトルで獲得できるお金が１０％増える
[颜色 03]【NextLv：獲得できるお金が増える】[颜色 01]","id_0_0_0",""
"id_0_1_0","バトルで獲得できるお金が２０％増える
[颜色 03]【NextLv：獲得できるお金が増える】[颜色 01]","id_0_1_0",""
"id_0_2_0","バトルで獲得できるお金が３０％増える
[颜色 03]【NextLv：獲得できるお金が増える】[颜色 01]","id_0_2_0",""
"id_0_3_0","バトルで獲得できるお金が４０％増える
[颜色 03]【NextLv：獲得できるお金が増える】[颜色 01]","id_0_3_0",""
"id_0_4_0","バトルで獲得できるお金が５０％増える","id_0_4_0",""
"id_0_0_0_0","[颜色 03]【No05】をLv3にする[颜色 01]
バトルで獲得できるお金が１０％増える","id_0_0_0_0",""
"id_0_0_1_0","[颜色 02]unlock済み。LvUPさせて効果を有効化して下さい[颜色 01]
バトルで獲得できるお金が１０％増える","id_0_0_1_0",""
"id_1_0_0","バトルで獲得できる経験値が１０％増える
[颜色 03]【NextLv：獲得できる経験値が増える】[颜色 01]","id_1_0_0",""
"id_1_1_0","バトルで獲得できる経験値が２０％増える
[颜色 03]【NextLv：獲得できる経験値が増える】[颜色 01]","id_1_1_0",""
"id_1_2_0","バトルで獲得できる経験値が３０％増える
[颜色 03]【NextLv：獲得できる経験値が増える】[颜色 01]","id_1_2_0",""
"id_1_3_0","バトルで獲得できる経験値が４０％増える
[颜色 03]【NextLv：獲得できる経験値が増える】[颜色 01]","id_1_3_0",""
"id_1_4_0","バトルで獲得できる経験値が５０％増える","id_1_4_0",""
"id_1_0_0_0","[颜色 03]【No06】をLv4にする[颜色 01]
バトルで獲得できる経験値が１０％増える","id_1_0_0_0",""
"id_1_0_1_0","[颜色 02]unlock済み。LvUPさせて効果を有効化して下さい[颜色 01]
バトルで獲得できる経験値が１０％増える","id_1_0_1_0",""
"id_2_0_0","先制攻撃の発生確率が１０％増える
[颜色 03]【NextLv：先制攻撃の発生確率が増える】[颜色 01]","id_2_0_0",""
"id_2_1_0","先制攻撃の発生確率が２０％増える
[颜色 03]【NextLv：先制攻撃の発生確率が増える】[颜色 01]","id_2_1_0",""
"id_2_2_0","先制攻撃の発生確率が３０％増える
[颜色 03]【NextLv：先制攻撃の発生確率が増える】[颜色 01]","id_2_2_0",""
"id_2_3_0","先制攻撃の発生確率が４０％増える
[颜色 03]【NextLv：先制攻撃の発生確率が増える】[颜色 01]","id_2_3_0",""
"id_2_4_0","先制攻撃の発生確率が５０％増える","id_2_4_0",""
"id_2_0_0_0","[颜色 03]【No14】をLv1にする[颜色 01]
先制攻撃の発生確率が１０％増える","id_2_0_0_0",""
"id_2_0_1_0","[颜色 02]unlock済み。LvUPさせて効果を有効化して下さい[颜色 01]
先制攻撃の発生確率が１０％増える","id_2_0_1_0",""
"id_3_0_0","自身を中心に３×３マスの範囲内に存在する
F.O.E、宝箱、抜け道、扉、階段を地図に表示する
[颜色 03]【NextLv：ヒントの表示範囲が広がる】[颜色 01]","id_3_0_0",""
"id_3_1_0","自身を中心に５×５マスの範囲内に存在する
F.O.E、宝箱、抜け道、扉、階段を地図に表示する
[颜色 03]【NextLv：ヒントの表示範囲が広がる】[颜色 01]","id_3_1_0",""
"id_3_2_0","自身を中心に７×７マスの範囲内に存在する
F.O.E、宝箱、抜け道、扉、階段を地図に表示する
[颜色 03]【NextLv：ヒントの表示範囲が広がる】[颜色 01]","id_3_2_0",""
"id_3_3_0","自身を中心に９×９マスの範囲内に存在する
F.O.E、宝箱、抜け道、扉、階段を地図に表示する
[颜色 03]【NextLv：ヒントの表示範囲が広がる】[颜色 01]","id_3_3_0",""
"id_3_4_0","自身を中心に１１×１１マスの範囲内に存在する
F.O.E、宝箱、抜け道、扉、階段を地図に表示する","id_3_4_0",""
"id_3_0_1_0","[颜色 02]unlock済み。LvUPさせて効果を有効化して下さい[颜色 01]
自身を中心に３×３マスの範囲内に存在する
F.O.E、宝箱、抜け道、扉、階段を地図に表示する","id_3_0_1_0",""
"id_4_0_0","映画内を１０歩進む度に味方全体のＨＰが１回復する
[颜色 03]【NextLv：ＨＰ回復までの歩数が減る】[颜色 01]","id_4_0_0",""
"id_4_1_0","映画内を８歩進む度に味方全体のＨＰが１回復する
[颜色 03]【NextLv：ＨＰ回復までの歩数が減る】[颜色 01]","id_4_1_0",""
"id_4_2_0","映画内を６歩進む度に味方全体のＨＰが１回復する
[颜色 03]【NextLv：ＨＰ回復までの歩数が減る】[颜色 01]","id_4_2_0",""
"id_4_3_0","映画内を４歩進む度に味方全体のＨＰが１回復する
[颜色 03]【NextLv：ＨＰ回復までの歩数が減る】[颜色 01]","id_4_3_0",""
"id_4_4_0","映画内を２歩進む度に味方全体のＨＰが１回復する","id_4_4_0",""
"id_4_0_0_0","[颜色 03]【No04】をLv3にする[颜色 01]
映画内を１０歩進む度に味方全体のＨＰが１回復する","id_4_0_0_0",""
"id_4_0_1_0","[颜色 02]unlock済み。LvUPさせて効果を有効化して下さい[颜色 01]
映画内を１０歩進む度に味方全体のＨＰが１回復する","id_4_0_1_0",""
"id_5_0_0","映画内を１５歩進む度に味方全体のＳＰが１回復する
[颜色 03]【NextLv：ＳＰ回復までの歩数が減る】[颜色 01]","id_5_0_0",""
"id_5_1_0","映画内を１２歩進む度に味方全体のＳＰが１回復する
[颜色 03]【NextLv：ＳＰ回復までの歩数が減る】[颜色 01]","id_5_1_0",""
"id_5_2_0","映画内を９歩進む度に味方全体のＳＰが１回復する
[颜色 03]【NextLv：ＳＰ回復までの歩数が減る】[颜色 01]","id_5_2_0",""
"id_5_3_0","映画内を６歩進む度に味方全体のＳＰが１回復する
[颜色 03]【NextLv：ＳＰ回復までの歩数が減る】[颜色 01]","id_5_3_0",""
"id_5_4_0","映画内を３歩進む度に味方全体のＳＰが１回復する","id_5_4_0",""
"id_5_0_0_0","[颜色 03]【No22】をLv2、【No01】をLv3にする[颜色 01]
映画内を１５歩進む度に味方全体のＳＰが１回復する","id_5_0_0_0",""
"id_5_0_1_0","[颜色 02]unlock済み。LvUPさせて効果を有効化して下さい[颜色 01]
映画内を１５歩進む度に味方全体のＳＰが１回復する","id_5_0_1_0",""
"id_6_0_0","バトル開始時にパーティゲージが５０％増える
[颜色 03]【NextLv：パーティゲージの増加量が増える】[颜色 01]","id_6_0_0",""
"id_6_1_0","バトル開始時にパーティゲージが１００％増える
[颜色 03]【NextLv：パーティゲージの増加量が増える】[颜色 01]","id_6_1_0",""
"id_6_2_0","バトル開始時にパーティゲージが１５０％増える
[颜色 03]【NextLv：パーティゲージの増加量が増える】[颜色 01]","id_6_2_0",""
"id_6_3_0","バトル開始時にパーティゲージが２００％増える
[颜色 03]【NextLv：パーティゲージの増加量が増える】[颜色 01]","id_6_3_0",""
"id_6_4_0","バトル開始時にパーティゲージが３００％増える","id_6_4_0",""
"id_6_0_0_0","[颜色 03]【No02】をLv5、【No15】をLv1にする[颜色 01]
バトル開始時にパーティーゲージが５０％増える","id_6_0_0_0",""
"id_6_0_1_0","[颜色 02]unlock済み。LvUPさせて効果を有効化して下さい[颜色 01]
バトル開始時にパーティーゲージが５０％増える","id_6_0_1_0",""
"id_7_0_0","総攻撃で与えるダメージが１０％増える
[颜色 03]【NextLv：総攻撃で与えるダメージが増える】[颜色 01]","id_7_0_0",""
"id_7_1_0","総攻撃で与えるダメージが２０％増える
[颜色 03]【NextLv：総攻撃で与えるダメージが増える】[颜色 01]","id_7_1_0",""
"id_7_2_0","総攻撃で与えるダメージが３０％増える
[颜色 03]【NextLv：総攻撃で与えるダメージが増える】[颜色 01]","id_7_2_0",""
"id_7_3_0","総攻撃で与えるダメージが４０％増える
[颜色 03]【NextLv：総攻撃で与えるダメージが増える】[颜色 01]","id_7_3_0",""
"id_7_4_0","総攻撃で与えるダメージが５０％増える","id_7_4_0",""
"id_7_0_0_0","[颜色 03]【No10】をLv3にする[颜色 01]
総攻撃で与えるダメージが１０％増える","id_7_0_0_0",""
"id_7_0_1_0","[颜色 02]unlock済み。LvUPさせて効果を有効化して下さい[颜色 01]
総攻撃で与えるダメージが１０％増える","id_7_0_1_0",""
"id_8_0_0","パワースポットで採取できる回数が４回になる
[颜色 03]【NextLv：採取回数が増える】[颜色 01]","id_8_0_0",""
"id_8_1_0","パワースポットで採取できる回数が５回になる
[颜色 03]【NextLv：採取回数が増える】[颜色 01]","id_8_1_0",""
"id_8_2_0","パワースポットで採取できる回数が６回になる
[颜色 03]【NextLv：採取回数が増える】[颜色 01]","id_8_2_0",""
"id_8_3_0","パワースポットで採取できる回数が７回になる
[颜色 03]【NextLv：採取回数が増える】[颜色 01]","id_8_3_0",""
"id_8_4_0","パワースポットで採取できる回数が８回になる","id_8_4_0",""
"id_8_0_0_0","[颜色 03]【No13】をLv1、【No24】をLv1にする[颜色 01]
パワースポットで採取できる回数が４回になる","id_8_0_0_0",""
"id_8_0_1_0","[颜色 02]unlock済み。LvUPさせて効果を有効化して下さい[颜色 01]
パワースポットで採取できる回数が４回になる","id_8_0_1_0",""
"id_9_0_0","パワースポットでアクセサリーを入手する確率が
１０％増える
[颜色 03]【NextLv：アクセサリーの入手確率が増える】[颜色 01]","id_9_0_0",""
"id_9_1_0","パワースポットでアクセサリーを入手する確率が
２０％増える
[颜色 03]【NextLv：アクセサリーの入手確率が増える】[颜色 01]","id_9_1_0",""
"id_9_2_0","パワースポットでアクセサリーを入手する確率が
３０％増える
[颜色 03]【NextLv：アクセサリーの入手確率が増える】[颜色 01]","id_9_2_0",""
