"source","target","id","developer_comments"
"usercmm_sel_0","はい","usercmm_sel_0",""
"usercmm_sel_1","いいえ","usercmm_sel_1",""
"usercmm_conf_0","メッセージを変更するけど、いい？","usercmm_conf_0","マリー"
"usercmm_can_conf_0","メッセージは変更しないけど、いい？","usercmm_can_conf_0","マリー"
"usercmm_tutorial_0","じゃあ“救援要請”の事、説明するね。","usercmm_tutorial_0","マリー"
"usercmm_tutorial_1","えっとね、世界ってここだけじゃなくて、
ここに似た世界が、他にもいっぱいあるんだって。","usercmm_tutorial_1","マリー"
"usercmm_tutorial_2","で、その世界にも“キミじゃないキミ”が
いるんだってさ…良くわかんないけど。","usercmm_tutorial_2","マリー"
"usercmm_tutorial_3","だから、テレビの中でピンチになった時、
“ここではない世界”のキミに向かって、
キミから救援要請を送れるの。","usercmm_tutorial_3","マリー"
"usercmm_tutorial_4","でね、“ここではない世界”のキミがそれに
応えてくれると、この世界のキミに
応援が届くんだって。","usercmm_tutorial_4","マリー"
"usercmm_tutorial_5","ちなみに救援要請って、出すのにお金とか
要らないから、とりあえず使ってみれば？","usercmm_tutorial_5","マリー"
"usercmm_tutorial_6","もっと詳しい説明が欲しかったら、
また聞いてくれれば教えるよ。","usercmm_tutorial_6","マリー"
"usercmm_conf_m_0","メッセージを変更いたします。
宜しいですか？","usercmm_conf_m_0","マーガレット"
"usercmm_can_conf_m_0","メッセージは変更されませんが、宜しいですか？","usercmm_can_conf_m_0","マーガレット"
"usercmm_tutorial_m_0","畏まりました、では“救援要請”について
ご説明申し上げます。","usercmm_tutorial_m_0","マーガレット"
"usercmm_tutorial_m_1","救援要請は、“ここではない世界”に、
貴方の声をお届けする為の機能です。","usercmm_tutorial_m_1","マーガレット"
"usercmm_tutorial_m_2","“ここではない世界”とは、
あなたが今存在するこの世界と並行に存在する
“もうひとつの世界”の事…","usercmm_tutorial_m_2","マーガレット"
"usercmm_tutorial_m_3","貴方が発した救援要請は世界の壁を越え、
数多ある“ここではない世界”に暮らす、
“もうひとりの貴方”のもとへ届けられるのです。","usercmm_tutorial_m_3","マーガレット"
"usercmm_tutorial_m_4","救援要請は無償ですので、テレビの中で
危機に陥った際は、是非お試しください。","usercmm_tutorial_m_4","マーガレット"
"usercmm_tutorial_m_5","更なる説明がご入用の際は、
どうぞご遠慮なくお申し付け下さい。","usercmm_tutorial_m_5","マーガレット"
"usercmm_conf2_0","メッセージを変更するけど…いいよね。","usercmm_conf2_0","マリー"
"usercmm_can_conf2_0","メッセージは変更しないけど…いい？","usercmm_can_conf2_0","マリー"
"usercmm_tutorial2_0","あ…“救援要請”の事、説明するね。","usercmm_tutorial2_0","マリー"
"usercmm_tutorial2_1","えっと…世界ってここだけじゃなくて、
ここに似た世界が、他にもいっぱいあるの。","usercmm_tutorial2_1","マリー"
"usercmm_tutorial2_2","その世界にも“キミじゃないキミ”がいて…
キミみたいに、普通に生きてる。","usercmm_tutorial2_2","マリー"
"usercmm_tutorial2_3","だから、テレビの中でピンチになった時、
“ここではない世界”のキミに向かって、
キミから救援要請を送れるよ…","usercmm_tutorial2_3","マリー"
"usercmm_tutorial2_4","でね…“ここではない世界”のキミがそれに
応えてくれれば、この世界のキミに
応援が届くんだって…","usercmm_tutorial2_4","マリー"
"usercmm_tutorial2_5","…救援要請は、出すのにお金とか
要らないから、とりあえず使ってみて。","usercmm_tutorial2_5","マリー"
"usercmm_tutorial2_6","もっと詳しい説明が欲しかったら、
また聞いてくれれば教えるから…","usercmm_tutorial2_6","マリー"
"speaker_マリー","マリー","speaker_マリー",""
"speaker_マーガレット","マーガレット","speaker_マーガレット",""
