"source","target","id","developer_comments"
"MSG_BEST_1_1_0","調子が上がってきた。
俺にも戦わせてくれないか？","MSG_BEST_1_1_0","Ｐ４主人公"
"MSG_BEST_1_2_0","前線に加えてくれないか。
今、調子がいいんだ。","MSG_BEST_1_2_0","Ｐ４主人公"
"MSG_BEST_2_1_0","僕を前線にどうかな？
いつもより、お役に立てるかも。","MSG_BEST_2_1_0","Ｐ３主人公"
"MSG_BEST_2_2_0","なんだか調子がいいんだ。
良かったら行かせてくれないかな。","MSG_BEST_2_2_0","Ｐ３主人公"
"MSG_BEST_3_1_0","なあ、俺も行かせてくれねえ？
調子上がって来てっからさ！","MSG_BEST_3_1_0","花村 陽介"
"MSG_BEST_3_2_0","へへっ、絶好調だぜ！
今ならバッチリ決めてやるって！","MSG_BEST_3_2_0","花村 陽介"
"MSG_BEST_4_1_0","あたし、絶好調かも！
今ならどーんとやっちゃうよ！","MSG_BEST_4_1_0","里中 千枝"
"MSG_BEST_4_2_0","アチョー！　肉パワー増量中！
あたしに任せて！","MSG_BEST_4_2_0","里中 千枝"
"MSG_BEST_5_1_0","ねえ、私にも戦わせて。
すごく調子がいい気がするの。","MSG_BEST_5_1_0","天城 雪子"
"MSG_BEST_5_2_0","私、なんだか燃えてきた。
今なら活躍できそう！","MSG_BEST_5_2_0","天城 雪子"
"MSG_BEST_6_1_0","うん、絶好調かも！
ノドの調子もいいし、ナビは任せて！","MSG_BEST_6_1_0","久慈川 りせ"
"MSG_BEST_6_2_0","やっほー！　元気１００％だよ！
今ならばっちりナビできそう！","MSG_BEST_6_2_0","久慈川 りせ"
"MSG_BEST_7_1_0","オレも前線に出てえっス！
調子上がってきてんスよ！","MSG_BEST_7_1_0","巽 完二"
"MSG_BEST_7_2_0","っしゃ、絶好調だぜ！
片っ端からやってやりますって！","MSG_BEST_7_2_0","巽 完二"
"MSG_BEST_8_1_0","僕を前線に入れてくれませんか？
今、とても調子がいいんです。","MSG_BEST_8_1_0","白鐘 直斗"
"MSG_BEST_8_2_0","気力、体力ともに充実しています。
戦闘は僕に任せて下さい。","MSG_BEST_8_2_0","白鐘 直斗"
"MSG_BEST_9_1_0","はいはーい、クマは絶好調クマよ！
大活躍、間違いなしクマ！","MSG_BEST_9_1_0","クマ"
"MSG_BEST_9_2_0","むほー！　みなぎって参りました！
ここはクマに任せんしゃい！","MSG_BEST_9_2_0","クマ"
"MSG_BEST_10_1_0","うん、なんか調子いいかも。
今なら行けそう！","MSG_BEST_10_1_0","岳羽 ゆかり"
"MSG_BEST_10_2_0","私さ、調子いいみたいなんだ。
よかったら前線に入れてね。","MSG_BEST_10_2_0","岳羽 ゆかり"
"MSG_BEST_11_1_0","へへ、オレっち絶・好・調！
伊織順平伝説は…この後すぐ！","MSG_BEST_11_1_0","伊織 順平"
"MSG_BEST_11_2_0","調子上がって来たー！
オレっちを出すべきだな、うん。","MSG_BEST_11_2_0","伊織 順平"
"MSG_BEST_12_1_0","フッ、拳がたぎっている。
今こそ俺を前線に加えてくれ。","MSG_BEST_12_1_0","真田 明彦"
"MSG_BEST_12_2_0","いつになく身体がキレている。
最前線で暴れさせてくれ！","MSG_BEST_12_2_0","真田 明彦"
"MSG_BEST_13_1_0","どうやら調子がいいようだ。
ぜひ戦闘に加えてもらいたいな。","MSG_BEST_13_1_0","桐条 美鶴"
"MSG_BEST_13_2_0","コンディションは良好だ。
私が戦線を切り拓く！","MSG_BEST_13_2_0","桐条 美鶴"
