"source","target","id","developer_comments"
"accessory_A01_0","足首につけることで全身に力が宿る装飾品
効果：[F2 01 04 01]力＋１","accessory_A01_0",""
"accessory_A02_0","異なる理の力を感じる異国のお守り
効果：[F2 01 04 01]魔＋１","accessory_A02_0",""
"accessory_A03_0","締めることで堪え忍ぶ心も締まるベルト
効果：[F2 01 04 01]耐＋１","accessory_A03_0",""
"accessory_A04_0","某国の陸軍が愛用する歩幅が伸びる靴下
効果：[F2 01 04 01]速＋１","accessory_A04_0",""
"accessory_A05_0","大きくＬＵＣＫＹの文字でできた飾り物
効果：[F2 01 04 01]運＋１","accessory_A05_0",""
"accessory_A06_0","活力が湧く不思議な小さな木の彫刻品
効果：[F2 01 04 01]最大ＨＰ５％アップ","accessory_A06_0",""
"accessory_A07_0","常に精神が安定する気がする匂い袋
効果：[F2 01 04 01]最大ＳＰ５％アップ","accessory_A07_0",""
"accessory_A08_0","身につけた人が眠った瞬間に鳴り出す時計
効果：[F2 01 04 01]状態異常『睡眠』耐性アップ","accessory_A08_0",""
"accessory_A09_0","フワフワの赤いフェルトで頭部を守る帽子
効果：[F2 01 04 01]状態異常『混乱』耐性アップ","accessory_A09_0",""
"accessory_A0A_0","大自然の力が身体に流れ込む不思議なバッジ
効果：[F2 01 04 01]最大ＨＰ＆ＳＰ５％アップ","accessory_A0A_0",""
"accessory_A0B_0","付けると目の前に照準が表示されるゴーグル
効果：[F2 01 04 01]命中率アップ・中","accessory_A0B_0",""
"accessory_A0C_0","頭部に対する難事を防ぐことに特化した帽子
効果：[F2 01 04 01]『魔封じ』耐性アップ","accessory_A0C_0",""
"accessory_A0D_0","常に腕を保護する特殊素材でできた器具
効果：[F2 01 04 01]『力封じ』耐性アップ","accessory_A0D_0",""
"accessory_A0E_0","足の状態を温度から肉質まで守る靴下
効果：[F2 01 04 01]『速封じ』耐性アップ","accessory_A0E_0",""
"accessory_A0F_0","あらゆる毒の侵入を防ぐ黒いマスク
効果：[F2 01 04 01]状態異常『毒』耐性アップ","accessory_A0F_0",""
"accessory_A10_0","常にヨガを行うのと同じ効果があるタスキ
効果：[F2 01 04 01]状態異常『麻痺』耐性アップ","accessory_A10_0",""
"accessory_A11_0","相手の目を見なくても失礼にならない眼鏡
効果：[F2 01 04 01]状態異常『石化』耐性アップ","accessory_A11_0",""
"accessory_A12_0","生き残るあらゆる手段が書かれたノート
効果：[F2 01 04 01]状態異常『即死』耐性アップ","accessory_A12_0",""
"accessory_A14_0","異世界の盾技『防御陣形』を覚える証
効果：[F2 01 04 01]味方１列の防御力上昇スキル","accessory_A14_0",""
"accessory_A15_0","異世界の技能『ウォークライ』を覚える証
効果：[F2 01 04 01]自身の防御を下げ攻撃を上げるスキル","accessory_A15_0",""
"accessory_A16_0","異世界の医術『ラインヒール』を覚える証
効果：[F2 01 04 01]味方１列のＨＰ回復スキル","accessory_A16_0",""
"accessory_A17_0","異世界の歌『猛き戦いの舞曲』を覚える証
効果：[F2 01 04 01]味方１列の攻撃力上昇スキル","accessory_A17_0",""
"accessory_A18_0","異世界の剣術『首討ち』を覚える証
効果：[F2 01 04 01]単体にダメージと低確率で即死スキル","accessory_A18_0",""
"accessory_A19_0","異世界の秘術『退魔の霧』が宿る証
効果：[F2 01 04 01]同列の状態異常・封じを中確率で無効","accessory_A19_0",""
"accessory_A1B_0","周囲の仲間の心の機微がわかる不思議な腕輪
効果：[F2 01 04 01]パーティゲージ増加量アップ・小","accessory_A1B_0",""
"accessory_A1C_0","周囲の仲間とソウルで繋がれる不思議な腕輪
効果：[F2 01 04 01]パーティゲージ増加量アップ・中","accessory_A1C_0",""
"accessory_A1D_0","ギリギリで踏み止まる根性が湧く腕輪
効果：[F2 01 04 01]戦闘不能になる前に１度だけ耐える","accessory_A1D_0",""
"accessory_A1E_0","自分の合理性が写る鏡
効果：[F2 01 04 01]最大ＨＰ２５％アップ","accessory_A1E_0",""
"accessory_A1F_0","自分の信念が写る鏡
効果：[F2 01 04 01]最大ＳＰ２５％アップ","accessory_A1F_0",""
"accessory_A20_0","自分の直感が写る鏡
効果：[F2 01 04 01]クリティカル率１５％アップ","accessory_A20_0",""
"accessory_A21_0","自分の革新性が写る鏡
効果：[F2 01 04 01]全封じ無効","accessory_A21_0",""
"accessory_A23_0","異世界の技能『ダブルアタック』が宿る証
効果：[F2 01 04 01]敵対象スキルが中確率で２回発動","accessory_A23_0",""
"accessory_A24_0","異世界の高貴な力『王者の凱旋』が宿る証
効果：[F2 01 04 01]迷宮を歩くたびに自分のＳＰ小回復","accessory_A24_0",""
"accessory_A26_0","生命力と火炎回避の加護がある帯
効果：[F2 01 04 01]最大ＨＰ＋１５％／火炎属性回避・中","accessory_A26_0",""
"accessory_A27_0","生命力と氷結回避の加護がある帯
効果：[F2 01 04 01]最大ＨＰ＋１５％／氷結属性回避・中","accessory_A27_0",""
"accessory_A28_0","生命力と疾風回避の加護がある帯
効果：[F2 01 04 01]最大ＨＰ＋１５％／疾風属性回避・中","accessory_A28_0",""
"accessory_A29_0","生命力と電撃回避の加護がある帯
効果：[F2 01 04 01]最大ＨＰ＋１５％／電撃属性回避・中","accessory_A29_0",""
