"source","target","id","developer_comments"
"addeffect_000_0","なし","addeffect_000_0",""
"addeffect_001_0","力１ＵＰ","addeffect_001_0",""
"addeffect_002_0","力２ＵＰ","addeffect_002_0",""
"addeffect_003_0","力３ＵＰ","addeffect_003_0",""
"addeffect_004_0","力４ＵＰ","addeffect_004_0",""
"addeffect_005_0","力５ＵＰ","addeffect_005_0",""
"addeffect_006_0","耐１ＵＰ","addeffect_006_0",""
"addeffect_007_0","耐２ＵＰ","addeffect_007_0",""
"addeffect_008_0","耐３ＵＰ","addeffect_008_0",""
"addeffect_009_0","耐４ＵＰ","addeffect_009_0",""
"addeffect_010_0","耐５ＵＰ","addeffect_010_0",""
"addeffect_011_0","魔１ＵＰ","addeffect_011_0",""
"addeffect_012_0","魔２ＵＰ","addeffect_012_0",""
"addeffect_013_0","魔３ＵＰ","addeffect_013_0",""
"addeffect_014_0","魔４ＵＰ","addeffect_014_0",""
"addeffect_015_0","魔５ＵＰ","addeffect_015_0",""
"addeffect_016_0","速１ＵＰ","addeffect_016_0",""
"addeffect_017_0","速２ＵＰ","addeffect_017_0",""
"addeffect_018_0","速３ＵＰ","addeffect_018_0",""
"addeffect_019_0","速４ＵＰ","addeffect_019_0",""
"addeffect_020_0","速５ＵＰ","addeffect_020_0",""
"addeffect_021_0","運１ＵＰ","addeffect_021_0",""
"addeffect_022_0","運２ＵＰ","addeffect_022_0",""
"addeffect_023_0","運３ＵＰ","addeffect_023_0",""
"addeffect_024_0","運４ＵＰ","addeffect_024_0",""
"addeffect_025_0","運５ＵＰ","addeffect_025_0",""
"addeffect_026_0","ＨＰ１０ＵＰ","addeffect_026_0",""
"addeffect_027_0","ＨＰ２０ＵＰ","addeffect_027_0",""
"addeffect_028_0","ＨＰ３０ＵＰ","addeffect_028_0",""
"addeffect_029_0","ＨＰ４０ＵＰ","addeffect_029_0",""
"addeffect_030_0","ＨＰ５０ＵＰ","addeffect_030_0",""
"addeffect_031_0","ＳＰ１０ＵＰ","addeffect_031_0",""
"addeffect_032_0","ＳＰ２０ＵＰ","addeffect_032_0",""
"addeffect_033_0","ＳＰ３０ＵＰ","addeffect_033_0",""
