"source","target","id","developer_comments"
"map_help_title_001_0","壁の描き方と消し方","map_help_title_001_0",""
"map_help_title_002_0","床の塗り方と消し方","map_help_title_002_0",""
"map_help_title_003_0","アイコンの置き方と捨て方","map_help_title_003_0",""
"map_help_title_004_0","アイコンの色・種類がえ","map_help_title_004_0",""
"map_help_title_005_0","アイコンの種類","map_help_title_005_0",""
"map_help_title_006_0","表示階切り替え","map_help_title_006_0",""
"map_help_title_007_0","マップの回転","map_help_title_007_0",""
"map_help_title_008_0","操作のやり直し","map_help_title_008_0",""
"map_help_title_009_0","オートパイロットの使い方","map_help_title_009_0",""
"map_help_title_010_0","ＦＲＥＥパレットの使い方","map_help_title_010_0",""
"map_help_title_011_0","特別上映専用パレットの使い方","map_help_title_011_0",""
