"source","target","id","developer_comments"
"text_000_0","【迷宮】エネミーアピアランスについて","text_000_0",""
"text_001_0","【迷宮】オタカラスポットについて","text_001_0",""
"text_002_0","【迷宮】抜け道について","text_002_0",""
"text_003_0","【迷宮】映画館へ帰還した時の回復について","text_003_0",""
"text_004_0","【迷宮】踏破率１００％で開く宝箱について","text_004_0",""
"text_005_0","【迷宮】HPの回復について","text_005_0",""
"text_006_0","【迷宮】オートリカバー","text_006_0",""
"text_007_0","【迷宮】基本操作について","text_007_0",""
"text_008_0","【迷宮】宝箱について","text_008_0",""
"text_009_0","【迷宮】宝の地図について","text_009_0",""
"text_010_0","【迷宮】赤いオタカラスポットについて","text_010_0",""
"text_011_0","【地図】地図の記載方法について","text_011_0",""
"text_012_0","【地図】Ｆ．Ｏ．Ｅアイコンについて（基礎）","text_012_0",""
"text_013_0","【地図】Ｆ．Ｏ．Ｅアイコンについて（応用１）","text_013_0",""
"text_014_0","【地図】Ｆ．Ｏ．Ｅアイコンについて（応用２）","text_014_0",""
"text_015_0","【バトル】属性と弱点","text_015_0",""
"text_016_0","【バトル】ブースト","text_016_0",""
"text_017_0","【バトル】フィニッシュボーナス","text_017_0",""
"text_018_0","【バトル】レア素材","text_018_0",""
"text_019_0","【バトル】ブーストの解除と戦略","text_019_0",""
"text_020_0","【バトル】アナライズ","text_020_0",""
"text_021_0","【バトル】レアシャドウ","text_021_0",""
"text_022_0","【バトル】サブペルソナ","text_022_0",""
"text_023_0","【バトル】総攻撃","text_023_0",""
"text_024_0","【バトル】サポートスキル","text_024_0",""
"text_025_0","【バトル】バトンタッチ","text_025_0",""
"text_026_0","【バトル】控えメンバーの追撃","text_026_0",""
"text_027_0","【バトル】属性攻撃が効かないシャドウ","text_027_0",""
"text_028_0","【バトル】サブペルソナの装着","text_028_0",""
"text_029_0","【バトル】状態異常","text_029_0",""
"text_030_0","【バトル】逃走","text_030_0",""
"text_031_0","【バトル】協力技について","text_031_0",""
"text_032_0","【バトル】協力技の発動について","text_032_0",""
"text_033_0","【バトル】バトル中のアイテム使用","text_033_0",""
"text_034_0","【バトル】バトルBGMの変更について","text_034_0",""
"text_035_0","【映画館】ショップについて","text_035_0",""
"text_036_0","【映画館】ナビ設定について","text_036_0",""
"text_037_0","【映画館】ヤル気状態について","text_037_0",""
"text_038_0","【映画館】すれちがい通信について","text_038_0",""
"text_039_0","【映画館】パーティ編成について","text_039_0",""
"text_040_0","【映画館】素材と新商品について","text_040_0",""
"text_041_0","【映画館】鑑定について","text_041_0",""
"text_042_0","【映画館】武器や防具に付いている効果について","text_042_0",""
"text_043_0","【映画館】特別上映について","text_043_0",""
"text_044_0","【合体】ペルソナ合体について","text_044_0",""
"text_045_0","【合体】イケニエ合体について","text_045_0",""
"text_046_0","【合体】ブランクカードについて","text_046_0",""
"text_047_0","【合体】ワイルドカードについて","text_047_0",""
"text_048_0","【合体】特殊合体について","text_048_0",""
"text_049_0","【特別上映】特別上映用の地図について","text_049_0",""
"text_050_0","【特別上映】特別上映時のみ出現する宝箱について","text_050_0",""
"text_051_0","【特別上映】チケットの発券について","text_051_0",""
"text_052_0","【ＤＬＣ】ＤＬＣ専用サブペルソナについて","text_052_0",""
"text_053_0","【ＤＬＣ】ＤＬＣ専用アイテムセットについて","text_053_0",""
