"source","target","id","developer_comments"
"MSG_TUTORIAL_POWERSPOT_2_0","『オタカラスポット』[F2 01 01 01]では、[F2 01 03 01]様々なアイテム[F2 01 01 01]を
入手することができます。","MSG_TUTORIAL_POWERSPOT_2_0",""
"MSG_TUTORIAL_POWERSPOT_2_2_0","最初の選択肢で
[F2 01 03 01]『警戒しながら探す』[F2 01 01 01]を選ぶと、","MSG_TUTORIAL_POWERSPOT_2_2_0",""
"MSG_TUTORIAL_POWERSPOT_2_2_1","最大４個[F2 01 01 01]までアイテムを入手することが可能で
戦闘が発生する危険度も低くなりますが、","MSG_TUTORIAL_POWERSPOT_2_2_1",""
"MSG_TUTORIAL_POWERSPOT_2_2_2","レアアイテムが出現する確率は[F2 01 03 01]低くなります。","MSG_TUTORIAL_POWERSPOT_2_2_2",""
"MSG_TUTORIAL_POWERSPOT_2_3_0","最初の選択肢で
[F2 01 03 01]『採取に専念する』[F2 01 01 01]を選ぶと、","MSG_TUTORIAL_POWERSPOT_2_3_0",""
"MSG_TUTORIAL_POWERSPOT_2_3_1","最大５個[F2 01 01 01]までアイテムを入手することが可能で
[F2 01 03 01]レアアイテムが出現する確率も高くなります[F2 01 01 01]が、","MSG_TUTORIAL_POWERSPOT_2_3_1",""
"MSG_TUTORIAL_POWERSPOT_2_3_2","戦闘が発生する危険度も高くなります。","MSG_TUTORIAL_POWERSPOT_2_3_2",""
"MSG_TUTORIAL_POWERSPOT_2_3_3","それぞれ入手回数は限られていますが
[F2 01 03 01]一度迷宮から出る[F2 01 01 01]と、","MSG_TUTORIAL_POWERSPOT_2_3_3",""
"MSG_TUTORIAL_POWERSPOT_2_3_4","一部の[F2 01 03 01]『オタカラスポット』[F2 01 01 01]で
[F2 01 03 01]再度、アイテムが入手可能[F2 01 01 01]となります。","MSG_TUTORIAL_POWERSPOT_2_3_4",""
"MSG_TUTORIAL_POWERSPOT_2_4_0","アイテムが入手可能かどうかは
[F2 01 03 01]『オタカラスポットアイコン』[F2 01 01 01]を置いておくことで、","MSG_TUTORIAL_POWERSPOT_2_4_0",""
"MSG_TUTORIAL_POWERSPOT_2_4_1","確認することが可能です。","MSG_TUTORIAL_POWERSPOT_2_4_1",""
"MSG_TUTORIAL_POWERSPOT_2_4_2","『オタカラスポット』[F2 01 01 01]を有効に活用し
[F2 01 03 01]どんどんアイテムを入手していきましょう。","MSG_TUTORIAL_POWERSPOT_2_4_2",""
"MSG_TUTORIAL_POWERSPOT_1_0","迷宮内には[F2 01 03 01]様々なアイテム[F2 01 01 01]を
入手できる場所があります。","MSG_TUTORIAL_POWERSPOT_1_0",""
"MSG_TUTORIAL_POWERSPOT_1_2_0","最初の選択肢で
[F2 01 03 01]『警戒しながら探す』[F2 01 01 01]を選ぶと、","MSG_TUTORIAL_POWERSPOT_1_2_0",""
"MSG_TUTORIAL_POWERSPOT_1_2_1","最大４個[F2 01 01 01]までアイテムを入手することが可能で
戦闘が発生する危険度も低くなりますが、","MSG_TUTORIAL_POWERSPOT_1_2_1",""
"MSG_TUTORIAL_POWERSPOT_1_2_2","レアアイテムが出現する確率は低くなります。","MSG_TUTORIAL_POWERSPOT_1_2_2",""
"MSG_TUTORIAL_POWERSPOT_1_3_0","最初の選択肢で
[F2 01 03 01]『採取に専念する』[F2 01 01 01]を選ぶと、","MSG_TUTORIAL_POWERSPOT_1_3_0",""
"MSG_TUTORIAL_POWERSPOT_1_3_1","最大５個[F2 01 01 01]までアイテムを入手することが可能で
[F2 01 03 01]レアアイテムが出現する確率も高くなります[F2 01 01 01]が、","MSG_TUTORIAL_POWERSPOT_1_3_1",""
"MSG_TUTORIAL_POWERSPOT_1_3_2","戦闘が発生する危険度も高くなります。","MSG_TUTORIAL_POWERSPOT_1_3_2",""
"MSG_TUTORIAL_POWERSPOT_1_3_3","それぞれ入手回数は限られていますが
[F2 01 03 01]一度迷宮から出る[F2 01 01 01]と、","MSG_TUTORIAL_POWERSPOT_1_3_3",""
"MSG_TUTORIAL_POWERSPOT_1_3_4","一部の場所で
[F2 01 03 01]再度、アイテムが入手可能[F2 01 01 01]となります。","MSG_TUTORIAL_POWERSPOT_1_3_4",""
"MSG_TUTORIAL_POWERSPOT_1_4_0","アイテムが入手可能かどうかは
[F2 01 03 01]専用のアイコン[F2 01 01 01]を置いておくことで、","MSG_TUTORIAL_POWERSPOT_1_4_0",""
"MSG_TUTORIAL_POWERSPOT_1_4_1","確認することが可能です。","MSG_TUTORIAL_POWERSPOT_1_4_1",""
"MSG_TUTORIAL_POWERSPOT_1_4_2","利用可能な場合は積極的に活用し
[F2 01 03 01]どんどんアイテムを入手していきましょう。","MSG_TUTORIAL_POWERSPOT_1_4_2",""
