"source","target","id","developer_comments"
"text_000_0","模拟店空窗期","text_000_0","机翻辅助：

模拟店空窗期

模拟店空白"
"text_001_0","展示会空窗期","text_001_0","机翻辅助：

展示会空窗期

节目空白"
"text_002_0","美食广场空窗期","text_002_0","机翻辅助：

美食广场空窗期

罩面坯料

食物和空白"
"text_003_0","模拟店0－1","text_003_0","机翻辅助：

模拟店0－1

模拟店0-1

模拟商店0-1"
"text_004_0","展示会0－2","text_004_0","机翻辅助：

展示会0－2

节目0-2"
"text_005_0","美食广场0－3","text_005_0","机翻辅助：

美食广场0－3

食品大衣0-3

美食街0-3"
"text_006_0","模拟店1－1","text_006_0","机翻辅助：

模拟店1－1

模拟店1-1"
"text_007_0","展示会1－2","text_007_0","机翻辅助：

展示会1－2

节目1-2"
"text_008_0","美食广场1－3","text_008_0","机翻辅助：

美食广场1－3

食品大衣1-3

美食街1-3"
"text_009_0","模拟店2－1","text_009_0","机翻辅助：

模拟店2－1

模拟店2-1

模拟商店2-1"
"text_010_0","展示会2－2","text_010_0","机翻辅助：

展示会2－2

节目2-2"
"text_011_0","美食广场2－3","text_011_0","机翻辅助：

美食广场2－3

食品大衣2-3

美食街2-3"
"text_012_0","模拟店3－1","text_012_0","机翻辅助：

模拟店3－1

模拟店3-1"
"text_013_0","展示会3－2","text_013_0","机翻辅助：

展示会3－2

节目3-2"
"text_014_0","美食广场3－3","text_014_0","机翻辅助：

美食广场3－3

食品大衣3-3

美食街3-3"
"text_015_0","模拟店4－1","text_015_0","机翻辅助：

模拟店4－1

模拟店4-1

模拟商店4-1"
"text_016_0","展示会4－2","text_016_0","机翻辅助：

展示会4－2

节目4-2"
"text_017_0","美食广场4－3","text_017_0","机翻辅助：

美食广场4－3

食品大衣4-3

美食街4-3"
"text_018_0","模拟店5－1","text_018_0","机翻辅助：

模拟店5－1

模拟店5-1"
"text_019_0","展示会5－2","text_019_0","机翻辅助：

展示会5－2

节目5-2"
"text_020_0","美食广场5－3","text_020_0","机翻辅助：

美食广场5－3

食品大衣5-3

美食街5-3"
"text_021_0","模拟店6－1","text_021_0","机翻辅助：

模拟店6－1

模拟店6-1"
"text_022_0","展示会6－2","text_022_0","机翻辅助：

展示会6－2

节目6-2"
"text_023_0","美食广场6－3","text_023_0","机翻辅助：

美食广场6－3

食品大衣6-3

美食街6-3"
"text_024_0","模拟店7－1","text_024_0","机翻辅助：

模拟店7－1

模拟店7-1"
"text_025_0","展示会7－2","text_025_0","机翻辅助：

展示会7－2

节目7-2"
"text_026_0","美食广场7－3","text_026_0","机翻辅助：

美食广场7－3

食品大衣7-3

美食街7-3"
"text_027_0","模拟店8－1","text_027_0","机翻辅助：

模拟店8－1

模拟店8-1"
"text_028_0","展示会8－2","text_028_0","机翻辅助：

展示会8－2

节目8-2"
"text_029_0","美食广场8－3","text_029_0","机翻辅助：

美食广场8－3

食品大衣8-3

美食街8-3"
"text_030_0","模拟店9－1","text_030_0","机翻辅助：

模拟店9－1

模拟店9-1"
"text_031_0","展示会9－2","text_031_0","机翻辅助：

展示会9－2

节目9-2"
"text_032_0","美食广场9－3","text_032_0","机翻辅助：

美食广场9－3

食品大衣9-3

美食街9-3"
"text_033_0","模拟店10－1","text_033_0","机翻辅助：

模拟店10－1

模拟店10-1"
"text_034_0","展示会10－2","text_034_0","机翻辅助：

展示会10－2

节目10-2"
"text_035_0","美食广场10－3","text_035_0","机翻辅助：

美食广场10－3

食品大衣10-3

美食街10-3"
"text_036_0","模拟店11－1","text_036_0","机翻辅助：

模拟店11－1

模拟店11-1"
"text_037_0","展示会11－2","text_037_0","机翻辅助：

展示会11－2

节目11-2"
"text_038_0","美食广场11－3","text_038_0","机翻辅助：

美食广场11－3

食品大衣11-3

美食街11-3"
