"source","target","id","developer_comments"
"IP_EXCESS_YESNO_0","是的。","IP_EXCESS_YESNO_0","机翻辅助：

好的。

是的

是"
"IP_EXCESS_YESNO_1","不是","IP_EXCESS_YESNO_1","机翻辅助：

不。

否

没有"
"IP_EXCESS_ITEM_0","＞選択されたアイテムを捨てます。
　よろしいですか？","IP_EXCESS_ITEM_0",""
"IP_EXCESS_PERSONA_0","＞『[F2 01 02 01][F2 44 01 01][F2 01 01 01]』を消滅させます。
　よろしいですか?","IP_EXCESS_PERSONA_0",""
"IP_EXCESS_PERSONA_BUSY_0","＞『[F2 01 02 01][F2 44 01 01][F2 01 01 01]』を消滅させます。
　装備中の人格面具ですが、
　よろしいですか？","IP_EXCESS_PERSONA_BUSY_0",""
"IP_EXCESS_PERSONA_END_0","＞人格面具『[F2 01 02 01][F2 44 01 01][F2 01 01 01]』が
　意識から消え去った。","IP_EXCESS_PERSONA_END_0",""
"IP_EXCESS_PERSONA_MULTI_0","＞選択された人格面具を消滅させます。
　よろしいですか？","IP_EXCESS_PERSONA_MULTI_0",""
"IP_EXCESS_PERSONA_BUSY_M_0","＞選択された人格面具を消滅させます。
　装備中の人格面具が含まれていますが
　よろしいですか？","IP_EXCESS_PERSONA_BUSY_M_0",""
"IP_EXCESS_PERSONA_END_MU_0","＞選択された人格面具が
　意識から消え去った。","IP_EXCESS_PERSONA_END_MU_0",""
"IP_EXCESS_HELP_0","これ以上人格面具を所持できません。
消滅させる人格面具を選んでください。","IP_EXCESS_HELP_0",""
"IP_EXCESS_CANT_DELETE_DL_0","无法舍弃的DLC物品。","IP_EXCESS_CANT_DELETE_DL_0",""
