"source","target","id","developer_comments"
"BTL_MES_H121_068_001_0","副首领大人的防御力下降了
。下降幅度大到令人不安。","BTL_MES_H121_068_001_0","机翻辅助：

副首领大人的防御力下降了
。下降幅度大到令人不安。

副队长的防御力下降了
。不安的下降状态。

副领导的防御力下降了。降到令人不安的程度。"
"BTL_MES_H121_068_002_0","副首领大人的防御力下降了
。","BTL_MES_H121_068_002_0","机翻辅助：

副首领大人的防御力下降了
。

副领导的防御力
下降了呢……

副队长的防御力
下降了呢……"
"BTL_MES_H121_068_003_0","花村阳介大人的防御力下降了
。下降幅度大到令人失望。","BTL_MES_H121_068_003_0","机翻辅助：

花村阳介大人的防御力下降了
。下降幅度大到令人失望。

花村阳介先生的防御力下降了。
令人失望……"
"BTL_MES_H121_068_004_0","里中千枝大人的防御力下降了
。下降幅度大到弹个额头就昏倒。","BTL_MES_H121_068_004_0","机翻辅助：

里中千枝大人的防御力下降了
。下降幅度大到弹个额头就昏倒。

里中千枝大人的防御力下降了。
用大头针闷绝的程度……

里中千枝小姐的防御力下降了。
因为粉身碎骨几乎窒息……"
"BTL_MES_H121_068_005_0","天城雪子大人的防御力下降了
。下降幅度大到不能掉以轻心。","BTL_MES_H121_068_005_0","机翻辅助：

天城雪子大人的防御力下降了
。下降幅度大到不能掉以轻心。

天城雪子大人的防御力下降了……
不能大意……

天城雪子的防御力下降了……
已经到了不能掉以轻心的地步……"
"BTL_MES_H121_068_007_0","巽完二大人的防御力下降了
。下降幅度大到跌倒就会翘辫子。","BTL_MES_H121_068_007_0","机翻辅助：

巽完二大人的防御力下降了
。下降幅度大到跌倒就会翘辫子。

巽完二大人的防御力下降了。
摔倒的话会变得扑通扑通的……

巽完二先生的防御力下降了。摔了一跤就会全身瘫软……"
"BTL_MES_H121_068_008_0","白钟直斗大人的防御力下降了
。是的。确实如此。","BTL_MES_H121_068_008_0","机翻辅助：

白钟直斗大人的防御力下降了
。是的。确实如此。

白钟直斗的防御力下降了。是的。确实。


白钟直斗大人的防御力下降了。嗯。确实。"
"BTL_MES_H121_068_009_0","小熊大人的防御力下降了
。下降幅度大到和小熊无毛状态差不多。","BTL_MES_H121_068_009_0","机翻辅助：

小熊大人的防御力下降了
。下降幅度大到和小熊无毛状态差不多。

小熊的防御力下降了。
和没有熊毛的状态差不多……

小熊的防御力下降了。
和没有小熊毛的状态差不多……"
"BTL_MES_H121_068_010_0","岳羽由加莉大人的防御力下降了
。下降幅度大到令人不安。","BTL_MES_H121_068_010_0","机翻辅助：

岳羽由加莉大人的防御力下降了
。下降幅度大到令人不安。

岳羽由加莉大人的防御力下降了
那个已经到了让我不安的程度。

岳羽由加莉的防御力下降了。"
"BTL_MES_H121_068_011_0","伊织顺平大人的防御力下降了
。只要受到一点攻击就会……","BTL_MES_H121_068_011_0","机翻辅助：

伊织顺平大人的防御力下降了
。只要受到一点攻击就会……

伊织顺平大人的防御力下降了。
如果现在受到真正的攻击……

伊织顺平先生的防御力下降了。
如果现在受到攻击……"
"BTL_MES_H121_068_012_0","真田明彦大人的防御力下降了
。请小心。要当心。","BTL_MES_H121_068_012_0","机翻辅助：

真田明彦大人的防御力下降了
。请小心。要当心。

真田明彦先生的防御力下降了。请注意。


真田明彦先生的防御力下降了。请小心。"
"BTL_MES_H121_068_013_0","桐条美鹤大人的防御力下降了
。可能会受到无法乐观看待的伤害……","BTL_MES_H121_068_013_0","机翻辅助：

桐条美鹤大人的防御力下降了
。可能会受到无法乐观看待的伤害……

桐条美鹤的防御力下降了。
可能会受到无法乐观的伤害……

桐条美鹤大人的防御力下降了。
可能会受到不容乐观的打击……"
