"source","target","id","developer_comments"
"BTL_MES_011_001_0","那么，就来一决胜负吧……
让大家见识一下我们的力量！","BTL_MES_011_001_0","机翻辅助：

那么，就来一决胜负吧……
让大家见识一下我们的力量！

那么，这里是一份……
要展示我们的力量吗！

那，这里是一丁……
让大家看看我们的力量吗！"
"BTL_MES_011_002_0","＜只闻其声＞好！
伊织顺平，拿出真本事吧！","BTL_MES_011_002_0","机翻辅助：

＜只闻其声＞好！
伊织顺平，拿出真本事吧！

＜只有声音＞喂！
伊织顺平，我会认真去的！

<只有声音> oh ！伊织顺平，我是认真的！"
"BTL_MES_011_003_0","呃……F.O.E？
现、现在还是算了吧，嗯。","BTL_MES_011_003_0","机翻辅助：

呃……F.O.E？
现、现在还是算了吧，嗯。

喂……F.O.E先生！？现在就停止吧，嗯。


地……F.O.E先生！？好，现在就停止吧，嗯。"
"BTL_MES_011_004_0","＜只闻其声＞没问题！
不要逃跑，要勇敢地撤退","BTL_MES_011_004_0","机翻辅助：

＜只闻其声＞没问题！
不要逃跑，要勇敢地撤退

＜只有声音＞没有异议！
不要逃避，要有勇气撤退

<只有声音>没有异议！不是逃跑，而是有勇气的撤退"
"BTL_MES_011_005_0","哦！
现在的我们，一定可以的！","BTL_MES_011_005_0","机翻辅助：

哦！
现在的我们，一定可以的！

是啊！
如果是现在的我们，会很受欢迎的！

是啊！如果是现在的我们，一定行！"
"BTL_MES_011_006_0","哦，发现稀有角色！
收下吧！","BTL_MES_011_006_0","机翻辅助：

哦，发现稀有角色！
收下吧！

哦，发现稀有角色！？
收到了吗！

啊，发现稀有角色！？
您要吗？"
"BTL_MES_011_007_0","＜静音＞哦，机会来了？
轮到我出场了！","BTL_MES_011_007_0","机翻辅助：

＜静音＞哦，机会来了？
轮到我出场了！

“只有声音”哦，机会来了吗？
这里是我们出场的地方啊！

“只有声音”哦，机会来了？
这里轮到我出场了！"
"BTL_MES_011_008_0","＜语音＞收到，导航！","BTL_MES_011_008_0","机翻辅助：

＜语音＞收到，导航！

“只有声音”是rajar，导航！

<只有声音>是拉杰，导航！"
"BTL_MES_011_009_0","＜静音＞没问题，理世仔！","BTL_MES_011_009_0","机翻辅助：

＜静音＞没问题，理世仔！

＜只有声音＞一切都好，理世！

“只有声音”啊，理世！"
"BTL_MES_011_010_0","＜静音＞好耶！
了解，风花！","BTL_MES_011_010_0","机翻辅助：

＜静音＞好耶！
了解，风花！

＜只有声音＞喂！
了解了，风花！

“只有声音”啊！
我知道了，风花！"
"BTL_MES_011_011_0","呃，真的假的……
这家伙好强……","BTL_MES_011_011_0","机翻辅助：

呃，真的假的……
这家伙好强……

啊，真的吗……
这家伙很强……

啊，真的吗……
这家伙，厉害……"
"BTL_MES_011_012_0","＜静音＞嗯，也可以选择逃跑吧……
怎么办？","BTL_MES_011_012_0","机翻辅助：

＜静音＞嗯，也可以选择逃跑吧……
怎么办？

“只有声音”嘛，逃跑也是有可能的啊……
怎么办呢？

“只有声音”啊，逃也是有可能的……
怎么办？"
"BTL_MES_011_013_0","喂，是没见过的家伙耶？
呃，弱点是……啊。","BTL_MES_011_013_0","机翻辅助：

喂，是没见过的家伙耶？
呃，弱点是……啊。

喂，没见过的家伙啊？
嗯，弱点是。

喂，我没见过。
那个，弱点是……啪。"
"BTL_MES_011_014_0","＜静音＞好！来多方尝试吧！","BTL_MES_011_014_0","机翻辅助：

＜静音＞好！来多方尝试吧！

<只有声音>牛！要尝试各种各样的东西吗！

“只有声音”牛！要尝试各种各样的方法吗？"
"BTL_MES_011_015_0","好，放马过来！","BTL_MES_011_015_0","机翻辅助：

好，放马过来！

牛，快打过来！

牛，打过来！"
"BTL_MES_011_016_0","＜静音＞好，交给我吧！","BTL_MES_011_016_0","机翻辅助：

＜静音＞好，交给我吧！

好了，交给我吧！

“只有声音”好了，交给我吧！"
"BTL_MES_011_017_0","看好了，我大、显、身、手！
一口气上吧！","BTL_MES_011_017_0","机翻辅助：

看好了，我大、显、身、手！
一口气上吧！

看啊，我的大·活·跃！
一气呵成！

看，我的大·活·跃！
一口气去！"
"BTL_MES_011_018_0","＜静音＞小喽啰给我闪边去！","BTL_MES_011_018_0","机翻辅助：

＜静音＞小喽啰给我闪边去！

＜只有声音＞让Zako退后！

“只有声音”，请把座位退下！"
"BTL_MES_011_019_0","咦！？
暗影变身了！？","BTL_MES_011_019_0","机翻辅助：

咦！？
暗影变身了！？

啊！？
暗影变了！？

伊`灬！？
暗影变了！？"
"BTL_MES_011_020_0","＜静音＞糟了，怎么办……？","BTL_MES_011_020_0","机翻辅助：

＜静音＞糟了，怎么办……？

<只有声音>糟了，怎么办……？

“只有声音”不行，怎么办……？"
"BTL_MES_011_021_0","＜静音＞喂喂，这下大危机了啊……","BTL_MES_011_021_0","机翻辅助：

＜静音＞喂喂，这下大危机了啊……

喂喂，这不是大危机吗……

<只有声音>喂喂，这不是大危机吗……"
"BTL_MES_011_022_0","一直被压着打……
这样下去不妙啊。","BTL_MES_011_022_0","机翻辅助：

一直被压着打……
这样下去不妙啊。

不是一直被推着吗……
这样下去可糟了

不是一直被推着吗……再这样下去可不行啊"
"BTL_MES_011_023_0","＜静音＞呜咿，好难……
只能想办法大逆转了。","BTL_MES_011_023_0","机翻辅助：

＜静音＞呜咿，好难……
只能想办法大逆转了。

<只有声音>嗯，二人组……
大逆转，只能瞄准了

<只有声音>呜呜呜，咔嚓……大逆转，只能瞄准了"
"BTL_MES_011_024_0","＜静音＞喂，没事吧！？
可恶，得赶快帮她回复……","BTL_MES_011_024_0","机翻辅助：

＜静音＞喂，没事吧！？
可恶，得赶快帮她回复……

喂，没事吧！？
我说，不要恢复……

“只有声音”喂，没事吧！？
琦琦秀恢复得很好……"
"BTL_MES_011_025_0","＜静音＞呜哦，被干掉了……
得先治好那个才行。","BTL_MES_011_025_0","机翻辅助：

＜静音＞呜哦，被干掉了……
得先治好那个才行。

<只有声音>鱼，被打败了……
首先是那个治不好

“只有声音”嗯，被打了……
首先要治好那个"
"BTL_MES_011_026_0","＜静音＞振作点，花村！
我马上帮你治疗！","BTL_MES_011_026_0","机翻辅助：

＜静音＞振作点，花村！
我马上帮你治疗！

＜只有声音＞振作点，花村！
我会马上治好的！

<只有声音>振作起来，花村！我会马上治好你的！"
"BTL_MES_011_027_0","＜静音＞千枝妹惨了！
我得想想办法！","BTL_MES_011_027_0","机翻辅助：

＜静音＞千枝妹惨了！
我得想想办法！

千枝酱真糟糕！
我们得想办法！

“只有声音”千枝很厉害！我得想点办法！"
"BTL_MES_011_028_0","＜静音＞天城姐，没事吧！？
可恶，竟敢干掉四期生！","BTL_MES_011_028_0","机翻辅助：

＜静音＞天城姐，没事吧！？
可恶，竟敢干掉四期生！

天城桑，你没事吧！？
库索，你竟然要尤奇！

“只有声音”天城，你没事吧？？
可恶，居然有雪奇！"
"BTL_MES_011_030_0","＜语音＞喂，完二，你还活着吗～？
糟了，得快点去救他才行。","BTL_MES_011_030_0","机翻辅助：

＜语音＞喂，完二，你还活着吗～？
糟了，得快点去救他才行。

完二，你还活着吗？
糟了，我得快点救你

“只有声音”喂完二，你还活着吗？糟了，还不快点救我"
"BTL_MES_011_031_0","＜语音＞阿直，你没事吧！？
可恶，我得保护好你才行！","BTL_MES_011_031_0","机翻辅助：

＜语音＞阿直，你没事吧！？
可恶，我得保护好你才行！

“只有声音”啊，没事吧！？
可恶，我们必须保护！

“只有声音”的直治，你没事吧！？可恶，我必须保护你！"
"BTL_MES_011_032_0","＜语音＞呃，小熊陷入危机了！
振作点，你一定可以的！","BTL_MES_011_032_0","机翻辅助：

＜语音＞呃，小熊陷入危机了！
振作点，你一定可以的！

喂，小熊不是有危机吗！
打嗝打嗝，你能行！

“只有声音”啊，小熊陷入危机了！你一定能做到！"
"BTL_MES_011_033_0","＜语音＞由加莉，振作点！
可恶……得想想办法才行。","BTL_MES_011_033_0","机翻辅助：

＜语音＞由加莉，振作点！
可恶……得想想办法才行。

由加里奇，振作起来！
库索……我得想想办法

由加莉齐，振作起来！
可恶……不想点办法的话"
"BTL_MES_011_035_0","＜语音＞唔噢……真田，你振作点！
可恶，这下不妙了……","BTL_MES_011_035_0","机翻辅助：

＜语音＞唔噢……真田，你振作点！
可恶，这下不妙了……

“只有声音”嗯……真田桑，振作起来！
可恶，这可糟了……

<只有声音>鱼……真田，振作点！可恶，这可不行啊……"
"BTL_MES_011_036_0","＜语音＞桐条学姐，你没事吧！？
得想办法恢复才行……","BTL_MES_011_036_0","机翻辅助：

＜语音＞桐条学姐，你没事吧！？
得想办法恢复才行……

桐条前辈，没事吧！？
想办法恢复……

“只有声音”桐条前辈，你没事吧！？
怎么也恢复不了……"
"BTL_MES_011_038_0","＜语音＞埃癸斯陷入危机！
等一下，我这就去救你！","BTL_MES_011_038_0","机翻辅助：

＜语音＞埃癸斯陷入危机！
等一下，我这就去救你！

＜只有声音＞埃癸斯陷入危机！
等一下，我现在帮你！

<只有声音>埃癸斯危机！
等等，我现在就帮你！"
