"source","target","id","developer_comments"
"BTL_MES_012_001_0","这场战斗，我们绝对会赢！","BTL_MES_012_001_0","机翻辅助：

这场战斗，我们绝对会赢！

这场战斗，绝对会赢的！

这场战斗，我一定要赢！"
"BTL_MES_012_002_0","＜只闻其声＞求之不得，放马过来！","BTL_MES_012_002_0","机翻辅助：

＜只闻其声＞求之不得，放马过来！

<只有声音>希望的地方，来吧！

<只有声音>所愿，来吧！"
"BTL_MES_012_003_0","唔，是F.O.E吗
胜算很低……怎么办？","BTL_MES_012_003_0","机翻辅助：

唔，是F.O.E吗
胜算很低……怎么办？

唔，F.O.E.
胜算不大……怎么办？

嗯，F.O.E吗
胜算不大……怎么办？"
"BTL_MES_012_004_0","＜只闻其声＞嗯，也对……
撤退也是个办法。","BTL_MES_012_004_0","机翻辅助：

＜只闻其声＞嗯，也对……
撤退也是个办法。

“只有声音”嗯，是啊……
这里退也是一种方法吗

<只有声音>嗯，是啊……
这里是撤退的好办法吗"
"BTL_MES_012_005_0","现在的话，就算对手是F.O.E
应该也能赢。","BTL_MES_012_005_0","机翻辅助：

现在的话，就算对手是F.O.E
应该也能赢。

现在的话，即使是F.O.E对手
好像也能赢。

现在的话，即使是F.O.E对手也能赢。"
"BTL_MES_012_006_0","原来如此，暗影吗……
不能放过他。","BTL_MES_012_006_0","机翻辅助：

原来如此，暗影吗……
不能放过他。

原来如此，是稀有阴影啊……
没有办法错过啊。

原来如此，是稀有车道啊……没办法错过啊。"
"BTL_MES_012_007_0","＜只闻其声＞嗯，一定要解决掉！","BTL_MES_012_007_0","机翻辅助：

＜只闻其声＞嗯，一定要解决掉！

啊啊，一定要制止！

“只有声音”啊，一定要制止！"
"BTL_MES_012_008_0","＜语音＞了解了，导航！
交给我吧！","BTL_MES_012_008_0","机翻辅助：

＜语音＞了解了，导航！
交给我吧！

<只有声音>明白了，导航！
交给我吧！"
"BTL_MES_012_009_0","＜只闻其声＞了解，久慈川！
别松懈，上吧！","BTL_MES_012_009_0","机翻辅助：

＜只闻其声＞了解，久慈川！
别松懈，上吧！

“只有声音”明白了，久慈川！
不松懈地去！

“只有声音”明白了，久慈川！
不放松地去！"
"BTL_MES_012_010_0","＜只闻其声＞了解，山岸！
全力上吧！","BTL_MES_012_010_0","机翻辅助：

＜只闻其声＞了解，山岸！
全力上吧！

“只有声音”明白了，山岸！
全力以赴！

<只有声音>明白了，山岸！
全力以赴！"
"BTL_MES_012_011_0","这家伙是强敌呢……
热血沸腾啊！","BTL_MES_012_011_0","机翻辅助：

这家伙是强敌呢……
热血沸腾啊！

这家伙真是强敌啊……
血腥啊！

这家伙真是个劲敌啊……
热血沸腾！"
"BTL_MES_012_012_0","＜只闻其声＞没必要乱来
撤退也是作战的一环。","BTL_MES_012_012_0","机翻辅助：

＜只闻其声＞没必要乱来
撤退也是作战的一环。

<只有声音>没有必要胡闹
撤退也在作战中

“只有声音”没必要乱来
撤退也是作战之一"
"BTL_MES_012_013_0","第一次见到这家伙呢……
好，先找出弱点。","BTL_MES_012_013_0","机翻辅助：

第一次见到这家伙呢……
好，先找出弱点。

第一次看到的家伙啊……
好，首先要寻找弱点。

是第一次看到的家伙啊……好，先找出弱点。"
