"source","target","id","developer_comments"
"BTL_MES_015_001_0","不可输的战斗！","BTL_MES_015_001_0",""
"BTL_MES_015_002_0","＜只要声音＞一定要消灭掉！","BTL_MES_015_002_0",""
"BTL_MES_015_003_0","危险的 F.O.E 呢……","BTL_MES_015_003_0",""
"BTL_MES_015_004_0","＜只听到声音＞根据战力差异，
撤退是合适的。","BTL_MES_015_004_0",""
"BTL_MES_015_005_0","对手是F.O.E，
但胜率很高！","BTL_MES_015_005_0",""
"BTL_MES_015_006_0","稀有的暗影出现了！
请警惕逃跑！","BTL_MES_015_006_0",""
"BTL_MES_015_007_0","这是非常稀有的暗影呢。
我会击倒它。","BTL_MES_015_007_0",""
"BTL_MES_015_008_0","导航小姐，我知道了！","BTL_MES_015_008_0",""
"BTL_MES_015_009_0","李先生，收到了！","BTL_MES_015_009_0",""
"BTL_MES_015_010_0","风花小姐，收到。","BTL_MES_015_010_0",""
"BTL_MES_015_011_0","这可是相当强大的对手呢……","BTL_MES_015_011_0",""
"BTL_MES_015_012_0","只撤退吗？
还是要转入战斗？","BTL_MES_015_012_0",""
"BTL_MES_015_013_0","第一次遇到敌人！
收集弱点信息是明智之举！","BTL_MES_015_013_0",""
"BTL_MES_015_014_0","＜只听声音＞明白了。
开始收集信息。","BTL_MES_015_014_0",""
"BTL_MES_015_015_0","这样就没问题了。","BTL_MES_015_015_0",""
"BTL_MES_015_016_0","了解，
请放心交给我。","BTL_MES_015_016_0",""
"BTL_MES_015_017_0","我不会手下留情，
会迅速清理。","BTL_MES_015_017_0",""
"BTL_MES_015_018_0","＜只有声音＞开始歼灭。","BTL_MES_015_018_0",""
"BTL_MES_015_019_0","阴影发生了变化！","BTL_MES_015_019_0",""
"BTL_MES_015_020_0","＜只有声音＞我们正处于极度危险之中！","BTL_MES_015_020_0",""
"BTL_MES_015_021_0","这是紧急情况！","BTL_MES_015_021_0",""
"BTL_MES_015_022_0","非常危急的情况！
请指示！","BTL_MES_015_022_0",""
"BTL_MES_015_023_0","＜只有声音＞需要恢复和重整战线……
","BTL_MES_015_023_0",""
"BTL_MES_015_024_0","＜只有声音＞目前处于危险之中，
需要尽快进行治疗。","BTL_MES_015_024_0",""
"BTL_MES_015_025_0","＜只有声音＞紧急情况！
快点恢复！","BTL_MES_015_025_0",""
"BTL_MES_015_026_0","阳介先生遇到了困境，
请请求救援！","BTL_MES_015_026_0",""
"BTL_MES_015_027_0","＜只有声音＞千枝小姐很担心。
快点康复吧！","BTL_MES_015_027_0",""
"BTL_MES_015_028_0","雪子小姐很担心。
快点康复吧！","BTL_MES_015_028_0",""
"BTL_MES_015_030_0","完二先生遇到了危险，
请请求救援！","BTL_MES_015_030_0",""
"BTL_MES_015_031_0","<只有声音>直斗先生很担心。
快点康复！","BTL_MES_015_031_0",""
"BTL_MES_015_032_0","熊先生遇到了困境，
请请求救援！","BTL_MES_015_032_0",""
