"source","target","id","developer_comments"
"BTL_MES_026_001_0","这个敌人看起来很强大……","BTL_MES_026_001_0","机翻辅助：

这个敌人好像很难缠呢……

这个敌人看起来很厉害啊……"
"BTL_MES_026_002_0","祝愿大家身体健康。","BTL_MES_026_002_0","机翻辅助：

祝各位好运。

祝大家奋斗到底。

我祝愿大家奋斗到底。"
"BTL_MES_026_003_0","Ｆ．Ｏ．Ｅ……
这很危险呢……","BTL_MES_026_003_0","机翻辅助：

F·O·E……
这下危险了……

F.O.E……
这太危险了……

f.o.e……
这很危险啊……"
"BTL_MES_026_004_0","这样啊，我建议立即撤退。","BTL_MES_026_004_0","机翻辅助：

是啊，建议立刻撤退。

是啊，我建议你立即撤退。

是啊，我建议你立刻撤退。"
"BTL_MES_026_005_0","如果是这个F.O.E的话，
也许就能赢了呢。","BTL_MES_026_005_0","机翻辅助：

如果是这个F·O·E……
说不定已经赢了呢。

这个f.o.e的话……也许已经赢了。


如果是这个F.O.E的话……也许已经能赢了。"
"BTL_MES_026_006_0","敌人的防御很坚固。
也许需要考虑一些手段。","BTL_MES_026_006_0","机翻辅助：

敌人的防御很坚固。
最好想个办法。

敌人的防御很坚固。
考虑什么手段比较好。

敌人的防御很坚固。考虑一下什么手段比较好。"
"BTL_MES_026_007_0","请注意，
我将使用重大的技能。","BTL_MES_026_007_0","机翻辅助：

会使用大招哦。
请小心。

我会用大招的。
请注意哦。

会使用很大的技巧哦。请注意哦。"
"BTL_MES_026_008_0","敌人使用的物理攻击是个问题啊……
要注意不要掉以轻心。","BTL_MES_026_008_0","机翻辅助：

敌人使用的物理攻击是个问题呢……
不要疏忽大意。

问题是敌人使用的物理攻击……不要怠慢注意。


敌人使用的物理攻击是个问题。"
"BTL_MES_026_009_0","敌人使用的魔法攻击很棘手。
请注意我们的体力。","BTL_MES_026_009_0","机翻辅助：

敌人使用的魔法攻击很棘手呢。
请留意体力。

敌人使用的魔法攻击很麻烦。
请注意这边的体力。

敌人使用的魔法攻击很麻烦。请注意这边的体力。"
"BTL_MES_026_010_0","软弱时会变得暴躁的类型呢。
如果能打败它，就一口气解决吧。","BTL_MES_026_010_0","机翻辅助：

是虚弱时会乱来的类型呢。
能打倒的话就一口气解决吧。

是弱了就会胡闹的类型。
如果能打倒的话，就喘口气吧。

是一软弱就胡闹的类型呢。如果能打倒的话就喘一口气吧。"
"BTL_MES_026_011_0","哎呀……这是个罕见的敌人呢。","BTL_MES_026_011_0","机翻辅助：

哎呀……有稀奇的敌人呢。

啊……有很少见的敌人呢。

哎呀……有个罕见的敌人呢。"
"BTL_MES_026_012_0","罕见的敌人出现了呢。
这次可不能放过他。","BTL_MES_026_012_0","机翻辅助：

遇见稀有的敌人了呢。
这下子可不能放过它了。

遇到了罕见的敌人呢。
这个没办法错过吧。

见到了罕见的敌人呢。这个没有放过的办法吧。"
"BTL_MES_026_013_0","全体攻击的敌人呢……","BTL_MES_026_013_0","机翻辅助：

似乎是会全体攻击的敌人呢……

好像是拥有全体攻击的敌人……

就像拥有全体攻击的敌人……"
"BTL_MES_026_014_0","全体攻击好像要使用了呢……","BTL_MES_026_014_0","机翻辅助：

似乎会使用全体攻击呢……

好像要使用全体攻击呢……

好像要使用全体攻击……"
"BTL_MES_026_015_0","这个敌人拥有范围攻击能力，
请不要忘记防御。","BTL_MES_026_015_0","机翻辅助：

这个敌人拥有范围攻击。
别忘了防御。

这个敌人有范围攻击。
不要忘记防御。

这个敌人有范围攻击。请不要忘记防御。"
"BTL_MES_026_016_0","大家要记得不要忘记防御，
看来要使用范围攻击了呢。","BTL_MES_026_016_0","机翻辅助：

似乎会使用范围攻击呢……
各位，别忘了防御。

似乎要使用范围攻击……
各位，请不要忘记防御。

好像使用范围攻击……各位，请不要忘记防御。"
"BTL_MES_026_017_0","这个敌人……好像会使用即死攻击……
","BTL_MES_026_017_0","机翻辅助：

这个敌人……
似乎会使用即死攻击……

这个敌人……
好像使用即死攻击……

这个敌人……
好像使用了当场死亡攻击……"
"BTL_MES_026_018_0","立即使用即死攻击呢……
确实是个可怕的敌人。","BTL_MES_026_018_0","机翻辅助：

似乎会使用即死攻击呢……
的确是可怕的敌人。

好像是使用当场死亡攻击……
确实是可怕的敌人啊。

使用即死攻击吧……的确是个可怕的敌人。"
"BTL_MES_026_019_0","现在属性攻击是没有意义的，
请集中精力进行物理攻击。","BTL_MES_026_019_0","机翻辅助：

现在使用属性攻击没有意义。
请集中于物理攻击。

现在属性攻击是无意义的。
请集中精力进行物理攻击。

现在属性攻击没有意义。请集中精力进行物理攻击。"
"BTL_MES_026_020_0","没错，
属性攻击没有效果。","BTL_MES_026_020_0","机翻辅助：

正是如此。
属性攻击没有效果。

没错。
属性攻击没有效果。

正是如此。属性攻击没有效果。"
"BTL_MES_026_021_0","接下来会有一次大规模的攻击。","BTL_MES_026_021_0","机翻辅助：

接下来会有大攻击哦。

下次会有很大的攻击哦。

接下来，会有很大的攻击。"
"BTL_MES_026_022_0","最好是做好防御。","BTL_MES_026_022_0","机翻辅助：

还是确实防御比较好吧。

还是好好防御比较好。

我觉得好好防御比较好。"
"BTL_MES_026_023_0","这是一个强敌啊，
大家请小心。","BTL_MES_026_023_0","机翻辅助：

这……是强敌呢……
各位，请注意。

这是……强敌啊……
各位，请注意。

这是……强敌啊……请大家注意。"
"BTL_MES_026_024_0","看起来像是强敌呢……
各位，请注意。","BTL_MES_026_024_0","机翻辅助：

似乎是强敌呢……
各位，请注意。

好像是强敌呢……
请大家注意。

好像是强敌呢……请大家注意。"
"BTL_MES_026_025_0","没有数据的敌人……首先探查并收集信息可能是明智之举。
","BTL_MES_026_025_0","机翻辅助：

是资料上没有的敌人……
先试探收集情报才是上策。

这是数据中没有的敌人……
首先探索收集信息是上策吗。

没有数据的敌人……首先探查收集情报是上策吗？"
"BTL_MES_026_026_0","首先是收集信息。
您可以尝试各种方法。","BTL_MES_026_026_0","机翻辅助：

先收集情报呢。
多方尝试应该比较好。

首先是收集信息。
可以尝试各种各样的事情吗。

首先是收集信息。各种各样的尝试可以吗？"
"BTL_MES_026_027_0","看起来，
他们几乎可以被视为和大家一样的敌人。","BTL_MES_026_027_0","机翻辅助：

看来是和各位
几乎同等的敌人呢。

看样子，和大家几乎是同等地位的敌人。


看来是和大家差不多的敌人。"
"BTL_MES_026_028_0","几乎是同等水平的对手。
然而，不可掉以轻心。","BTL_MES_026_028_0","机翻辅助：

几乎是同等的对手呢。
话虽如此，大意不得。

几乎是同级别的对手。虽说如此，也不能掉以轻心。


几乎是同等级的对手啊。虽说如此，也不能疏忽大意。"
"BTL_MES_026_029_0","看起来是低级对手……
大家应该可以轻松击败他们。","BTL_MES_026_029_0","机翻辅助：

似乎是低阶的对手……
各位应该能轻松打倒。

看来是等级低的对手……
大家都可以轻松打倒。

好歹是低一级的对手……如果是大家的话，很轻松就能打倒。"
"BTL_MES_026_030_0","格下的对手……我认为危险很少。
","BTL_MES_026_030_0","机翻辅助：

似乎是低阶的对手……
危险应该不多。

低一级的对手……我觉得危险很小。


我觉得危险很小。"
"BTL_MES_026_031_0","敌人的态度发生了变化。
现在或许可以攻击他们的弱点了。","BTL_MES_026_031_0","机翻辅助：

敌人的样子改变了。
现在的话应该能攻击弱点。

敌人的样子变了。
如果是现在的话，弱点也会暴露吗。

敌人的样子变了。如果是现在的话，弱点也能捅出来。"
"BTL_MES_026_032_0","现在可能会攻击对方的弱点。
","BTL_MES_026_032_0","机翻辅助：

现在的话应该能攻击弱点。


我想如果是现在攻击弱点的事
可能。

如果是现在的话，我想也有可能抓住弱点。"
"BTL_MES_026_033_0","找不到逃生路线。
这里只能忍耐了吗……","BTL_MES_026_033_0","机翻辅助：

找不到逃脱路线。
只能请各位撑下去了……

找不到逃生路线。
这里只有忍耐了吗……

我找不到逃脱的路线。在这里只能忍耐了吧……"
"BTL_MES_026_034_0","如果是这样的话，
现在只能忍耐了。","BTL_MES_026_034_0","机翻辅助：

……既然如此，现在只能请他们忍耐了


……如果是这样的话，现在只能忍耐了。


如果是这样的话，现在只有忍耐了。"
"BTL_MES_026_035_0","F.O.E竟然来了…","BTL_MES_026_035_0","机翻辅助：

F·O·E居然来了……

f.o.e竟然会来……

F.O.E竟然来了……"
"BTL_MES_026_036_0","战局发生了变化，
请请求改变作战计划！","BTL_MES_026_036_0","机翻辅助：

战况改变了。
请变更作战计划！

战况变了。
请更改作战计划！

战况发生了变化。请变更作战计划！"
"BTL_MES_026_037_0","请注意剩余体力。","BTL_MES_026_037_0","机翻辅助：

请注意剩余体力。

请注意剩余的体力。"
"BTL_MES_026_038_0","有些人消耗体力很快，
请注意。","BTL_MES_026_038_0","机翻辅助：

有人的体力消耗得很激烈。
请注意。

有些人体力消耗很大。
请注意。

有的人体力消耗很大。请注意。"
"BTL_MES_026_039_0","花村先生的伤势很严重啊。","BTL_MES_026_039_0","机翻辅助：

花村大人的伤势很严重。

花村大人的伤害很严重呢。

花村先生的损失很严重。"
"BTL_MES_026_040_0","里中先生的体力已经到了危险的程度了，
要注意一下。","BTL_MES_026_040_0","机翻辅助：

里中大人的体力已经进入危险区域。
请注意。

里中大人的体力是危险区域。
请注意。

里中大人的体力很危险。请注意。"
"BTL_MES_026_041_0","天城大人的剩余体力，请注意。","BTL_MES_026_041_0","机翻辅助：

请注意天城大人的剩余体力。

请注意天城大人剩下的体力。"
"BTL_MES_026_043_0","巽的体力似乎只剩下很少了的样子……","BTL_MES_026_043_0","机翻辅助：

巽大人的体力所剩无几……

巽大人的体力，剩下的一点点的样子……

巽先生的体力似乎所剩无几……"
"BTL_MES_026_044_0","白钟大人……您的体力减少得太多了呢……","BTL_MES_026_044_0","机翻辅助：

白钟大人的体力减少太多……

白钟大人……体力太少了呢……

白钟先生……体力减少太多了呢……"
"BTL_MES_026_045_0","熊先生真是破破烂烂的呢……
这样下去很危险。","BTL_MES_026_045_0","机翻辅助：

小熊大人遍体鳞伤……
这样下去很危险。

小熊破破烂烂的……这样下去可危险了。


小熊大人真是破烂不堪啊。"
"BTL_MES_026_046_0","岳羽大人，这样下去可以吗？
看起来相当糟糕。","BTL_MES_026_046_0","机翻辅助：

岳羽大人，这样下去没问题吗？
情况相当不妙。

岳羽先生，就这样可以吗？
首先是这样。

岳羽大人，这样下去可以吗？好像相当难吃。"
"BTL_MES_026_047_0","这样下去，
伊织大人会受到伤害的。","BTL_MES_026_047_0","机翻辅助：

这样下去，伊织大人
会被干掉的。

这样下去的话，伊织大人会被打败的。


再这样下去，伊织大人就要被打败了。"
"BTL_MES_026_048_0","真田大人，看起来相当疲惫啊……
看起来相当辛苦的样子呢。","BTL_MES_026_048_0","机翻辅助：

真田大人的体力消耗相当多……
看起来很吃力。

真田先生，相当消耗着……
看起来相当辛苦的样子。

真田大人，相当消耗啊……看起来很辛苦的样子。"
"BTL_MES_026_049_0","请注意，
桐条殿的剩余体力已经所剩无几。","BTL_MES_026_049_0","机翻辅助：

请注意。
桐条大人的剩余体力所剩无几。

请注意。
桐条先生剩下的体力很少。

请注意。桐条大人剩下的体力不多了。"
"BTL_MES_026_051_0","请注意埃癸斯大人，
这样下去会倒下的。","BTL_MES_026_051_0","机翻辅助：

请注意埃癸斯大人。
这样下去会倒下的。

请注意灰尘。这样下去会倒下的。"
"BTL_MES_026_052_0","天田先生，这样下去很危险。","BTL_MES_026_052_0","机翻辅助：

天田大人，这样下去很危险。

天田大人，这样下去会很危险的。

天田先生，这样下去可危险了。"
"BTL_MES_026_053_0","请注意科洛玛鲁的体力。","BTL_MES_026_053_0","机翻辅助：

请注意虎狼丸大人的体力。"
"BTL_MES_026_054_0","荒垣大人的体力，让人担心呢。","BTL_MES_026_054_0","机翻辅助：

荒垣大人的体力令人担心。

真担心荒垣先生的体力啊。"
"BTL_MES_026_055_0","体力只剩下很少的人，
正在这里。","BTL_MES_026_055_0","机翻辅助：

有人
体力所剩无几。

有体力所剩无几的人。


体力所剩无几的人。"
"BTL_MES_026_056_0","请注意！
有严重受伤的人，请注意！","BTL_MES_026_056_0","机翻辅助：

请注意！
有人的伤势很严重。

请注意！
有伤害严重的人。

请注意！有受损严重的人。"
"BTL_MES_026_057_0","坂本大人……这样下去很危险呢……","BTL_MES_026_057_0","机翻辅助：

坂本大人……这样下去很危险……

坂本大人……这样下去很危险啊……

坂本先生……这样下去很危险啊……"
"BTL_MES_026_058_0","高卷先生的体力，请注意一下，这样下去可能会有危险。
","BTL_MES_026_058_0","机翻辅助：

请注意高卷大人的体力。
这样下去很危险。

请注意高卷大人的体力，这样下去很危险。


请注意高卷先生的体力。"
"BTL_MES_026_059_0","摩尔加纳，
这样下去会没问题吗……","BTL_MES_026_059_0","机翻辅助：

摩尔加纳
这样下去没问题吗……

摩尔加纳，
就这样没问题吗……

摩尔加纳，这样下去不要紧吧……"
"BTL_MES_026_060_0","喜多川先生的伤势看起来很严重。","BTL_MES_026_060_0","机翻辅助：

喜多川大人的伤势似乎很严重。

喜多川先生的损坏看起来很严重。

喜多川先生的损失好像很严重。"
"BTL_MES_026_061_0","新岛大人是否处于危险状态…","BTL_MES_026_061_0","机翻辅助：

新岛大人陷入危险状态……

新岛大人处于危险的状态……"
"BTL_MES_026_063_0","请注意奥村先生的健康。","BTL_MES_026_063_0","机翻辅助：

请留意奥村大人的体力。

请注意奥村先生的体力。

请注意奥村女士的体力。"
"BTL_MES_026_064_0","明智先生好像要倒下了，
你打算怎么办呢？","BTL_MES_026_064_0","机翻辅助：

明智大人好像快倒下了……
该怎么办呢？

明智先生快要倒下了……
怎么办呢？"
"BTL_MES_026_065_0","嗯……我认为首先应优先恢复体力。
","BTL_MES_026_065_0","机翻辅助：

这个嘛……首先应该
优先恢复体力吧。

是啊……我认为首先应该优先恢复体力。


是啊……首先应该优先恢复体力。"
"BTL_MES_026_066_0","哎呀……有人变成了石头…","BTL_MES_026_066_0","机翻辅助：

哎呀……有人变成石头了……

哎呀……有人变成了石头……

啊……有变成石头的人啊……"
"BTL_MES_026_067_0","有人受到了诅咒…","BTL_MES_026_067_0","机翻辅助：

有人中了诅咒……

有受到诅咒的人……

有人被诅咒了……"
"BTL_MES_026_068_0","受伤的人正在接受治疗…","BTL_MES_026_068_0","机翻辅助：

有人中毒了……

有人受了毒……"
"BTL_MES_026_069_0","睡着了呢……
这样下去很危险。","BTL_MES_026_069_0","机翻辅助：

有人睡着了……
这样下去很危险。

你睡着了啊……
这样下去会很危险的。

睡着了呢……这样下去可危险了。"
"BTL_MES_026_070_0","请注意有人感到混乱。
","BTL_MES_026_070_0","机翻辅助：

有人陷入混乱……
请留意。

有人很混乱。
请注意。

有些人很混乱。请注意。"
"BTL_MES_026_071_0","麻痹了的人在这里……他们能否正常行动呢……
","BTL_MES_026_071_0","机翻辅助：

有人麻痹了……
不知道能不能动……

有瘫痪的人……
能好好行动吗……

有人麻痹了……
能好好动吗……"
"BTL_MES_026_072_0","有人昏倒了…","BTL_MES_026_072_0","机翻辅助：

有人昏倒了……

有人晕过去了……"
"BTL_MES_026_073_0","有人受到了魔法封印…","BTL_MES_026_073_0","机翻辅助：

有人中了封魔……

有接受魔封的人……

有受到魔封的人……"
"BTL_MES_026_074_0","有些人被封印了力量…","BTL_MES_026_074_0","机翻辅助：

有人被封住了力量……

有被封印力量的人……"
"BTL_MES_026_075_0","有人被剥夺了速度…","BTL_MES_026_075_0","机翻辅助：

有人被封住了速度……

有人被封住了敏捷……

有被封锁了速度的人……"
"BTL_MES_026_076_0","你有应对的手段吗？
任其自由可能会很危险。","BTL_MES_026_076_0","机翻辅助：

有人有恢复手段吗？
放着不管很危险。

有人有恢复的方法吗？
放任不管很危险。

有人有恢复手段吗？放任不管是很危险的。"
"BTL_MES_026_077_0","有些敌人对物理攻击很脆弱。","BTL_MES_026_077_0","机翻辅助：

有敌人怕物理攻击。

有对物理很弱的敌人。

我有个对物理不擅长的敌人。"
"BTL_MES_026_078_0","火焰是一个弱点的敌人。","BTL_MES_026_078_0","机翻辅助：

有敌人怕火焰。

有火焰是弱点的敌人。

有个敌人的弱点是火焰。"
"BTL_MES_026_079_0","那个敌人好像弱点是冰冻。","BTL_MES_026_079_0","机翻辅助：

那个敌人怕冰冻。

那个敌人的弱点好像是结冰。"
"BTL_MES_026_080_0","疾风属性的敌人有弱点。","BTL_MES_026_080_0","机翻辅助：

有敌人怕疾风属性。

有疾风属性是弱点的敌人。

疾风属性有弱点的敌人。"
"BTL_MES_026_081_0","那个敌人的弱点是电击属性。","BTL_MES_026_081_0","机翻辅助：

那个敌人怕电击属性。

那个敌人的电击属性是弱点。"
"BTL_MES_026_082_0","如果要瞄准弱点的话，
核热属性是否有效呢……","BTL_MES_026_082_0","机翻辅助：

如果要攻击弱点
核热属性应该有效……

如果瞄准弱点
核热属性是否有效……

如果瞄准弱点的话，核热属性是否有效……"
"BTL_MES_026_083_0","那个敌人似乎对念动很弱。","BTL_MES_026_083_0","机翻辅助：

那个敌人怕念动。

那个敌人好像不善于行动。

那个敌人的念头很弱。"
"BTL_MES_026_084_0","祝福属性的敌人有弱点。","BTL_MES_026_084_0","机翻辅助：

有敌人怕祝福属性。

有祝福属性是弱点的敌人。

有祝福属性弱点的敌人。"
"BTL_MES_026_085_0","咒怨属性是某些敌人的弱点。","BTL_MES_026_085_0","机翻辅助：

有敌人怕咒怨属性。

有以诅咒属性为弱点的敌人。

有把咒怨属性作为弱点的敌人。"
"BTL_MES_026_086_0","那个敌人似乎不擅长物理属性的攻击呢……","BTL_MES_026_086_0","机翻辅助：

那个敌人怕物理属性……

那个敌人好像不擅长物理属性……"
"BTL_MES_026_087_0","那个敌人好像有火焰属性的弱点。","BTL_MES_026_087_0","机翻辅助：

那个敌人怕火焰属性。

那个敌人的弱点好像是火焰属性。

那个敌人的火焰属性好像是弱点。"
"BTL_MES_026_088_0","冰属性的话，看起来可以攻击到弱点。","BTL_MES_026_088_0","机翻辅助：

冰冻属性应该能攻击弱点。

如果是结冰属性的话，弱点会暴露出来。

如果是冰冻属性的话，弱点应该能突出来。"
"BTL_MES_026_089_0","如果是这个对手的话，疾风属性会有优势吧。","BTL_MES_026_089_0","机翻辅助：

这个对手的话，疾风属性应该有利。

这个对手的话疾风属性有利吗。

如果是这个对手的话，疾风属性是有利的。"
"BTL_MES_026_090_0","电击是弱点的敌人。","BTL_MES_026_090_0","机翻辅助：

有电击属性为弱点的敌人。

有电击是弱点的敌人。

有以电击为弱点的敌人。"
"BTL_MES_026_091_0","如果要攻击弱点的话，
我建议使用核热属性的技能。","BTL_MES_026_091_0","机翻辅助：

要攻击弱点的话，
我推荐核热属性的招式。

如果要戳弱点的话，推荐
核热属性的技能。

如果要攻击弱点的话，推荐
核热属性的技能。"
"BTL_MES_026_092_0","念动属性是弱点的敌人存在……","BTL_MES_026_092_0","机翻辅助：

有念动属性为弱点的敌人……

有个念动属性是弱点的敌人……

有念动属性弱点的敌人……"
"BTL_MES_026_093_0","祝福属性的技能你有吗？
还有一些对此较弱的敌人。","BTL_MES_026_093_0","机翻辅助：

您有祝福属性的招式吗？
有敌人对这属性很弱。

有祝福属性的技能吗？
而且还有弱小的敌人。

有祝福属性的技能吗？
而且有弱的敌人。"
"BTL_MES_026_094_0","那个敌人好像弱点是咒怨属性。","BTL_MES_026_094_0","机翻辅助：

那个敌人的弱点似乎是咒怨属性。

那个敌人的咒怨属性好像是弱点。

那个敌人的弱点好像是诅咒属性。"
"BTL_MES_026_095_0","那么这里就轮到哥哥出场了，
这样可以吗？","BTL_MES_026_095_0","机翻辅助：

那么，这里就轮到小哥出场了……
……这样可以吗？

那么这里是哥哥出场……
……这样可以吗？

那么，现在轮到哥哥出场了……
……这样可以吗？"
"BTL_MES_026_096_0","呵呵……如果知道了那个，
就等于赢了。","BTL_MES_026_096_0","机翻辅助：

呵呵……只要知道这点，
就等同于胜利了。

呵呵……如果知道了那就等于赢了。


呵呵……明白了就等于赢了。"
"BTL_MES_026_097_0","这就是原因。
花村先生，能给我们看看好地方吗？","BTL_MES_026_097_0","机翻辅助：

……就是这样。花村小姐，
要不要展现一下实力？

……就是这样。花村先生，
给你看看好的地方怎么样？

。花村大人，让我看看好的地方怎么样？"
"BTL_MES_026_098_0","原来如此。
里中大人，你听到了吗？","BTL_MES_026_098_0","机翻辅助：

……原来如此。
里中小姐，您听到了吗？

原来如此。
里中先生，听到了吗？

……原来如此。里中先生，听到了吗？"
"BTL_MES_026_099_0","这样说来……
就是说我是天城大人理想的伴侣吗？","BTL_MES_026_099_0","机翻辅助：

也就是说……
天城小姐是最适合的对手。

也就是说……天城大人的王牌对手……
是这样吗？

也就是说……是打给天城大人的对手吗？"
"BTL_MES_026_101_0","那么……或许对巽大人来说，
正是个合适的对象呢。","BTL_MES_026_101_0","机翻辅助：

哎呀……这样的话，
对巽小姐来说或许是个好对手呢。

哎呀……那对巽大人来说
也许是个很好的对手。

哎呀……如果是这样的话，也许对巽先生来说是最合适的对象。"
"BTL_MES_026_102_0","也许会看到白钟大人的大活跃呢。
","BTL_MES_026_102_0","机翻辅助：

说不定
可以看到白钟小姐大显身手呢。

说不定能看到白钟先生的大活跃呢。


说不定能看到白钟大人大显身手呢。"
"BTL_MES_026_103_0","那么，让我们为熊大人加油吧？
呵呵呵……","BTL_MES_026_103_0","机翻辅助：

那么，就请小熊先生加油吧？
呵呵呵……

那么，小熊大人加油吧？
呼啦呼啦……

那么，请小熊先生加油吧。
呵呵……"
"BTL_MES_026_104_0","看来这里是岳羽大人的出场时机。
","BTL_MES_026_104_0","机翻辅助：

看来，这里
轮到岳羽小姐出场了。

看来这里应该是岳羽大人出场的时候了。


看来这里是岳羽先生的出场。"
"BTL_MES_026_105_0","一定，如果是伊织大人的话，应该能够满足大家的期待……
","BTL_MES_026_105_0","机翻辅助：

如果是伊织小姐
一定可以回应大家的期待……

如果是伊织大人的话一定会不辜负大家的期待的……


如果是伊织大人的话，一定会回应大家的期待的……"
"BTL_MES_026_106_0","如果是这样的话…… 这里是真田大人吗？
","BTL_MES_026_106_0","机翻辅助：

这样的话……
这里就轮到真田小姐了吧？

这样的话……
这里是真田先生吗？

这里是真田先生吗？"
"BTL_MES_026_107_0","桐条先生的活跃，
我怀着诚挚的期待。","BTL_MES_026_107_0","机翻辅助：

我由衷期待
桐条小姐的活跃。

桐条先生的活跃
衷心期待着。

衷心期待桐条大人大展宏图。"
