"source","target","id","developer_comments"
"text_000_0","BLAN","text_000_0","机翻辅助：

BLAN

BLANK"
"text_002_0","史莱姆","text_002_0","机翻辅助：

史莱姆"
"text_003_0","天钿女","text_003_0","机翻辅助：

天钿女"
"text_004_0","恶灵军团","text_004_0","机翻辅助：

恶灵军团"
"text_005_0","欧赛","text_005_0","机翻辅助：

欧赛"
"text_006_0","邪恶霜精","text_006_0","机翻辅助：

邪恶霜精"
"text_007_0","单卡拉比","text_007_0","机翻辅助：

单卡拉比"
"text_008_0","式王子","text_008_0","机翻辅助：

式王子"
"text_010_0","阿珈席翁","text_010_0","机翻辅助：

阿珈席翁"
"text_011_0","欧若博司","text_011_0","机翻辅助：

欧若博司"
"text_012_0","杰克霜精","text_012_0","机翻辅助：

杰克霜精"
"text_013_0","花魄","text_013_0","机翻辅助：

花魄"
"text_014_0","杰克灯笼","text_014_0","机翻辅助：

杰克灯笼"
"text_015_0","狄丝","text_015_0","机翻辅助：

狄丝"
"text_016_0","兰达","text_016_0","机翻辅助：

兰达"
"text_017_0","灵怪","text_017_0","机翻辅助：

灵怪"
"text_018_0","斯尔特","text_018_0","机翻辅助：

斯尔特"
"text_019_0","摩陀","text_019_0","机翻辅助：

摩陀"
"text_020_0","克鲁波克鲁","text_020_0","机翻辅助：

克鲁波克鲁"
"text_021_0","妙音天女","text_021_0","机翻辅助：

妙音天女"
"text_022_0","高等皮克希","text_022_0","机翻辅助：

高等皮克希"
"text_023_0","甘伽","text_023_0","机翻辅助：

甘伽"
"text_024_0","帕尔瓦蒂","text_024_0","机翻辅助：

帕尔瓦蒂"
"text_025_0","菊理媛","text_025_0","机翻辅助：

菊理媛"
"text_026_0","诃梨帝母","text_026_0","机翻辅助：

诃梨帝母"
"text_027_0","兹兹米特尔","text_027_0","机翻辅助：

兹兹米特尔"
"text_028_0","斯卡哈","text_028_0","机翻辅助：

斯卡哈"
"text_029_0","母夜叉","text_029_0","机翻辅助：

母夜叉"
"text_030_0","缇坦妮雅","text_030_0","机翻辅助：

缇坦妮雅"
"text_031_0","蛇发女妖","text_031_0","机翻辅助：

蛇发女妖"
"text_032_0","加百列","text_032_0","机翻辅助：

加百列"
"text_033_0","丝卡蒂","text_033_0","机翻辅助：

丝卡蒂"
"text_034_0","巴比伦大淫妇","text_034_0","机翻辅助：

巴比伦大淫妇"
"text_035_0","吉祥天女","text_035_0","机翻辅助：

吉祥天女"
"text_036_0","奥伯隆","text_036_0","机翻辅助：

奥伯隆"
"text_037_0","霜精之王","text_037_0","机翻辅助：

霜精之王"
"text_038_0","瑟坦特","text_038_0","机翻辅助：

瑟坦特"
"text_039_0","梅兹奇。","text_039_0","机翻辅助：

梅兹奇。

梅兹基

梅祖"
"text_040_0","大国主","text_040_0","机翻辅助：

大国主"
"text_041_0","托特","text_041_0","机翻辅助：

托特"
"text_042_0","大山道满","text_042_0","机翻辅助：

大山道满

大山松实

大叶松"
"text_043_0","人面蝎","text_043_0","机翻辅助：

人面蝎"
"text_044_0","金固","text_044_0","机翻辅助：

金固"
"text_045_0","巴隆","text_045_0","机翻辅助：

巴隆"
"text_046_0","奥丁","text_046_0","机翻辅助：

奥丁"
"text_047_0","安祖","text_047_0","机翻辅助：

安祖"
"text_048_0","狮爷","text_048_0","机翻辅助：

狮爷"
"text_049_0","独角兽","text_049_0","机翻辅助：

独角兽"
"text_050_0","GODZILLA","text_050_0","机翻辅助：

GODZILLA

嘎吱嘎吱

五月"
"text_051_0","佛劳洛斯","text_051_0","机翻辅助：

佛劳洛斯"
"text_052_0","大僧正","text_052_0","机翻辅助：

大僧正"
"text_053_0","八幡神","text_053_0","机翻辅助：

八幡神"
"text_054_0","黄龙","text_054_0","机翻辅助：

黄龙"
"text_055_0","皮克希","text_055_0","机翻辅助：

皮克希"
"text_056_0","阿尔普","text_056_0","机翻辅助：

阿尔普"
"text_057_0","Moo·Shuboh","text_057_0","机翻辅助：

Moo·Shuboh

莫·肖博"
"text_058_0","QUEEN MAYBUE","text_058_0","机翻辅助：

QUEEN MAYBUE

QUEEN邮件

QUEEN mave"
"text_059_0","莲南希","text_059_0","机翻辅助：

莲南希"
"text_060_0","拉斐尔","text_060_0","机翻辅助：

拉斐尔"
"text_061_0","库柏勒","text_061_0","机翻辅助：

库柏勒"
"text_062_0","伊丝塔","text_062_0","机翻辅助：

伊丝塔"
"text_063_0","哪吒太子","text_063_0","机翻辅助：

哪吒太子"
"text_064_0","奇美拉","text_064_0","机翻辅助：

奇美拉"
"text_065_0","埃力格","text_065_0","机翻辅助：

埃力格"
"text_067_0","阿瑞斯","text_067_0","机翻辅助：

阿瑞斯"
"text_068_0","大御津濡","text_068_0","机翻辅助：

大御津濡"
"text_069_0","特里格拉夫","text_069_0","机翻辅助：

特里格拉夫"
"text_070_0","托尔","text_070_0","机翻辅助：

托尔"
"text_071_0","欧法希姆","text_071_0","机翻辅助：

欧法希姆

奥法尼姆

欧法尼姆"
"text_072_0","大元帅明王","text_072_0","机翻辅助：

大元帅明王"
"text_073_0","经津主","text_073_0","机翻辅助：

经津主"
"text_074_0","天使","text_074_0","机翻辅助：

天使"
"text_075_0","能天使","text_075_0","机翻辅助：

能天使"
"text_076_0","力天使","text_076_0","机翻辅助：

力天使"
"text_077_0","座天使","text_077_0","机翻辅助：

座天使"
"text_078_0","乌列尔","text_078_0","机翻辅助：

乌列尔"
"text_079_0","麦基洗德","text_079_0","机翻辅助：

麦基洗德"
"text_080_0","斯拉欧加","text_080_0","机翻辅助：

斯拉欧加"
"text_081_0","亚兹米","text_081_0","机翻辅助：

亚兹米

杏子

海葵"
"text_082_0","一本踏鞴","text_082_0","机翻辅助：

一本踏鞴"
"text_083_0","天蛾人","text_083_0","机翻辅助：

天蛾人"
"text_084_0","一言主","text_084_0","机翻辅助：

一言主"
"text_085_0","鞍马天狗","text_085_0","机翻辅助：

鞍马天狗"
"text_086_0","尼德霍格","text_086_0","机翻辅助：

尼德霍格"
"text_087_0","奈比洛斯","text_087_0","机翻辅助：

奈比洛斯"
"text_088_0","荒霸吐","text_088_0","机翻辅助：

荒霸吐"
"text_089_0","隐形鬼","text_089_0","机翻辅助：

隐形鬼"
"text_090_0","恩浦萨","text_090_0","机翻辅助：

恩浦萨"
"text_091_0","莱净","text_091_0","机翻辅助：

莱净

莱朱乌

来住"
"text_092_0","福尔图娜","text_092_0","机翻辅助：

福尔图娜"
"text_093_0","克洛托","text_093_0","机翻辅助：

克洛托"
"text_094_0","拉刻西斯","text_094_0","机翻辅助：

拉刻西斯"
"text_095_0","阿难陀","text_095_0","机翻辅助：

阿难陀"
"text_096_0","阿特罗波斯","text_096_0","机翻辅助：

阿特罗波斯"
"text_097_0","诺伦","text_097_0","机翻辅助：

诺伦"
"text_098_0","帕祖祖","text_098_0","机翻辅助：

帕祖祖"
"text_099_0","睡魔","text_099_0","机翻辅助：

睡魔"
"text_100_0","女武神","text_100_0","机翻辅助：

女武神"
"text_101_0","罗刹","text_101_0","机翻辅助：

罗刹"
"text_102_0","土蜘蛛","text_102_0","机翻辅助：

土蜘蛛

木薯

土鳖"
"text_103_0","鬼","text_103_0",""
"text_104_0","哈奴曼","text_104_0","机翻辅助：

哈奴曼"
"text_105_0","齐格飞","text_105_0","机翻辅助：

齐格飞"
"text_106_0","迦梨","text_106_0","机翻辅助：

迦梨"
"text_107_0","藏王权现","text_107_0","机翻辅助：

藏王权现"
"text_108_0","阴摩罗鬼","text_108_0","机翻辅助：

阴摩罗鬼"
"text_109_0","比利士","text_109_0","机翻辅助：

比利士"
"text_110_0","黄泉军","text_110_0","机翻辅助：

黄泉军"
"text_111_0","欧特鲁斯","text_111_0","机翻辅助：

欧特鲁斯"
"text_112_0","八房","text_112_0","机翻辅助：

八房"
"text_113_0","巴西利斯克","text_113_0","机翻辅助：

巴西利斯克

巴斯利斯克

预算风险"
"text_114_0","地狱天使","text_114_0","机翻辅助：

地狱天使"
"text_115_0","婆苏吉","text_115_0","机翻辅助：

婆苏吉"
"text_116_0","阿提斯","text_116_0","机翻辅助：

阿提斯"
"text_117_0","莫克伊","text_117_0","机翻辅助：

莫克伊"
"text_118_0","铎洱达尔","text_118_0","机翻辅助：

铎洱达尔

图尔达克

拖网"
"text_119_0","斗牛士","text_119_0","机翻辅助：

斗牛士"
"text_120_0","白骑士","text_120_0","机翻辅助：

白骑士"
"text_121_0","萨麦尔","text_121_0","机翻辅助：

萨麦尔"
"text_122_0","莫特","text_122_0","机翻辅助：

莫特"
"text_123_0","苍白骑士","text_123_0","机翻辅助：

苍白骑士"
"text_124_0","爱丽丝","text_124_0","机翻辅助：

爱丽丝"
"text_125_0","大黑天","text_125_0","机翻辅助：

大黑天"
"text_126_0","飞天","text_126_0","机翻辅助：

飞天"
"text_127_0","獬豸","text_127_0","机翻辅助：

獬豸"
"text_128_0","密特拉","text_128_0","机翻辅助：

密特拉"
"text_129_0","玄武","text_129_0","机翻辅助：

玄武"
"text_130_0","青龙","text_130_0","机翻辅助：

青龙"
"text_131_0","朱雀","text_131_0","机翻辅助：

朱雀"
"text_132_0","白虎","text_132_0","机翻辅助：

白虎"
"text_133_0","毗湿奴","text_133_0","机翻辅助：

毗湿奴"
"text_134_0","乌科巴克","text_134_0","机翻辅助：

乌科巴克"
"text_135_0","男梦魔","text_135_0","机翻辅助：

男梦魔"
"text_136_0","女梦魔","text_136_0","机翻辅助：

女梦魔"
"text_137_0","莉莉丝","text_137_0","机翻辅助：

莉莉丝"
"text_138_0","贝尔芬格","text_138_0","机翻辅助：

贝尔芬格"
"text_139_0","彼列","text_139_0","机翻辅助：

彼列"
"text_140_0","阿斯塔蒂","text_140_0","机翻辅助：

阿斯塔蒂

阿斯塔罗特"
"text_141_0","别西卜","text_141_0","机翻辅助：

别西卜"
"text_142_0","库夫林","text_142_0","机翻辅助：

库夫林"
"text_143_0","亚巴顿","text_143_0","机翻辅助：

亚巴顿"
"text_144_0","魔罗","text_144_0","机翻辅助：

魔罗"
"text_145_0","齐天大圣","text_145_0","机翻辅助：

齐天大圣"
"text_146_0","义经","text_146_0","机翻辅助：

义经"
"text_147_0","将门","text_147_0","机翻辅助：

将门"
"text_148_0","湿婆","text_148_0","机翻辅助：

湿婆"
"text_149_0","蚩尤","text_149_0","机翻辅助：

蚩尤"
"text_150_0","迦温","text_150_0","机翻辅助：

迦温"
"text_151_0","奴延","text_151_0","机翻辅助：

奴延"
"text_152_0","猫将军","text_152_0","机翻辅助：

猫将军"
"text_153_0","葛内舍","text_153_0","机翻辅助：

葛内舍"
"text_154_0","迦楼罗","text_154_0","机翻辅助：

迦楼罗"
"text_155_0","韦驮天","text_155_0","机翻辅助：

韦驮天"
"text_156_0","萨图尔努斯","text_156_0","机翻辅助：

萨图尔努斯"
"text_157_0","路西菲尔","text_157_0","机翻辅助：

路西菲尔"
"text_158_0","安德拉斯","text_158_0","机翻辅助：

安德拉斯"
"text_159_0","野槌","text_159_0","机翻辅助：

野槌"
"text_160_0","八岐大蛇","text_160_0","机翻辅助：

八岐大蛇"
"text_161_0","爱娜温","text_161_0","机翻辅助：

爱娜温"
"text_162_0","基力梅卡拉","text_162_0","机翻辅助：

基力梅卡拉"
"text_163_0","御社宫司神","text_163_0","机翻辅助：

御社宫司神"
"text_164_0","切尔诺伯格","text_164_0","机翻辅助：

切尔诺伯格"
"text_165_0","赛特","text_165_0","机翻辅助：

赛特"
"text_166_0","巴力西卜","text_166_0","机翻辅助：

巴力西卜"
"text_167_0","圣德芬","text_167_0","机翻辅助：

圣德芬"
"text_168_0","狗妖精","text_168_0","机翻辅助：

狗妖精"
