"source","target","id","developer_comments"
"ITEM_POINT_SEL_0","谨慎探索","ITEM_POINT_SEL_0","机翻辅助：

提高警觉寻找

一边警戒一边寻找

警惕地寻找"
"ITEM_POINT_SEL_1","专心采集","ITEM_POINT_SEL_1","机翻辅助：

专心采集"
"ITEM_POINT_SEL_2","放弃","ITEM_POINT_SEL_2","机翻辅助：

放弃"
"ITEM_POINT_FORCE_BTL_SEL_0","探索","ITEM_POINT_FORCE_BTL_SEL_0","机翻辅助：

寻找"
"ITEM_POINT_FORCE_BTL_SEL_1","放弃","ITEM_POINT_FORCE_BTL_SEL_1","机翻辅助：

放弃"
"SHORTCUT_SEL_0","通过","SHORTCUT_SEL_0","机翻辅助：

能通过

通过

经过"
"SHORTCUT_SEL_1","不通过","SHORTCUT_SEL_1","机翻辅助：

不能通过

不通

不通过"
"ENTRANCE_SEL_0","返回","ENTRANCE_SEL_0","机翻辅助：

返回"
"ENTRANCE_SEL_1","不返回","ENTRANCE_SEL_1","机翻辅助：

不回头

不回去

不回来"
"MSG_000_0","哦哦！发现藏宝地点！怎么办？要调查下吗？","MSG_000_0","机翻辅助：

哦哦！发现宝藏地点！
怎么办？要调查吗？

哦！发现宝物地点！
怎么办？调查，调查？

噢！发现宝藏！
怎么办？调查？"
"MSG_001_0","嗯！
不会给敌人任何机会！","MSG_001_0","机翻辅助：

嗯！
不能让敌人有机可乘！

嗯！
不会让敌人看到你的缺点！

嗯！不会让敌人看到空隙的！"
"MSG_002_0","了解！
放开手脚尽情探索吧！","MSG_002_0","机翻辅助：

了解！
不管三七二十一，先找再说！

明白！
不修边幅地寻找吧！

明白！
不管身份高低都要找！"
"MSG_003_0","毕竟可能也危险呢。
了解！","MSG_003_0","机翻辅助：

毕竟有危险嘛。
遵命！

也有危险。
拉杰！

也有危险啊。
Racher！"
"MSG_004_0","嗯……
这下就结束了吗？","MSG_004_0","机翻辅助：

呃……
这样就没了？

嗯……
到此结束？

呃……
这就结束了？"
"MSG_005_0","我收下喽！","MSG_005_0","机翻辅助：

收下啦！

我要吃了！

我收下了！"
"MSG_006_0","到手了到手了。","MSG_006_0","机翻辅助：

GetGet。

拿到了。

get get get。"
"MSG_007_0","很不错！","MSG_007_0","机翻辅助：

感觉不错！

感觉很好！"
"MSG_008_0","刚刚好危险啊——！
暂时先结束吧？","MSG_008_0","机翻辅助：

好险啊——！
还是收手吧？

没有啊！
结束吧？

夜之夜！
就结束吧？"
"MSG_009_0","好厉害啊！","MSG_009_0","机翻辅助：

很厉害嘛！

好厉害啊！"
"MSG_010_0","稀有物品诶！","MSG_010_0","机翻辅助：

好稀有！

这不是稀有嘛！

很稀有啊！"
"MSG_011_0","好厉害……","MSG_011_0","机翻辅助：

好猛……

好厉害……"
"MSG_012_0","哦，发现近路了！
要走这边吗？","MSG_012_0","机翻辅助：

哦，发现捷径了！
要走走看吗？

哦，走近路吧！
去看看？

啊，近道黑客！
去看看？"
"MSG_015_0","这边过不去啊……
虽然有点遗憾，放弃吧。","MSG_015_0","机翻辅助：

这边走不通啊……
虽然可惜，还是放弃吧。

我不能通过啊……
虽然很遗憾，但是放弃了。

这边不能通过吗……虽然很遗憾，但还是放弃吧。"
"MSG_018_0","感、感觉这里感觉不太对劲吧？
是不是有点危险？","MSG_018_0","机翻辅助：

这、这里是不是不太妙？
是不是有危险的气息？

喂，这里不糟糕吗？
不觉得很糟糕吗？

喂，这里有什么不对劲的地方吗？
不觉得不妙吗？"
"MSG_019_0","真、真的吗？
知道了……我调查看看。","MSG_019_0","机翻辅助：

真、真的吗？
知道了……调查一下吧。

哦，真的吗？
知道了……我去查一下。

真的吗？
知道了……调查一下吧。"
"MSG_020_0","嗯嗯，就这样吧！","MSG_020_0","机翻辅助：

嗯嗯，就这么办！

嗯嗯，就这样吧！

嗯嗯，就这么办吧！"
"MSG_021_0","太、太强了吧～
竟然有那種敌人，不妙啊……","MSG_021_0","机翻辅助：

好、好强～
没想到有那种敌人，不妙……

一、很强～
竟然有那样的敌人，真糟糕……

二、很强～有那样的敌人，真不妙……"
"MSG_022_0","嗯嗯？
感觉有暗影在附近……","MSG_022_0","机翻辅助：

唔唔？
总觉得暗影的气息好强……

姆姆？
总觉得暗影的气息很强……

姆姆？
总觉得暗影的气息很强烈……"
"MSG_023_0","好！小心点调查吧！","MSG_023_0","机翻辅助：

好！小心地调查吧！

好！小心调查！"
"MSG_024_0","诶，暂时这样就好吗？","MSG_024_0","机翻辅助：

哎呀，还是停手吧？

哎呀，让他停下来？

哎呀，要停下来吗？"
"MSG_025_0","吓我一跳……
怎么突然冒出来。","MSG_025_0","机翻辅助：

吓我一跳……
突然冒出来嘛。

吓了一跳……
突然出来了。

吓了一跳……突然冒出来的。"
"MSG_026_0","哦？要回电影院吗？","MSG_026_0","机翻辅助：

哦？要回电影院吗？

哦？回电影院？

您？回电影院？"
"MSG_027_0","！！哇呀！！","MSG_027_0","翻译匹配：EO1-3HD"
"speaker_里中 千枝","里中 千枝","speaker_里中 千枝","翻译匹配：PQ2"
