"source","target","id","developer_comments"
"ITEM_POINT_SEL_0","警惕地搜索","ITEM_POINT_SEL_0",""
"ITEM_POINT_SEL_1","专注于采取行动。","ITEM_POINT_SEL_1",""
"ITEM_POINT_SEL_2","停止","ITEM_POINT_SEL_2",""
"ITEM_POINT_FORCE_BTL_SEL_0","寻找","ITEM_POINT_FORCE_BTL_SEL_0",""
"ITEM_POINT_FORCE_BTL_SEL_1","停止","ITEM_POINT_FORCE_BTL_SEL_1",""
"SHORTCUT_SEL_0","通る -","SHORTCUT_SEL_0",""
"SHORTCUT_SEL_1","通不过","SHORTCUT_SEL_1",""
"ENTRANCE_SEL_0","返回","ENTRANCE_SEL_0",""
"ENTRANCE_SEL_1","不会回来","ENTRANCE_SEL_1",""
"ZABE_MSG_005_0","还可以。","ZABE_MSG_005_0",""
"THEO_MSG_005_0","做得好。","THEO_MSG_005_0",""
"ZABE_MSG_006_0","哎呀。","ZABE_MSG_006_0",""
"THEO_MSG_006_0","状态不错。","THEO_MSG_006_0",""
"ZABE_MSG_007_0","哎呀，嘿。","ZABE_MSG_007_0",""
"THEO_MSG_007_0","这真是相当的……","THEO_MSG_007_0",""
"ZABE_MSG_009_0","太棒了！","ZABE_MSG_009_0",""
"ZABE_MSG_010_0","哦、哦！！","ZABE_MSG_010_0",""
"THEO_MSG_010_0","太棒了！","THEO_MSG_010_0",""
"ZABE_MSG_011_0","哎呀，稀有物品！","ZABE_MSG_011_0",""
"THEO_MSG_011_0","这是稀有物品！","THEO_MSG_011_0",""
"MSG_027_0","把握！！","MSG_027_0",""
"ZABE_MSG_027_0","把握！！","ZABE_MSG_027_0",""
"THEO_MSG_027_0","把握！！","THEO_MSG_027_0",""
"speaker_エリザベス","伊丽莎白","speaker_エリザベス",""
