"source","target","id","developer_comments"
"ITEM_POINT_SEL_0","警惕地搜索","ITEM_POINT_SEL_0",""
"ITEM_POINT_SEL_1","专注于采取行动","ITEM_POINT_SEL_1",""
"ITEM_POINT_SEL_2","停止","ITEM_POINT_SEL_2",""
"ITEM_POINT_FORCE_BTL_SEL_0","寻找","ITEM_POINT_FORCE_BTL_SEL_0",""
"ITEM_POINT_FORCE_BTL_SEL_1","停止","ITEM_POINT_FORCE_BTL_SEL_1",""
"SHORTCUT_SEL_0","通る","SHORTCUT_SEL_0",""
"SHORTCUT_SEL_1","通不过","SHORTCUT_SEL_1",""
"ENTRANCE_SEL_0","返回","ENTRANCE_SEL_0",""
"ENTRANCE_SEL_1","不会回来","ENTRANCE_SEL_1",""
"MSG_000_0","这个地方看起来像是宝藏点。
要尝试采集一下吗？","MSG_000_0",""
"MSG_001_0","了解！
注意周围的人！","MSG_001_0",""
"MSG_002_0","明白了！
就是一心一意！","MSG_002_0",""
"MSG_003_0","是的，我明白了。
因为也存在危险。","MSG_003_0",""
"MSG_004_0","好像什么也没有了。
辛苦了。","MSG_004_0",""
"MSG_005_0","哇～！","MSG_005_0",""
"MSG_006_0","你觉得怎么样？","MSG_006_0",""
"MSG_007_0","嗯嗯。","MSG_007_0",""
"MSG_008_0","大家，辛苦了。
采集工作似乎也结束了哦。","MSG_008_0",""
"MSG_009_0","很稀有！","MSG_009_0",""
"MSG_010_0","做得好！","MSG_010_0",""
"MSG_011_0","太棒了！","MSG_011_0",""
"MSG_012_0","是快捷方式！
要开通吗？","MSG_012_0",""
"MSG_015_0","这边好像过不去……
请尝试检查对面！","MSG_015_0",""
"MSG_018_0","请小心！
那里感觉非常危险！","MSG_018_0",""
"MSG_019_0","明白了。
请务必小心！","MSG_019_0",""
"MSG_020_0","了解。","MSG_020_0",""
"MSG_021_0","哎呀，差点出事了呢……
大家都平安无事吗？","MSG_021_0",""
"MSG_022_0","这里有暗影的气息！
请小心！","MSG_022_0",""
"MSG_023_0","好的！我会尽力支持你！","MSG_023_0",""
"MSG_024_0","我明白了。","MSG_024_0",""
"MSG_025_0","大家，辛苦了！","MSG_025_0",""
"MSG_026_0","你可以回到电影院那边。
你要怎么做？","MSG_026_0",""
"MSG_027_0","把握！！","MSG_027_0",""
"speaker_山岸 風花","山岸风花","speaker_山岸 風花","机翻辅助：

山岸风花"
