"source","target","id","developer_comments"
"ITEM_POINT_SEL_0","谨慎探索","ITEM_POINT_SEL_0","机翻辅助：

提高警觉寻找

一边警戒一边寻找

警惕地寻找"
"ITEM_POINT_SEL_1","专心采集","ITEM_POINT_SEL_1","机翻辅助：

专心采集"
"ITEM_POINT_SEL_2","放弃","ITEM_POINT_SEL_2","机翻辅助：

放弃"
"ITEM_POINT_FORCE_BTL_SEL_0","探索","ITEM_POINT_FORCE_BTL_SEL_0","机翻辅助：

寻找"
"ITEM_POINT_FORCE_BTL_SEL_1","放弃","ITEM_POINT_FORCE_BTL_SEL_1","机翻辅助：

放弃"
"SHORTCUT_SEL_0","通过","SHORTCUT_SEL_0","机翻辅助：

能通过

通过

经过"
"SHORTCUT_SEL_1","不通过","SHORTCUT_SEL_1","机翻辅助：

不能通过

不通

不通过"
"ENTRANCE_SEL_0","返回","ENTRANCE_SEL_0","机翻辅助：

返回"
"ENTRANCE_SEL_1","不返回","ENTRANCE_SEL_1","机翻辅助：

不回头

不回去

不回来"
"MSG_000_0","好像有可以采集的地方啊。
怎么办？","MSG_000_0","机翻辅助：

好像有可以采集的东西呢
怎么办？

能采到什么就好了。
怎么办？

要是能采点什么就好了。
怎么办？"
"MSG_001_0","了解！","MSG_001_0","机翻辅助：

了解！

明白了！"
"MSG_002_0","交给我吧！","MSG_002_0","机翻辅助：

交给我吧！"
"MSG_003_0","啊，先暂停对吧。","MSG_003_0","机翻辅助：

啊，要停手呢。

啊，我要阻止你。

啊，停下来了。"
"MSG_004_0","这下就结束了呢。","MSG_004_0","机翻辅助：

这样就结束了呢。

这就结束了。

到此结束。"
"MSG_005_0","我收下喽。","MSG_005_0","机翻辅助：

我收下啦。

请收下吧。

我收下了。"
"MSG_006_0","哦！","MSG_006_0","机翻辅助：

哦！

喔！"
"MSG_007_0","做得好！","MSG_007_0","机翻辅助：

太好了呢！

太好了！

太棒了！"
"MSG_008_0","刚刚真危险啊。
不过这下能采的就全部采集完了。","MSG_008_0","机翻辅助：

好险呢
能采的都采完了呢。

真危险啊。
能采的东西好像都采了。

太危险了。能采的好像都采了。"
"MSG_009_0","太厉害了！","MSG_009_0","机翻辅助：

好厉害！

了不起！"
"MSG_010_0","不妙啊！","MSG_010_0","机翻辅助：

好强哦！

太糟糕了！

糟了！"
"MSG_011_0","哦，稀有物品！","MSG_011_0","机翻辅助：

哦，稀有道具！

哇，稀有！

噢，稀有！"
"MSG_012_0","好像是近路呢。
走走看吗？","MSG_012_0","机翻辅助：

好像是捷径呢
要走吗？

好像是近道。
要去吗？

好像是捷径。
送你过去吗？"
"MSG_015_0","这边过不去啊。","MSG_015_0","机翻辅助：

这边不能走呢。

这边不能通过啊。

这是过不去的。"
"MSG_018_0","这里、有点不妙吧？
有种不好的预感啊……","MSG_018_0","机翻辅助：

这里好像很危险？
有不好的气息……

这里很糟糕吧？
感觉很讨厌……

这里不好吗？有一种讨厌的气息……"
"MSG_019_0","了解！
全力采集吧！","MSG_019_0","机翻辅助：

了解！
要鼓起干劲上咯！

明白了！
鼓起干劲去！

明白了！
打起精神去哦！"
"MSG_020_0","好吧。我知道了。","MSG_020_0","机翻辅助：

是呢，我知道了。

是啊。我明白了。"
"MSG_021_0","果然出现了呢……
有点不妙啊……","MSG_021_0","机翻辅助：

果然出现了……
真的不是盖的……

果然出来了呢……
真的是半吊子……

果然出来了呢……
真的很辛苦啊……"
"MSG_022_0","这里好像有暗影啊。
怎么办？","MSG_022_0","机翻辅助：

感觉暗影会在这里耶。
怎么办？

这里是暗影。
怎么了？

这里好像是暗影。
怎么吸？"
"MSG_023_0","知道了！","MSG_023_0","机翻辅助：

了解！

明白了！"
"MSG_024_0","也是呢。
知道了。","MSG_024_0","机翻辅助：

说得也是。
我明白了。

是啊。
明白了。

是啊。我知道了。"
"MSG_025_0","这样就结束了吗？","MSG_025_0","机翻辅助：

这样就结束了吗？

就这样结束了吗？

这就结束了吗？"
"MSG_026_0","这里、好像可以回电影院啊？
要回去吗？","MSG_026_0","机翻辅助：

这里好像可以通往电影院哦？
怎么办？

这里好像可以回电影院了？
怎么办？

这里好像可以回电影院了。
怎么办？"
"MSG_027_0","！！哇呀！！","MSG_027_0","翻译匹配：EO1-3HD"
"speaker_巽 完二","巽 完二","speaker_巽 完二","翻译匹配：PQ2"
