"source","target","id","developer_comments"
"ITEM_POINT_SEL_0","警惕地搜索","ITEM_POINT_SEL_0",""
"ITEM_POINT_SEL_1","专注于采取行动。","ITEM_POINT_SEL_1",""
"ITEM_POINT_SEL_2","停止","ITEM_POINT_SEL_2",""
"ITEM_POINT_FORCE_BTL_SEL_0","寻找","ITEM_POINT_FORCE_BTL_SEL_0",""
"ITEM_POINT_FORCE_BTL_SEL_1","停止","ITEM_POINT_FORCE_BTL_SEL_1",""
"SHORTCUT_SEL_0","通る -","SHORTCUT_SEL_0",""
"SHORTCUT_SEL_1","通不过","SHORTCUT_SEL_1",""
"ENTRANCE_SEL_0","返回","ENTRANCE_SEL_0",""
"ENTRANCE_SEL_1","不会回来","ENTRANCE_SEL_1",""
"MSG_000_0","汪！","MSG_000_0",""
"MSG_001_0","嗅嗅...","MSG_001_0",""
"MSG_002_0","汪汪！","MSG_002_0",""
"MSG_003_0","汪。","MSG_003_0",""
"MSG_004_0","汪汪！汪汪！","MSG_004_0",""
"MSG_005_0","汪！","MSG_005_0",""
"MSG_006_0","汪汪！","MSG_006_0",""
"MSG_007_0","汪！","MSG_007_0",""
"MSG_008_0","咕噜噜噜……
汪！","MSG_008_0",""
"MSG_009_0","汪汪！","MSG_009_0",""
"MSG_010_0","哇哦！","MSG_010_0",""
"MSG_011_0","汪汪汪！","MSG_011_0",""
"MSG_012_0","嗅嗅。","MSG_012_0",""
"MSG_013_0","汪汪！汪汪汪汪！","MSG_013_0",""
"MSG_015_0","哇...","MSG_015_0",""
"MSG_018_0","咕噜噜...！","MSG_018_0",""
"MSG_019_0","汪汪！","MSG_019_0",""
"MSG_020_0","汪！","MSG_020_0",""
"MSG_021_0","汪汪！","MSG_021_0",""
"MSG_022_0","闻闻... 汪！","MSG_022_0",""
"MSG_023_0","汪！","MSG_023_0",""
"MSG_024_0","汪汪！","MSG_024_0",""
"MSG_025_0","汪！","MSG_025_0",""
"MSG_026_0","汪汪！！","MSG_026_0",""
"MSG_027_0","把握！！","MSG_027_0",""
"speaker_コロマル","虎狼丸","speaker_コロマル",""
