"source","target","id","developer_comments"
"ITEM_POINT_SEL_0","警惕地搜索","ITEM_POINT_SEL_0",""
"ITEM_POINT_SEL_1","专注于采取行动。","ITEM_POINT_SEL_1",""
"ITEM_POINT_SEL_2","停止","ITEM_POINT_SEL_2",""
"ITEM_POINT_FORCE_BTL_SEL_0","寻找","ITEM_POINT_FORCE_BTL_SEL_0",""
"ITEM_POINT_FORCE_BTL_SEL_1","停止","ITEM_POINT_FORCE_BTL_SEL_1",""
"SHORTCUT_SEL_0","通る -","SHORTCUT_SEL_0",""
"SHORTCUT_SEL_1","通不过","SHORTCUT_SEL_1",""
"ENTRANCE_SEL_0","返回","ENTRANCE_SEL_0",""
"ENTRANCE_SEL_1","不会回来","ENTRANCE_SEL_1",""
"MSG_000_0","发现了宝藏点！
要采集吗？","MSG_000_0",""
"MSG_001_0","交给熊雷达吧！","MSG_001_0",""
"MSG_002_0","熊是最先发现熊的！","MSG_002_0",""
"MSG_003_0","哦，要停下来吗？
知道了，熊～！","MSG_003_0",""
"MSG_004_0","把所有的都拿走了！","MSG_004_0",""
"MSG_005_0","请挖这里，熊熊。","MSG_005_0",""
"MSG_006_0","杂乱无章！","MSG_006_0",""
"MSG_007_0","哥哥！","MSG_007_0",""
"MSG_008_0","呼～...总算是顺利度过了。
采集也做得很好！","MSG_008_0",""
"MSG_009_0","嗨！","MSG_009_0",""
"MSG_010_0","哇哦！","MSG_010_0",""
"MSG_011_0","打中熊啦！","MSG_011_0",""
"MSG_012_0","发现快捷方式的熊！
要走吗？","MSG_012_0",""
"MSG_015_0","这边不能通过，熊啊...","MSG_015_0",""
"MSG_018_0","这里熊的鼻子说这里不好！
","MSG_018_0",""
"MSG_019_0","好的！
我会做的熊！","MSG_019_0",""
"MSG_020_0","三七！
熊也这么想熊！","MSG_020_0",""
"MSG_021_0","这只熊好危险啊……
","MSG_021_0",""
"MSG_022_0","嗯嗯...这里有很多暗影的气息呢...
","MSG_022_0",""
"MSG_023_0","好的！加油！","MSG_023_0",""
"MSG_024_0","你要停下来了啊。
明白了！","MSG_024_0",""
"MSG_025_0","这就结束了吗，熊？","MSG_025_0",""
"MSG_026_0","回到电影院吗？熊？","MSG_026_0",""
"MSG_027_0","把握！！","MSG_027_0",""
"speaker_クマ","小熊","speaker_クマ",""
