"source","target","id","developer_comments"
"ITEM_POINT_SEL_0","警惕地搜索","ITEM_POINT_SEL_0",""
"ITEM_POINT_SEL_1","专注于采取行动。","ITEM_POINT_SEL_1",""
"ITEM_POINT_SEL_2","停止","ITEM_POINT_SEL_2",""
"ITEM_POINT_FORCE_BTL_SEL_0","寻找","ITEM_POINT_FORCE_BTL_SEL_0",""
"ITEM_POINT_FORCE_BTL_SEL_1","停止","ITEM_POINT_FORCE_BTL_SEL_1",""
"SHORTCUT_SEL_0","通る -","SHORTCUT_SEL_0",""
"SHORTCUT_SEL_1","通不过","SHORTCUT_SEL_1",""
"ENTRANCE_SEL_0","返回","ENTRANCE_SEL_0",""
"ENTRANCE_SEL_1","不会回来","ENTRANCE_SEL_1",""
"MSG_000_0","是宝藏点呢！
要去挖吗？","MSG_000_0",""
"MSG_001_0","好的！
小心地去找吧！","MSG_001_0",""
"MSG_002_0","决定了就多采摘一些吧！
","MSG_002_0",""
"MSG_003_0","不要停下来，明白！","MSG_003_0",""
"MSG_004_0","有些东西好像都被采集了！","MSG_004_0",""
"MSG_005_0","获得物品！","MSG_005_0",""
"MSG_006_0","感觉不错。","MSG_006_0",""
"MSG_007_0","耶！","MSG_007_0",""
"MSG_008_0","战斗结束了！
这样就结束了吗？","MSG_008_0",""
"MSG_009_0","稀有的！","MSG_009_0",""
"MSG_010_0","太棒了！","MSG_010_0",""
"MSG_011_0","做到了！","MSG_011_0",""
"MSG_012_0","发现了快捷方式！
要走吗？","MSG_012_0",""
"MSG_013_0","发现了快捷方式！
要走吗？","MSG_013_0",""
"MSG_015_0","这边通不过呢。
去对面看看吧！","MSG_015_0",""
"MSG_018_0","等、等一下！
感觉好危险，小心点！","MSG_018_0",""
"MSG_019_0","明白了。
我会尽力支持你的！","MSG_019_0",""
"MSG_020_0","是的，
也许最好还是停下来比较好吧……","MSG_020_0",""
"MSG_021_0","没事吧！？
你表现得相当强大呢……辛苦了！","MSG_021_0",""
"MSG_022_0","暗影的气息，有很多存在！
如果要调查的话，请小心哦！","MSG_022_0",""
"MSG_023_0","明白了，你要小心哦！","MSG_023_0",""
"MSG_024_0","明白！","MSG_024_0",""
"MSG_025_0","大家，辛苦了！","MSG_025_0",""
"MSG_026_0","你可以从那里回到电影院！
你要回来吗？","MSG_026_0",""
"MSG_027_0","把握！！","MSG_027_0",""
"speaker_久慈川 りせ","久慈川理世","speaker_久慈川 りせ",""
