"source","target","id","developer_comments"
"ITEM_POINT_SEL_0","提高警觉寻找","ITEM_POINT_SEL_0","机翻辅助：

提高警觉寻找

一边警戒一边寻找

警惕地寻找"
"ITEM_POINT_SEL_1","专心采集","ITEM_POINT_SEL_1","机翻辅助：

专心采集"
"ITEM_POINT_SEL_2","放弃","ITEM_POINT_SEL_2","机翻辅助：

放弃

停止"
"ITEM_POINT_FORCE_BTL_SEL_0","寻找","ITEM_POINT_FORCE_BTL_SEL_0","机翻辅助：

寻找"
"ITEM_POINT_FORCE_BTL_SEL_1","放弃","ITEM_POINT_FORCE_BTL_SEL_1","机翻辅助：

放弃

停止"
"SHORTCUT_SEL_0","能通过","SHORTCUT_SEL_0","机翻辅助：

能通过

通过

经过"
"SHORTCUT_SEL_1","不能通过","SHORTCUT_SEL_1","机翻辅助：

不能通过

不通

不通过"
"ENTRANCE_SEL_0","回头","ENTRANCE_SEL_0","机翻辅助：

回头

后退

返回"
"ENTRANCE_SEL_1","不回头","ENTRANCE_SEL_1","机翻辅助：

不回头

不回去

不回来"
"MSG_000_0","哦！
这里好像可以采哦！","MSG_000_0","机翻辅助：

哦！
这里好像可以采哦！

哦！
这里好像可以采集！

您！
这里好像可以采集！"
"MSG_001_0","好！
那就小心地找吧！","MSG_001_0","机翻辅助：

好！
那就小心地找吧！

哦！
那么，小心寻找吧！

喔！那么，小心寻找吧！"
"MSG_002_0","好！
我要把它们全部拔光！","MSG_002_0","机翻辅助：

好！
我要把它们全部拔光！

你说！
我会连根拔起的！

喂！我要连根拔起！"
"MSG_003_0","不阻止吗？
那我们晚点再来吧！","MSG_003_0","机翻辅助：

不阻止吗？
那我们晚点再来吧！

停止了吗？
那么，以后再来吧！

你要阻止他吗？那我们一会儿再来吧！"
"MSG_004_0","好！
这样就全部采完了！","MSG_004_0","机翻辅助：

好！
这样就全部采完了！

可恶！
这就是全部了！

嗯！
这就是全部！"
"MSG_005_0","好耶！","MSG_005_0","机翻辅助：

好耶！

喂！"
"MSG_006_0","开动！","MSG_006_0","机翻辅助：

开动！

我走了！

去了！"
"MSG_007_0","哦！","MSG_007_0","机翻辅助：

哦！

噢！"
"MSG_008_0","好险……
采集就采到这里吧？","MSG_008_0","机翻辅助：

好险……
采集就采到这里吧？

是吧～……
采集是这样的吗？

采集是这样的吗？"
"MSG_009_0","太棒啦！","MSG_009_0","机翻辅助：

太棒啦！

太好了！

太棒了！"
"MSG_010_0","好稀有！","MSG_010_0","机翻辅助：

好稀有！

这不是稀有嘛！

很稀有啊！"
"MSG_011_0","拿到宝物了！","MSG_011_0","机翻辅助：

拿到宝物了！

得到宝物！

获得宝物！"
"MSG_012_0","哦！有捷径耶！
怎么办？","MSG_012_0","机翻辅助：

哦！有捷径耶！
怎么办？

哦！这不是近道吗！
怎么办？

您！这不是捷径嘛！
怎么办？"
"MSG_015_0","哎呀，这边不能走耶。","MSG_015_0","机翻辅助：

哎呀，这边不能走耶。

哎呀，这边过不去啊。

啊，这条路没法走啊。"
"MSG_018_0","喂，我说啊……
这里好像有很不妙的气息耶。","MSG_018_0","机翻辅助：

喂，我说啊……
这里好像有很不妙的气息耶。

喂、喂……
这里，感觉很糟糕吧？

喂、喂……
总觉得这里有点不对劲吧？"
"MSG_019_0","很……很好！
加把劲上吧！","MSG_019_0","机翻辅助：

很……很好！
加把劲上吧！

好、好！
鼓起干劲去吧！

哟，好！
加油去吧！"
"MSG_020_0","是啊。
也可以选择不走这条路吧。","MSG_020_0","机翻辅助：

是啊。
也可以选择不走这条路吧。

是啊。
阻止也是有可能的。

是啊。也有阻止和制止的吧。"
"MSG_021_0","好险！
有够强的耶！","MSG_021_0","机翻辅助：

好险！
有够强的耶！

啊啊啊！
真是太强了！

阿布奈！
超级强啊！"
"MSG_022_0","好像没有暗影的气息耶？
怎么办？","MSG_022_0","机翻辅助：

好像没有暗影的气息耶？
怎么办？

有什么阴影的迹象吗？
怎么办？

怎么没有车道的动静？
怎么办？"
"MSG_023_0","OK！
来调查一下吧！","MSG_023_0","机翻辅助：

OK！
来调查一下吧！

好！
调查一下吧！

OK ！
调查一下吧！"
"MSG_024_0","要……要停在这吗？","MSG_024_0","机翻辅助：

要……要停在这吗？

哦，要停下来吗？

哦，你要阻止我吗？"
"MSG_025_0","好！
这样就结束了吧？","MSG_025_0","机翻辅助：

好！
这样就结束了吧？

喂！
这样不就结束了吗？

喂！
这不就结束了吗？"
"MSG_026_0","哦，从这边回不了电影院耶！
怎么办？","MSG_026_0","机翻辅助：

哦，从这边回不了电影院耶！
怎么办？

喂，从这里不能回电影院了吧！
怎么办？

啊，这下可不能回电影院了！
怎么办？"
"MSG_027_0","！！啊啊！！","MSG_027_0","机翻辅助：

！！啊啊！！

！！啊啊啊！！

！！啊！！"
"speaker_坂本 竜司","坂本龙司","speaker_坂本 竜司","机翻辅助：

坂本龙司"
