"source","target","id","developer_comments"
"ITEM_POINT_SEL_0","警惕地搜索","ITEM_POINT_SEL_0","机翻辅助：

提高警觉寻找

一边警戒一边寻找

警惕地寻找"
"ITEM_POINT_SEL_1","专注于采取行动","ITEM_POINT_SEL_1","机翻辅助：

专心采集"
"ITEM_POINT_SEL_2","停止","ITEM_POINT_SEL_2","机翻辅助：

放弃

停止"
"ITEM_POINT_FORCE_BTL_SEL_0","寻找","ITEM_POINT_FORCE_BTL_SEL_0","机翻辅助：

寻找"
"ITEM_POINT_FORCE_BTL_SEL_1","停止","ITEM_POINT_FORCE_BTL_SEL_1","机翻辅助：

放弃

停止"
"SHORTCUT_SEL_0","能通过","SHORTCUT_SEL_0","机翻辅助：

能通过

通过

经过"
"SHORTCUT_SEL_1","通不过","SHORTCUT_SEL_1","机翻辅助：

不能通过

不通

不通过"
"ENTRANCE_SEL_0","返回","ENTRANCE_SEL_0","机翻辅助：

回头

后退

返回"
"ENTRANCE_SEL_1","不会回来","ENTRANCE_SEL_1","机翻辅助：

不回头

不回去

不回来"
"MSG_000_0","这是宝藏地点！
你打算怎么办？","MSG_000_0","机翻辅助：

是宝物地点啊！
怎么办？

是宝物景点！
怎么办？

是宝藏景点哦！
怎么办？"
"MSG_001_0","哦！
周围的警惕也很到位！","MSG_001_0","机翻辅助：

噢！
周围的警戒也要做好！

哦！
周围的警戒也很厉害啊！

喔！
周围的警戒也要做好！"
"MSG_002_0","好好地采集吧？
好的，交给我吧！","MSG_002_0","机翻辅助：

要大干一场吗？
好，交给我吧！

要好好地采啊？
好的，交给我吧！

紧紧地采吗？好，就交给我吧！"
"MSG_003_0","啊，要停下来吗？","MSG_003_0","机翻辅助：

啊，要停手吗？

啊，要停下来吗？

啊，阻止他吗？"
"MSG_004_0","哦，
这样就全部看完了吗？","MSG_004_0","机翻辅助：

好。
好像全部都在这里了？

死了。
这就是全部了吧？

淤渣。
这就是全部了吧？"
"MSG_005_0","我收下了！","MSG_005_0","机翻辅助：

我收下啦！

我吃了！

开动了！"
"MSG_006_0","好的！","MSG_006_0","机翻辅助：

好耶！

太好了！

好！"
"MSG_007_0","抓住！","MSG_007_0","机翻辅助：

到手啦！

得到了！

得到！"
"MSG_008_0","哇！
是时候结束了吗？","MSG_008_0","机翻辅助：

好险！
差不多该结束了吧？

啊啊啊！
差不多该结束了吧？

阿布奈！
差不多要结束了吗？"
"MSG_009_0","哦！","MSG_009_0","机翻辅助：

好耶！

哎呀！

喂！"
"MSG_010_0","稀有啊！","MSG_010_0","机翻辅助：

好稀有！

这不是稀有嘛！

很稀有啊！"
"MSG_011_0","太厉害了！","MSG_011_0","机翻辅助：

好厉害！"
"MSG_012_0","哦！快捷方式！能通过吗？
","MSG_012_0","机翻辅助：

哎呀！这不是捷径吗！
能走吗？

哎呀！不是快捷方式吗！
通过吗？

噢！短发嘛！
能通过吗？"
"MSG_015_0","你能过来吗？","MSG_015_0","机翻辅助：

这边好像不能走啊……

这边过不去啊……

这边不能通过吗……"
"MSG_018_0","这里感觉有点不妙啊，
怎么办？","MSG_018_0","机翻辅助：

总觉得这里有种不妙的气息啊？
怎么办？

总觉得这里很糟糕吧？
怎么办？

感觉这里有点不对劲吧？
怎么办？"
"MSG_019_0","哦，
嗯……我们要小心地采集。","MSG_019_0","机翻辅助：

哦，好……
慎重地采集吧。

哦、哦……
慎重地采集吧。

喔、喔……小心地采集吧。"
"MSG_020_0","这样啊。
不知道会出现什么呢。","MSG_020_0","机翻辅助：

也是呢。
毕竟不知道会出现什么啊。

是啊。
不知道会出现什么。

是啊。不知道会出什么。"
"MSG_021_0","太厉害了！
总之，平安就好了……","MSG_021_0","机翻辅助：

出现了很厉害的东西啊！？
总之能平安无事真是太好了……

虽然很厉害！？
总之平安无事真是太好了……

虽然出现了很厉害的东西！？总之没事就好了……"
"MSG_022_0","嗯？感觉到了影子的存在？要怎么办？
","MSG_022_0","机翻辅助：

嗯？有暗影的气息？
怎么办？

嗯？有阴影的迹象？
怎么办？

？有车道的动静吗？
怎么办？"
"MSG_023_0","喂！
加油！","MSG_023_0","机翻辅助：

好！
鼓起干劲吧！

你说！
鼓起干劲！

喂！
加油哦！"
"MSG_024_0","好的，明白了。","MSG_024_0","机翻辅助：

OK，我知道了。

好，我知道了。

好，知道了。"
"MSG_025_0","唉……
就这样结束了吗？","MSG_025_0","机翻辅助：

呼……
这样就结束了吗？

吹……
这就结束了吗？

这样就结束了吗？"
"MSG_026_0","从这里可以回电影院吗？
你打算怎么办？","MSG_026_0","机翻辅助：

好像能从这里回电影院呢。
怎么办？

看来可以从这里回电影院了。
怎么办？

从这里好像要回电影院了。
怎么办？"
"MSG_027_0","把握！！","MSG_027_0","机翻辅助：

！！啊啊！！

！！啊啊啊！！

！！啊！！"
"speaker_花村 陽介","花村阳介","speaker_花村 陽介","机翻辅助：

花村阳介"
