"source","target","id","developer_comments"
"ITEM_POINT_SEL_0","提高警觉寻找","ITEM_POINT_SEL_0","机翻辅助：

提高警觉寻找

一边警戒一边寻找

警惕地寻找"
"ITEM_POINT_SEL_1","专心采集","ITEM_POINT_SEL_1","机翻辅助：

专心采集"
"ITEM_POINT_SEL_2","放弃","ITEM_POINT_SEL_2","机翻辅助：

放弃"
"ITEM_POINT_FORCE_BTL_SEL_0","寻找","ITEM_POINT_FORCE_BTL_SEL_0","机翻辅助：

寻找"
"ITEM_POINT_FORCE_BTL_SEL_1","放弃","ITEM_POINT_FORCE_BTL_SEL_1","机翻辅助：

放弃"
"SHORTCUT_SEL_0","能通过","SHORTCUT_SEL_0","机翻辅助：

能通过

通过

经过"
"SHORTCUT_SEL_1","不能通过","SHORTCUT_SEL_1","机翻辅助：

不能通过

不通

不通过"
"ENTRANCE_SEL_0","返回","ENTRANCE_SEL_0","机翻辅助：

返回"
"ENTRANCE_SEL_1","不回头","ENTRANCE_SEL_1","机翻辅助：

不回头

不回去

不回来"
"MSG_000_0","这里好像可以采集。
手好痒……","MSG_000_0","机翻辅助：

这里好像可以采集。
手好痒……

这里好像可以采集啊。
手很难受……

这里好像可以采集。
手好疼……"
"MSG_001_0","说得也是。
一边注意敌人一边找吧。","MSG_001_0","机翻辅助：

说得也是。
一边注意敌人一边找吧。

是啊。
要小心寻找敌人吗。

是啊。
要小心寻找敌人吗？"
"MSG_002_0","嗯。
那么，就专心找吧！","MSG_002_0","机翻辅助：

嗯。
那么，就专心找吧！

嗯。
那么，专心寻找吧！

嗯。
那么，就专心寻找吧！"
"MSG_003_0","唔，现在先别找吗？
知道了。","MSG_003_0","机翻辅助：

唔，现在先别找吗？
知道了。

嗯，现在停下来吗？
明白了。

嗯，现在就停止吗？我知道了。"
"MSG_004_0","看来是找不到更多了。
采集成果相当不错。","MSG_004_0","机翻辅助：

看来是找不到更多了。
采集成果相当不错。

好像再也找不到了。
这是一次非常好的采集。

好像再也找不到了。采得相当不错。"
"MSG_005_0","我收下啦。","MSG_005_0","机翻辅助：

我收下啦。

我收下了。

我要吃了。"
"MSG_006_0","哦，这是……","MSG_006_0","机翻辅助：

哦，这是……"
"MSG_007_0","嗯。","MSG_007_0","机翻辅助：

嗯。"
"MSG_008_0","好像被敌人发现了……
采集就到此为止吧。","MSG_008_0","机翻辅助：

好像被敌人发现了……
采集就到此为止吧。

好像被敌人察觉了……
采集就到此为止吧。

好像被敌人察觉到了……采集到此为止吧。"
"MSG_009_0","哦哦！","MSG_009_0","机翻辅助：

哦哦！

哦！

哇！"
"MSG_010_0","棒的！","MSG_010_0","机翻辅助：

棒的！

太棒了！"
"MSG_011_0","真贵重啊。","MSG_011_0","机翻辅助：

真贵重啊。

很珍贵啊。

真珍贵啊。"
"MSG_012_0","捷径吗？
怎么办？要走过去吗？","MSG_012_0","机翻辅助：

捷径吗？
怎么办？要走过去吗？

快捷方式吗。
怎么办？通过吗？

是短发吗？
怎么办？要提前通过吗？"
"MSG_015_0","这边好像过不去。","MSG_015_0","机翻辅助：

这边好像过不去。

从这里好像不能通过啊。

我这边好像通不过。"
"MSG_018_0","唔？这是……
有种讨厌的气息。","MSG_018_0","机翻辅助：

唔？这是……
有种讨厌的气息。

嗯？这是……
不要感到讨厌。

？这是……感觉到了讨厌的气息。"
"MSG_019_0","好。
那就来确认一下吧。","MSG_019_0","机翻辅助：

好。
那就来确认一下吧。

好啊。
那么就看清吧。

好吧。那么，让我们来看看吧。"
"MSG_020_0","这样啊……
现在先别找吧。","MSG_020_0","机翻辅助：

这样啊……
现在先别找吧。

是吗……现在就先停下来吧。


这样啊……现在就停下来吧。"
"MSG_021_0","是危险的敌人呢。
总算逃过危机了吗……","MSG_021_0","机翻辅助：

是危险的敌人呢。
总算逃过危机了吗……

真是个危险的敌人。
总算从危机中逃脱了吗……

真是危险的敌人啊。
有没有摆脱危机……"
"MSG_022_0","这里是……
暗影的气息很多呢。","MSG_022_0","机翻辅助：

这里是……
暗影的气息很多呢。

这里……暗影的动静真多啊。


这里有很多暗影。"
"MSG_023_0","好，来调查一下吧。","MSG_023_0","机翻辅助：

好，来调查一下吧。

好吧。要不要调查一下？

好啊。调查一下吧。"
"MSG_024_0","说得也是，先别找吧。","MSG_024_0","机翻辅助：

说得也是，先别找吧。

是啊。让它停下来吧。

是啊。停止吧。"
"MSG_025_0","好险啊。
这样就结束了吗？","MSG_025_0","机翻辅助：

好险啊。
这样就结束了吗？

真危险啊。
这样就结束了吗？

太危险了。
这就结束了吗？"
"MSG_026_0","嗯。
似乎可以从这里回到电影院。","MSG_026_0","机翻辅助：

嗯。
似乎可以从这里回到电影院。

嗯。
好像可以从这里回到电影院。

嗯。看来可以从这里回到电影院了。"
"MSG_027_0","！！哇呀！！","MSG_027_0","机翻辅助：

！！哇呀！！"
"speaker_喜多川 祐介","喜多川 佑介","speaker_喜多川 祐介","翻译匹配：PQ2"
