"source","target","id","developer_comments"
"SANADA_FOE_FOLLOW_START__0","看起来F.O.E.在追赶过来了呢...","SANADA_FOE_FOLLOW_START__0",""
"SANADA_FOE_FOLLOW_START__2_0","F.O.E是……迎击吗？","SANADA_FOE_FOLLOW_START__2_0",""
"SANADA_FOE_FOLLOW_START__3_0","F.O.E正在被瞄准。","SANADA_FOE_FOLLOW_START__3_0",""
"SANADA_FOE_NEAR_1_0","F.O.E就在附近……小心。","SANADA_FOE_NEAR_1_0",""
"SANADA_FOE_NEAR_2_0","这种气息...是Ｆ．Ｏ．Ｅ的。","SANADA_FOE_NEAR_2_0",""
"SANADA_FOE_NEAR_3_0","F.O.E的出现！","SANADA_FOE_NEAR_3_0",""
"SANADA_FOE_FOLLOW_END_1_0","那家伙已经不再追来了。","SANADA_FOE_FOLLOW_END_1_0",""
"SANADA_FOE_FOLLOW_END_2_0","已经放弃了吗...毫无毅力的废物。
","SANADA_FOE_FOLLOW_END_2_0",""
"SANADA_FOE_FOLLOW_END_3_0","好像散落了一样... 唉，无聊。","SANADA_FOE_FOLLOW_END_3_0",""
"SANADA_KANSI_REACTION_1_0","这里我们要小心谨慎。","SANADA_KANSI_REACTION_1_0",""
"SANADA_KANSI_REACTION_2_0","即使找到了，也要战斗对吧？","SANADA_KANSI_REACTION_2_0",""
"SANADA_KANSI_REACTION_3_0","偷偷摸摸的行为不好。","SANADA_KANSI_REACTION_3_0",""
"SANADA_DENKISAKU_REACTIO_0","电网栅栏啊...只能绕道而行了。","SANADA_DENKISAKU_REACTIO_0",""
"SANADA_DENKISAKU_REACTIO_2_0","适度的刺激有助于恢复，
但这太难了。","SANADA_DENKISAKU_REACTIO_2_0",""
"SANADA_DENKISAKU_REACTIO_3_0","哎呀，这是个麻烦的陷阱啊……","SANADA_DENKISAKU_REACTIO_3_0",""
"SANADA_KYOUHU_REACTION_1_0","哎呀，风吹来了！","SANADA_KYOUHU_REACTION_1_0",""
"SANADA_KYOUHU_REACTION_2_0","什么！？","SANADA_KYOUHU_REACTION_2_0",""
"SANADA_KYOUHU_REACTION_3_0","哇！？","SANADA_KYOUHU_REACTION_3_0",""
"SANADA_STAIR_FIND_1_0","有台阶呢。赶快下去吧。","SANADA_STAIR_FIND_1_0",""
"SANADA_STAIR_FIND_2_0","这之后会有多强大的家伙呢。
","SANADA_STAIR_FIND_2_0",""
"SANADA_STAIR_FIND_3_0","从那里似乎可以去下一个区域。","SANADA_STAIR_FIND_3_0",""
"SANADA_TREASURE_FIND_1_0","嘿，那里有一个宝箱。","SANADA_TREASURE_FIND_1_0",""
"SANADA_TREASURE_FIND_2_0","宝箱呢……要打开看看吗？","SANADA_TREASURE_FIND_2_0",""
"SANADA_TREASURE_FIND_3_0","里面是什么呢……蛋白质吗？","SANADA_TREASURE_FIND_3_0",""
"SANADA_CHECK_WALL_1_0","奇怪啊...要不要去调查一下呢？","SANADA_CHECK_WALL_1_0",""
"SANADA_CHECK_WALL_2_0","有什么事情吗……让人在意呢。","SANADA_CHECK_WALL_2_0",""
"SANADA_CHECK_WALL_3_0","あれは何だ…？　調べてみないか？","SANADA_CHECK_WALL_3_0",""
"SANADA_SWITCH_FIND_1_0","开关吗...要按一下吗？","SANADA_SWITCH_FIND_1_0",""
"SANADA_SWITCH_FIND_2_0","有开关。怎么办？","SANADA_SWITCH_FIND_2_0",""
